,when,did,the,logo,bug,begin,appearing,throughout,the,entire,program,for,abc,shows,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2806010842323303,0.2229783535003662,0.34293439984321594,0.31202155351638794,0.4158564507961273,1.0,0.4870373010635376,0.22986935079097748,0.4739971458911896,0.2068762183189392,0.36348509788513184,0.22068053483963013
abc,0.13294127583503723,0.13353709876537323,0.2068762183189392,0.23574566841125488,0.17026932537555695,0.12703588604927063,0.303236722946167,0.21721048653125763,0.2068762183189392,0.17112842202186584,0.28949791193008423,0.22510288655757904,1.0000001192092896,0.3304527997970581,0.19065172970294952
logo,0.1824561208486557,0.13651727139949799,0.2806010842323303,1.0000001192092896,0.27440088987350464,0.10101816803216934,0.2345273196697235,0.07690395414829254,0.2806010842323303,0.17221783101558685,0.23115241527557373,0.2166183590888977,0.23574566841125488,0.2323370724916458,0.23347119987010956
first,0.4282494783401489,0.33691170811653137,0.49448907375335693,0.1942633092403412,0.15816447138786316,0.2771400213241577,0.3776516318321228,0.2724248468875885,0.49448907375335693,0.27585896849632263,0.2659492492675781,0.3800288736820221,0.2403600513935089,0.17923472821712494,0.18701928853988647
appeared,0.1832868754863739,0.2999138832092285,0.30265679955482483,0.1702168881893158,0.15701843798160553,0.18667936325073242,0.6887895464897156,0.24896587431430817,0.30265679955482483,0.15871000289916992,0.19647067785263062,0.2528862953186035,0.34155184030532837,0.4370260536670685,0.1384376585483551
as,0.4437963366508484,0.3596470057964325,0.48381632566452026,0.19516409933567047,0.1295047104358673,0.20308734476566315,0.3715691864490509,0.2935595214366913,0.48381632566452026,0.24939298629760742,0.19883424043655396,0.44774648547172546,0.2286096066236496,0.27829593420028687,0.27043893933296204
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.21248295903205872,0.27200448513031006,0.22845244407653809,0.29196488857269287,0.2578590512275696,0.5829201340675354,0.3950728178024292,0.2779408395290375,0.44038116931915283,0.21331243216991425,0.3360818326473236,0.23916715383529663
on-screen,0.2987774908542633,0.20218776166439056,0.24245591461658478,0.26557233929634094,0.29647982120513916,0.1594492346048355,0.3761751353740692,0.1733919233083725,0.24245591461658478,0.1987498551607132,0.3353613317012787,0.3028116524219513,0.22964154183864594,0.29014766216278076,0.22305797040462494
bug,0.15535849332809448,0.173519104719162,0.2229783535003662,0.27440088987350464,1.0,0.11856357753276825,0.14070092141628265,0.10408296436071396,0.2229783535003662,0.2181265652179718,0.20245136320590973,0.1928420215845108,0.17026932537555695,0.11129564046859741,0.27909624576568604
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.1848117560148239,0.19665397703647614,0.2903634011745453,0.3466743528842926,0.46596065163612366,0.6662389636039734,0.3347092568874359,0.1994907110929489,0.4322226941585541,0.1697147786617279,0.3289647698402405,0.20430970191955566
