,what,does,ctenophore,mean,in,greek,?
the,0.42745697498321533,0.35928019881248474,0.2813475728034973,0.25977957248687744,0.6662389636039734,0.23564283549785614,0.22068053483963013
name,0.18623162806034088,0.21063627302646637,0.18904301524162292,0.22177204489707947,0.2459065467119217,0.26015329360961914,0.15381577610969543
``,0.008517155423760414,0.06539655476808548,0.22254644334316254,0.06393398344516754,0.04765888676047325,0.14222978055477142,0.0685480609536171
ctenophora,0.18695785105228424,0.19055584073066711,0.9053757190704346,0.20866534113883972,0.1502838283777237,0.3522953689098358,0.20862777531147003
'',0.08143015950918198,-0.004023602232336998,0.02756301313638687,0.08347149938344955,0.07432962208986282,0.012887496501207352,0.018684765323996544
means,0.2553325295448303,0.3901011645793915,0.2870104908943176,0.576000988483429,0.1979396492242813,0.30670905113220215,0.21233566105365753
``,0.008517155423760414,0.06539655476808548,0.22254644334316254,0.06393398344516754,0.04765888676047325,0.14222978055477142,0.0685480609536171
comb-bearing,0.34970855712890625,0.2742687463760376,0.37947091460227966,0.29431280493736267,0.32760947942733765,0.24008719623088837,0.3125481605529785
'',0.08143015950918198,-0.004023602232336998,0.02756301313638687,0.08347149938344955,0.07432962208986282,0.012887496501207352,0.018684765323996544
",",0.3087472915649414,0.28617382049560547,0.18335451185703278,0.27540135383605957,0.5201468467712402,0.24548614025115967,0.31091248989105225
from,0.2737620174884796,0.1777622550725937,0.1672898828983307,0.2319565713405609,0.4274188280105591,0.2486233115196228,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,0.2813475728034973,0.25977957248687744,0.6662389636039734,0.23564283549785614,0.22068053483963013
greek,0.14808377623558044,0.18199464678764343,0.3057224154472351,0.2303614616394043,0.17752651870250702,0.9999999403953552,0.11180876195430756
κτείς,0.06631826609373093,0.058049529790878296,0.34726881980895996,0.08966908603906631,-0.058123067021369934,0.08901164680719376,0.126088947057724
(,0.2411840260028839,0.2728188931941986,0.21258211135864258,0.24319502711296082,0.3087427020072937,0.2139071673154831,0.40561532974243164
stem-form,0.30207836627960205,0.30745384097099304,0.518333911895752,0.2623203992843628,0.23866893351078033,0.24481943249702454,0.26886114478111267
κτεν-,0.06823094934225082,-0.014618126675486565,0.027305254712700844,0.01124728936702013,0.12509533762931824,0.05842803791165352,0.13304734230041504
),0.26259949803352356,0.2575884759426117,0.1869947910308838,0.2426333725452423,0.3326910734176636,0.22325891256332397,0.42300865054130554
meaning,0.24135559797286987,0.2968333065509796,0.29403287172317505,0.5340426564216614,0.2137773334980011,0.3826436400413513,0.20420892536640167
``,0.008517155423760414,0.06539655476808548,0.22254644334316254,0.06393398344516754,0.04765888676047325,0.14222978055477142,0.0685480609536171
comb,0.20374168455600739,0.19720672070980072,0.4666074514389038,0.21996207535266876,0.2280225306749344,0.1486198902130127,0.2510223686695099
'',0.08143015950918198,-0.004023602232336998,0.02756301313638687,0.08347149938344955,0.07432962208986282,0.012887496501207352,0.018684765323996544
and,0.31309178471565247,0.3461615741252899,0.19002923369407654,0.22596950829029083,0.4954058527946472,0.23151937127113342,0.20544172823429108
the,0.42745697498321533,0.35928019881248474,0.2813475728034973,0.25977957248687744,0.6662389636039734,0.23564283549785614,0.22068053483963013
greek,0.14808377623558044,0.18199464678764343,0.3057224154472351,0.2303614616394043,0.17752651870250702,0.9999999403953552,0.11180876195430756
suffix,0.13983774185180664,0.19403326511383057,0.31204789876937866,0.3062736392021179,0.15816226601600647,0.27551406621932983,0.2139107882976532
-φορος,-0.15528100728988647,-0.1281987875699997,-0.016216598451137543,-0.16745422780513763,-0.1338983178138733,-0.1370439976453781,-0.18505020439624786
meaning,0.24135559797286987,0.2968333065509796,0.29403287172317505,0.5340426564216614,0.2137773334980011,0.3826436400413513,0.20420892536640167
``,0.008517155423760414,0.06539655476808548,0.22254644334316254,0.06393398344516754,0.04765888676047325,0.14222978055477142,0.0685480609536171
carrying,0.14636102318763733,0.1441190242767334,0.22834016382694244,0.16824625432491302,0.20725233852863312,0.1925111562013626,0.1526285707950592
'',0.08143015950918198,-0.004023602232336998,0.02756301313638687,0.08347149938344955,0.07432962208986282,0.012887496501207352,0.018684765323996544
.,0.3567904531955719,0.3022993505001068,0.2398306131362915,0.21881133317947388,0.5591574311256409,0.2338392436504364,0.4130953550338745
