,what,types,of,discipline,did,the,teacher,have,access,to,?
while,0.35511791706085205,0.1707436889410019,0.3366928696632385,0.22724753618240356,0.3330625295639038,0.39804592728614807,0.23321563005447388,0.3577405512332916,0.20326609909534454,0.43899232149124146,0.21076419949531555
a,0.3320399522781372,0.27099108695983887,0.5052502155303955,0.21818003058433533,0.2552328109741211,0.5829201340675354,0.31202319264411926,0.338716596364975,0.21509003639221191,0.45503583550453186,0.23916715383529663
child,0.21805857121944427,0.07755380868911743,0.17253053188323975,0.13923276960849762,0.193410724401474,0.19800683856010437,0.259179025888443,0.19710594415664673,0.1784585416316986,0.1868607997894287,0.1979578584432602
was,0.22111038863658905,0.0920981764793396,0.4069072902202606,0.19787335395812988,0.41399896144866943,0.48711544275283813,0.2929542362689972,0.2863433063030243,0.12638358771800995,0.3636345863342285,0.18412111699581146
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.19738538563251495,0.2593238651752472,0.6662389636039734,0.22632350027561188,0.36843645572662354,0.1658785492181778,0.45010748505592346,0.20430970191955566
school,0.18774057924747467,0.09126044064760208,0.2391800880432129,0.23339909315109253,0.19696208834648132,0.22953221201896667,0.5442529320716858,0.16803227365016937,0.1309310793876648,0.24496325850486755,0.15091250836849213
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.18374353647232056,0.3015086054801941,0.4933079481124878,0.2884024977684021,0.3541618287563324,0.21104522049427032,0.44245919585227966,0.31091248989105225
a,0.3320399522781372,0.27099108695983887,0.5052502155303955,0.21818003058433533,0.2552328109741211,0.5829201340675354,0.31202319264411926,0.338716596364975,0.21509003639221191,0.45503583550453186,0.23916715383529663
teacher,0.20492632687091827,0.06463629752397537,0.19968076050281525,0.2416086196899414,0.21136574447155,0.17760860919952393,0.9999998807907104,0.1317407637834549,0.09343505650758743,0.1991342306137085,0.1797819435596466
was,0.22111038863658905,0.0920981764793396,0.4069072902202606,0.19787335395812988,0.41399896144866943,0.48711544275283813,0.2929542362689972,0.2863433063030243,0.12638358771800995,0.3636345863342285,0.18412111699581146
expected,0.3720298707485199,0.15327468514442444,0.26944905519485474,0.27857449650764465,0.43765610456466675,0.3108554780483246,0.1163160502910614,0.32810178399086,0.2598475515842438,0.42255479097366333,0.19474582374095917
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.25499123334884644,0.4452643394470215,0.535392165184021,0.1991342306137085,0.4544740617275238,0.3465658128261566,1.0,0.29463258385658264
act,0.2622668445110321,0.18770913779735565,0.2802577316761017,0.17127232253551483,0.15918971598148346,0.28682878613471985,0.17400281131267548,0.24975994229316711,0.25395122170448303,0.24833928048610687,0.1482519507408142
as,0.31749409437179565,0.2006441354751587,0.3886612355709076,0.1783600002527237,0.3596470057964325,0.48381632566452026,0.27420735359191895,0.37788212299346924,0.18291348218917847,0.42092081904411316,0.27043893933296204
a,0.3320399522781372,0.27099108695983887,0.5052502155303955,0.21818003058433533,0.2552328109741211,0.5829201340675354,0.31202319264411926,0.338716596364975,0.21509003639221191,0.45503583550453186,0.23916715383529663
substitute,0.18854834139347076,0.1869894117116928,0.10089483857154846,0.099179707467556,0.1845361441373825,0.1829191893339157,0.22255496680736542,0.16171802580356598,0.10338868945837021,0.2778834402561188,0.21712473034858704
parent,0.2041042447090149,0.16393670439720154,0.18322299420833588,0.1088164746761322,0.10150361806154251,0.2354632169008255,0.14130522310733795,0.2676222324371338,0.12775760889053345,0.22610324621200562,0.19855059683322906
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.18374353647232056,0.3015086054801941,0.4933079481124878,0.2884024977684021,0.3541618287563324,0.21104522049427032,0.44245919585227966,0.31091248989105225
with,0.2464839518070221,0.2505682706832886,0.41827285289764404,0.1664356142282486,0.25472134351730347,0.4223487675189972,0.13737362623214722,0.48046383261680603,0.20532575249671936,0.4239959120750427,0.2433311939239502
all,0.41981086134910583,0.35742777585983276,0.42798417806625366,0.22449766099452972,0.33943864703178406,0.4860881567001343,0.15661290287971497,0.5559456944465637,0.28458017110824585,0.42520734667778015,0.29575422406196594
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.1981438249349594,0.34736719727516174,1.0,0.17760860919952393,0.40389683842658997,0.22827552258968353,0.535392165184021,0.22068053483963013
normal,0.32813265919685364,0.33289337158203125,0.2300747036933899,0.1834588348865509,0.2654018700122833,0.25256022810935974,0.17158934473991394,0.39153462648391724,0.2071228176355362,0.32997602224349976,0.19617988169193268
forms,0.16334041953086853,0.4727765917778015,0.33835989236831665,0.21003156900405884,0.15465429425239563,0.2950737178325653,0.09603070467710495,0.2902635931968689,0.14179015159606934,0.2363802045583725,0.1196754202246666
of,0.33290785551071167,0.2447618544101715,1.0,0.2260950356721878,0.2513895630836487,0.733189046382904,0.19968076050281525,0.3802283704280853,0.22348599135875702,0.41548454761505127,0.1826142966747284
