,how,are,forces,classified,with,regard,to,push,and,pull,strengt,?
because,0.48179173469543457,0.43093472719192505,0.23636893928050995,0.23572662472724915,0.3967972993850708,0.30731096863746643,0.5166091918945312,0.2898406982421875,0.5069696307182312,0.3443101644515991,0.28731852769851685,0.2528740465641022
of,0.2480744868516922,0.39081433415412903,0.3090144991874695,0.1888706386089325,0.41827285289764404,0.30316218733787537,0.41548454761505127,0.160488098859787,0.5116966962814331,0.20078323781490326,0.2266097068786621,0.1826142966747284
these,0.41104358434677124,0.7107698917388916,0.23580892384052277,0.3837910592556,0.37595367431640625,0.331228643655777,0.46852558851242065,0.2535233497619629,0.5314885973930359,0.2755258083343506,0.21177522838115692,0.2571668326854706
characteristics,0.2801452875137329,0.3447020947933197,0.21298402547836304,0.31529346108436584,0.2833670675754547,0.33298924565315247,0.27771568298339844,0.1628653109073639,0.32942116260528564,0.1866634637117386,0.3855266273021698,0.13894438743591309
",",0.22659391164779663,0.4062570035457611,0.2544684410095215,0.26173529028892517,0.4120737314224243,0.3138519823551178,0.44245919585227966,0.20323559641838074,0.6633074283599854,0.1871376484632492,0.278938353061676,0.31091248989105225
forces,0.17453457415103912,0.22039441764354706,1.0,0.08104058355093002,0.18998397886753082,0.2055433988571167,0.2581802308559418,0.3531217873096466,0.26456665992736816,0.28614336252212524,0.30926868319511414,0.16984491050243378
are,0.311818927526474,1.0,0.22039441764354706,0.3116118311882019,0.38996943831443787,0.3128238320350647,0.3504326641559601,0.20548786222934723,0.48576638102531433,0.24050328135490417,0.1368243247270584,0.24591213464736938
classified,0.18867139518260956,0.3116118311882019,0.08104058355093002,1.0,0.1754152923822403,0.2941648066043854,0.17334192991256714,0.05691299960017204,0.19425830245018005,0.0916610136628151,0.16766177117824554,0.1583244353532791
as,0.33782753348350525,0.3826591968536377,0.1724308878183365,0.3245912194252014,0.40387406945228577,0.3178327679634094,0.42092081904411316,0.15542706847190857,0.49487000703811646,0.17024549841880798,0.23435325920581818,0.27043893933296204
``,-0.01591024175286293,0.12624181807041168,0.10580282658338547,0.03180677071213722,0.08974023163318634,0.0423252135515213,0.06720756739377975,0.038635436445474625,0.036644238978624344,0.04575478658080101,0.07374928891658783,0.0685480609536171
vector,0.28761154413223267,0.21720997989177704,0.1949061155319214,0.12908418476581573,0.16130279004573822,0.19980281591415405,0.22790080308914185,0.19061753153800964,0.20854924619197845,0.1675022691488266,0.1189844161272049,0.26140129566192627
quantities,0.34689947962760925,0.411860853433609,0.2457129955291748,0.2504298686981201,0.27835097908973694,0.30490225553512573,0.26089707016944885,0.14195744693279266,0.30532482266426086,0.15101754665374756,0.2523771822452545,0.18230070173740387
'',-0.0029843549709767103,0.0263817198574543,-0.10743251442909241,0.07598919421434402,0.07907696813344955,0.08324848115444183,-0.009905828163027763,-0.0677429735660553,0.021612688899040222,-0.0765199065208435,-0.11044951528310776,0.018684765323996544
.,0.3287222981452942,0.3452940285205841,0.21802116930484772,0.22738878428936005,0.4446153938770294,0.2473854273557663,0.4645031690597534,0.21724948287010193,0.588965117931366,0.21336685121059418,0.2389504313468933,0.4130953550338745
,how,are,forces,classified,with,regard,to,push,and,pull,strengt,?
forces,0.17453457415103912,0.22039441764354706,1.0,0.08104058355093002,0.18998397886753082,0.2055433988571167,0.2581802308559418,0.3531217873096466,0.26456665992736816,0.28614336252212524,0.30926868319511414,0.16984491050243378
act,0.21768730878829956,0.22266654670238495,0.24012219905853271,0.16774624586105347,0.18591532111167908,0.2399400770664215,0.24833928048610687,0.21127457916736603,0.2776535749435425,0.23182617127895355,0.1262764185667038,0.1482519507408142
in,0.2601168751716614,0.3841303884983063,0.2565164566040039,0.19124440848827362,0.4080928862094879,0.26254305243492126,0.45010748505592346,0.12143252044916153,0.4954058527946472,0.1557469218969345,0.2600567638874054,0.20430970191955566
a,0.29312583804130554,0.265255331993103,0.17848460376262665,0.24269431829452515,0.3783375024795532,0.22705335915088654,0.45503583550453186,0.2631731927394867,0.3739250600337982,0.2186390608549118,0.2486058920621872,0.23916715383529663
particular,0.4206317663192749,0.3587656319141388,0.17371921241283417,0.260313481092453,0.34431731700897217,0.37784653902053833,0.40318208932876587,0.1824926733970642,0.29526737332344055,0.20138905942440033,0.22620297968387604,0.2741454839706421
direction,0.25684070587158203,0.16355663537979126,0.24017015099525452,0.08582402020692825,0.15570828318595886,0.2144487500190735,0.32930055260658264,0.31452929973602295,0.2529398798942566,0.28726309537887573,0.19089539349079132,0.10739318281412125
and,0.33647966384887695,0.48576638102531433,0.26456665992736816,0.19425830245018005,0.5477725267410278,0.31110963225364685,0.48971283435821533,0.24296659231185913,1.0,0.25653940439224243,0.3368757963180542,0.20544172823429108
