,how,many,possible,bids,for,the,prize,were,there,in,1915,?
in,0.2601168751716614,0.41474202275276184,0.2287878543138504,0.23701345920562744,0.4322226941585541,0.6662389636039734,0.21274791657924652,0.3815755248069763,0.5361666083335876,1.0,0.006125167012214661,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.32701125741004944,0.2717687487602234,0.4739971458911896,1.0,0.18969248235225677,0.3906462490558624,0.47025805711746216,0.6662389636039734,0.08504247665405273,0.22068053483963013
years,0.21949264407157898,0.2731519937515259,0.18989154696464539,0.17285563051700592,0.2878222167491913,0.2912273406982422,0.14683568477630615,0.3048669695854187,0.26500028371810913,0.33554986119270325,0.049383752048015594,0.1914375126361847
after,0.23871733248233795,0.2586410939693451,0.20910368859767914,0.286252498626709,0.3650246858596802,0.4565047025680542,0.17313100397586823,0.36224013566970825,0.28266575932502747,0.44050168991088867,0.17704840004444122,0.16608688235282898
these,0.41104358434677124,0.7077717185020447,0.40626785159111023,0.21712514758110046,0.41566818952560425,0.49086877703666687,0.11440633237361908,0.587685227394104,0.5289234519004822,0.3791837692260742,0.033111412078142166,0.2571668326854706
rumors,0.21979646384716034,0.2876269221305847,0.18219298124313354,0.21635320782661438,0.2079700231552124,0.22800762951374054,0.11543835699558258,0.3048383891582489,0.27425912022590637,0.22423382103443146,0.1582825630903244,0.18250153958797455
",",0.22659391164779663,0.40610817074775696,0.3032452464103699,0.2200302630662918,0.4464869201183319,0.4933079481124878,0.28670501708984375,0.36755475401878357,0.4587128460407257,0.5201468467712402,0.09898091107606888,0.31091248989105225
neither,0.30782127380371094,0.27210158109664917,0.29077422618865967,0.20804797112941742,0.247287318110466,0.34867867827415466,0.1887931078672409,0.2564946711063385,0.32794633507728577,0.2894112467765808,0.17583660781383514,0.262674480676651
tesla,0.19128404557704926,0.15282970666885376,0.16472671926021576,0.09286211431026459,0.13983871042728424,0.1324402391910553,0.196644127368927,0.1222306564450264,0.16046448051929474,0.17097744345664978,0.025502555072307587,0.10250775516033173
nor,0.29089364409446716,0.22270451486110687,0.2757742404937744,0.19450022280216217,0.2136548012495041,0.26533758640289307,0.12496430426836014,0.20416341722011566,0.24865810573101044,0.22536039352416992,0.16951951384544373,0.2602383494377136
edison,0.18610601127147675,0.17797479033470154,0.22378265857696533,0.18531586229801178,0.1954379379749298,0.25419825315475464,0.20493881404399872,0.15140701830387115,0.1455366313457489,0.22187061607837677,0.005536919459700584,0.10244420915842056
won,0.13434793055057526,0.2252970188856125,0.14782288670539856,0.19511929154396057,0.3782569169998169,0.29432493448257446,0.4721262753009796,0.26106932759284973,0.19670894742012024,0.3280489146709442,0.10566910356283188,0.17925700545310974
the,0.33890387415885925,0.4335206151008606,0.32701125741004944,0.2717687487602234,0.4739971458911896,1.0,0.18969248235225677,0.3906462490558624,0.47025805711746216,0.6662389636039734,0.08504247665405273,0.22068053483963013
prize,0.17078591883182526,0.19629333913326263,0.08884800970554352,0.15725825726985931,0.2797470688819885,0.18969248235225677,0.9999999403953552,0.12308207899332047,0.11046738177537918,0.21274791657924652,-0.03872782737016678,0.14158497750759125
(,0.1676948219537735,0.1455259770154953,0.20266100764274597,0.09957144409418106,0.3357032239437103,0.33289089798927307,0.23201456665992737,0.14743882417678833,0.22351126372814178,0.3087427020072937,0.13259409368038177,0.40561532974243164
although,0.26196205615997314,0.36542749404907227,0.3076933026313782,0.16217422485351562,0.2825305759906769,0.3265823423862457,0.1130966991186142,0.29094749689102173,0.3271690905094147,0.28763338923454285,0.03717978671193123,0.15541206300258636
edison,0.18610601127147675,0.17797479033470154,0.22378265857696533,0.18531586229801178,0.1954379379749298,0.25419825315475464,0.20493881404399872,0.15140701830387115,0.1455366313457489,0.22187061607837677,0.005536919459700584,0.10244420915842056
did,0.375736802816391,0.375588983297348,0.34132009744644165,0.2074536234140396,0.318512886762619,0.34736719727516174,0.20095181465148926,0.4162326455116272,0.29736605286598206,0.2593238651752472,0.10237006098031998,0.3023456633090973
receive,0.21153150498867035,0.22689224779605865,0.2730034589767456,0.1811780035495758,0.31519460678100586,0.2726488411426544,0.3380831480026245,0.2287544459104538,0.19869321584701538,0.19334688782691956,-0.0033162098843604326,0.1652119904756546
one,0.3213292360305786,0.4223630726337433,0.3811245262622833,0.2188873291015625,0.384836345911026,0.5514441132545471,0.20317181944847107,0.3453167676925659,0.43285492062568665,0.4129433035850525,0.11704076826572418,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.3314395844936371,0.26786938309669495,0.4185989499092102,0.733189046382904,0.2154514491558075,0.34038281440734863,0.44397735595703125,0.5696388483047485,0.06728941202163696,0.1826142966747284
38,-0.05491543188691139,-0.029144637286663055,-0.024905124679207802,0.016377994790673256,0.02082526683807373,0.054539695382118225,-0.007860010489821434,-0.017668304964900017,-0.04129325598478317,0.033282700926065445,-0.052012789994478226,0.014457103796303272
possible,0.3728843033313751,0.2711280584335327,1.0,0.23015910387039185,0.3421795666217804,0.32701125741004944,0.08884800970554352,0.2087617963552475,0.42263469099998474,0.2287878543138504,0.0715147852897644,0.3059970438480377
bids,0.15445132553577423,0.15081314742565155,0.23015910387039185,1.0,0.23067942261695862,0.2717687487602234,0.15725825726985931,0.22321373224258423,0.18168626725673676,0.23701345920562744,0.10583663731813431,0.13915638625621796
in,0.2601168751716614,0.41474202275276184,0.2287878543138504,0.23701345920562744,0.4322226941585541,0.6662389636039734,0.21274791657924652,0.3815755248069763,0.5361666083335876,1.0,0.006125167012214661,0.20430970191955566
1915,0.13828672468662262,0.02653982676565647,0.0715147852897644,0.10583663731813431,0.044799767434597015,0.08504247665405273,-0.03872782737016678,0.10437843948602676,0.07592495530843735,0.006125167012214661,0.9999999403953552,0.2152155190706253
and,0.33647966384887695,0.5296266674995422,0.29339438676834106,0.21343348920345306,0.5064792633056641,0.5171257257461548,0.19794146716594696,0.42175528407096863,0.4242868423461914,0.4954058527946472,0.07952219247817993,0.20544172823429108
tesla,0.19128404557704926,0.15282970666885376,0.16472671926021576,0.09286211431026459,0.13983871042728424,0.1324402391910553,0.196644127368927,0.1222306564450264,0.16046448051929474,0.17097744345664978,0.025502555072307587,0.10250775516033173
did,0.375736802816391,0.375588983297348,0.34132009744644165,0.2074536234140396,0.318512886762619,0.34736719727516174,0.20095181465148926,0.4162326455116272,0.29736605286598206,0.2593238651752472,0.10237006098031998,0.3023456633090973
receive,0.21153150498867035,0.22689224779605865,0.2730034589767456,0.1811780035495758,0.31519460678100586,0.2726488411426544,0.3380831480026245,0.2287544459104538,0.19869321584701538,0.19334688782691956,-0.0033162098843604326,0.1652119904756546
one,0.3213292360305786,0.4223630726337433,0.3811245262622833,0.2188873291015625,0.384836345911026,0.5514441132545471,0.20317181944847107,0.3453167676925659,0.43285492062568665,0.4129433035850525,0.11704076826572418,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.3314395844936371,0.26786938309669495,0.4185989499092102,0.733189046382904,0.2154514491558075,0.34038281440734863,0.44397735595703125,0.5696388483047485,0.06728941202163696,0.1826142966747284
38,-0.05491543188691139,-0.029144637286663055,-0.024905124679207802,0.016377994790673256,0.02082526683807373,0.054539695382118225,-0.007860010489821434,-0.017668304964900017,-0.04129325598478317,0.033282700926065445,-0.052012789994478226,0.014457103796303272
possible,0.3728843033313751,0.2711280584335327,1.0,0.23015910387039185,0.3421795666217804,0.32701125741004944,0.08884800970554352,0.2087617963552475,0.42263469099998474,0.2287878543138504,0.0715147852897644,0.3059970438480377
bids,0.15445132553577423,0.15081314742565155,0.23015910387039185,1.0,0.23067942261695862,0.2717687487602234,0.15725825726985931,0.22321373224258423,0.18168626725673676,0.23701345920562744,0.10583663731813431,0.13915638625621796
in,0.2601168751716614,0.41474202275276184,0.2287878543138504,0.23701345920562744,0.4322226941585541,0.6662389636039734,0.21274791657924652,0.3815755248069763,0.5361666083335876,1.0,0.006125167012214661,0.20430970191955566
1937,0.040407389402389526,-0.03234754875302315,0.06781347095966339,0.03863666579127312,-0.015632741153240204,0.11461441218852997,-0.10024087131023407,-0.05758277699351311,0.09442536532878876,0.023682521656155586,-0.0966683030128479,-0.06511971354484558
),0.17939934134483337,0.16602720320224762,0.23480179905891418,0.10668141394853592,0.3639558255672455,0.3456730246543884,0.21514295041561127,0.1566188633441925,0.24042794108390808,0.3326910734176636,0.1393681913614273,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.2935521602630615,0.20700238645076752,0.4726039469242096,0.5934505462646484,0.24712836742401123,0.3378238379955292,0.43897318840026855,0.5591574311256409,0.056097935885190964,0.4130953550338745
