,when,was,the,heyday,of,secular,arab,nationalism,?
similarly,0.35719138383865356,0.22495980560779572,0.33859682083129883,0.23761790990829468,0.29464200139045715,0.23018699884414673,0.1714184582233429,0.2371966391801834,0.23036029934883118
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23995615541934967,0.4946078956127167,0.21358442306518555,0.21227021515369415,0.20392820239067078,0.31091248989105225
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.27970248460769653,0.5052502155303955,0.22842510044574738,0.1530216783285141,0.21795016527175903,0.23916715383529663
writer,0.12485495209693909,0.29712387919425964,0.1583879292011261,0.20318081974983215,0.14383116364479065,0.21654893457889557,0.1275896281003952,0.20863842964172363,0.1860569268465042
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.2732592523097992,0.4185989499092102,0.1788387894630432,0.17779098451137543,0.17595642805099487,0.264628142118454
the,0.5091903209686279,0.48711544275283813,1.0,0.3456340432167053,0.733189046382904,0.24261851608753204,0.2674407660961151,0.24141642451286316,0.22068053483963013
international,0.1598627120256424,0.22185437381267548,0.23719607293605804,0.26819050312042236,0.23367412388324738,0.2100449651479721,0.27056318521499634,0.2712375521659851,0.15335838496685028
crisis,0.24111725389957428,0.20050278306007385,0.263981431722641,0.27985095977783203,0.2267792969942093,0.1853751838207245,0.24019919335842133,0.3415471315383911,0.17902959883213043
group,0.22595302760601044,0.1789962202310562,0.30795547366142273,0.2563417851924896,0.25542253255844116,0.21637387573719025,0.22176843881607056,0.21706095337867737,0.13827809691429138
maintains,0.16212843358516693,0.15520937740802765,0.2744854986667633,0.25991377234458923,0.2886165380477905,0.2108081877231598,0.13597361743450165,0.16948877274990082,0.13273680210113525
that,0.5860282182693481,0.33670201897621155,0.5473989248275757,0.26174241304397583,0.41498205065727234,0.24409061670303345,0.20723535120487213,0.23851434886455536,0.32716336846351624
