,what,do,some,modern,historians,claim,genghis,khan,sought,to,add,his,legal,code,at,the,end,of,his,reign,?
modern,0.2655639946460724,0.1850697249174118,0.3517571687698364,0.9999999403953552,0.3506655693054199,0.17372636497020721,0.22175610065460205,0.18079805374145508,0.19053468108177185,0.193939670920372,0.1235111653804779,0.21339957416057587,0.241634801030159,0.11142125725746155,0.20050804316997528,0.3283970355987549,0.16392387449741364,0.3482828736305237,0.21339957416057587,0.14689895510673523,0.12475407868623734
mongolian,0.15557456016540527,0.18615677952766418,0.22337187826633453,0.2156040072441101,0.269815593957901,0.15088284015655518,0.463535338640213,0.4463278353214264,0.13943837583065033,0.152916818857193,0.14037291705608368,0.12383781373500824,0.09490703046321869,0.1269218474626541,0.1129956841468811,0.2657795250415802,0.12529782950878143,0.22608324885368347,0.12383781373500824,0.19361445307731628,0.13122369349002838
historians,0.3240909278392792,0.20193712413311005,0.3562980890274048,0.3506655693054199,1.0000001192092896,0.3242246210575104,0.33834153413772583,0.14363840222358704,0.3367985785007477,0.2267346978187561,0.15067504346370697,0.27814966440200806,0.31372061371803284,0.1104237288236618,0.209347665309906,0.2874947786331177,0.14859794080257416,0.27032220363616943,0.27814966440200806,0.3030463755130768,0.15053395926952362
say,0.5386801958084106,0.47272729873657227,0.4367883801460266,0.1616780161857605,0.36744967103004456,0.4226157069206238,0.14951521158218384,0.1146652102470398,0.28947314620018005,0.38071900606155396,0.37411198019981384,0.21501833200454712,0.24022510647773743,0.17356951534748077,0.24579253792762756,0.3200206458568573,0.25605717301368713,0.30290520191192627,0.21501833200454712,0.20940393209457397,0.4357808530330658
that,0.6297725439071655,0.44533252716064453,0.6049469113349915,0.24473170936107635,0.33720818161964417,0.39801377058029175,0.21352417767047882,0.14077997207641602,0.2937079668045044,0.5436353087425232,0.3522574305534363,0.3173833191394806,0.27556097507476807,0.24591493606567383,0.3183255195617676,0.5473989248275757,0.3221861720085144,0.41498205065727234,0.3173833191394806,0.17030572891235352,0.32716336846351624
towards,0.281793475151062,0.17889739573001862,0.1879536360502243,0.10517648607492447,0.15203863382339478,0.2002532035112381,0.16257411241531372,0.16004711389541626,0.2506628930568695,0.3675195574760437,0.14929041266441345,0.23683172464370728,0.08677952736616135,0.03335821256041527,0.35422083735466003,0.31815874576568604,0.350705623626709,0.26409703493118286,0.23683172464370728,0.14319726824760437,0.13023285567760468
the,0.42745697498321533,0.30239659547805786,0.4566698372364044,0.3283970355987549,0.2874947786331177,0.25873351097106934,0.3448939025402069,0.21067845821380615,0.2821049392223358,0.535392165184021,0.22751019895076752,0.4394008219242096,0.25629305839538574,0.25827479362487793,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.2661008834838867,0.22068053483963013
end,0.29234179854393005,0.20633022487163544,0.22784072160720825,0.16392387449741364,0.14859794080257416,0.1461600810289383,0.16244083642959595,0.10811278969049454,0.1212388426065445,0.3229445815086365,0.207328662276268,0.18775546550750732,0.10576511174440384,0.1522117257118225,0.3223728835582733,0.39658910036087036,1.0,0.2215006798505783,0.18775546550750732,0.23640573024749756,0.12543344497680664
of,0.33290785551071167,0.26150479912757874,0.4300730526447296,0.3482828736305237,0.27032220363616943,0.2833690047264099,0.2938849925994873,0.17124508321285248,0.33104926347732544,0.41548454761505127,0.22190609574317932,0.38364991545677185,0.2720220685005188,0.17838595807552338,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.38364991545677185,0.2783183157444,0.1826142966747284
his,0.26976513862609863,0.15088757872581482,0.3033970892429352,0.21339957416057587,0.27814966440200806,0.24642159044742584,0.3744826912879944,0.26570460200309753,0.3289314806461334,0.3715193271636963,0.12526383996009827,0.9999998807907104,0.2390483319759369,0.09017863124608994,0.27659502625465393,0.4394008219242096,0.18775546550750732,0.38364991545677185,0.9999998807907104,0.34225884079933167,0.18075084686279297
