,who,was,philip,i,?
in,0.2792111933231354,0.45514053106307983,0.26558998227119446,0.22907796502113342,0.20430970191955566
october,0.2386598140001297,0.4627581834793091,0.2038508951663971,0.28327426314353943,0.29706719517707825
1529,0.17991788685321808,0.3086448013782501,0.22485961019992828,0.19180895388126373,0.17319193482398987
",",0.3365725874900818,0.45456063747406006,0.28930366039276123,0.3467482030391693,0.31091248989105225
philip,0.25307518243789673,0.2779109477996826,1.0,0.1982668936252594,0.11887923628091812
i,0.33545589447021484,0.23566235601902008,0.1982668936252594,0.9999999403953552,0.4695145785808563
",",0.3365725874900818,0.45456063747406006,0.28930366039276123,0.3467482030391693,0.31091248989105225
landgrave,0.24670644104480743,0.2653643488883972,0.3638521134853363,0.3035884201526642,0.2453048676252365
of,0.2827862501144409,0.4069072902202606,0.24375313520431519,0.25849398970603943,0.1826142966747284
hesse,0.16736814379692078,0.20059940218925476,0.21449171006679535,0.1959533989429474,0.11271942406892776
",",0.3365725874900818,0.45456063747406006,0.28930366039276123,0.3467482030391693,0.31091248989105225
convoked,0.17892791330814362,0.2997734546661377,0.11372026801109314,0.2569308578968048,0.24001100659370422
an,0.2848317325115204,0.3694365322589874,0.1788911074399948,0.20297521352767944,0.19793890416622162
assembly,0.14239798486232758,0.2233278602361679,0.08638303726911545,0.14896120131015778,0.1488889455795288
of,0.2827862501144409,0.4069072902202606,0.24375313520431519,0.25849398970603943,0.1826142966747284
german,0.29263320565223694,0.26016926765441895,0.1672707498073578,0.17131662368774414,0.13978645205497742
and,0.41279885172843933,0.3740963041782379,0.23630882799625397,0.31928038597106934,0.20544172823429108
swiss,0.22544366121292114,0.1790563017129898,0.16558605432510376,0.10810305923223495,0.11023817211389542
theologians,0.3292122781276703,0.2297595590353012,0.32079339027404785,0.27837711572647095,0.1817215532064438
at,0.22096660733222961,0.36707764863967896,0.18526242673397064,0.21474871039390564,0.21978627145290375
the,0.3733934462070465,0.48711544275283813,0.21499985456466675,0.26687872409820557,0.22068053483963013
marburg,0.09919195622205734,0.20434141159057617,0.21763329207897186,0.14462429285049438,0.21810835599899292
colloquy,0.18983681499958038,0.20938414335250854,0.1734432578086853,0.24031604826450348,0.2766325771808624
",",0.3365725874900818,0.45456063747406006,0.28930366039276123,0.3467482030391693,0.31091248989105225
to,0.42656609416007996,0.3636345863342285,0.17181846499443054,0.3140375316143036,0.29463258385658264
establish,0.22847558557987213,0.1769464761018753,0.1538999378681183,0.1774914264678955,0.21678102016448975
doctrinal,0.2124752402305603,0.185368150472641,0.16379430890083313,0.24188126623630524,0.2294653207063675
unity,0.11465095728635788,0.1891278475522995,0.16304321587085724,0.13444408774375916,0.16156218945980072
in,0.2792111933231354,0.45514053106307983,0.26558998227119446,0.22907796502113342,0.20430970191955566
the,0.3733934462070465,0.48711544275283813,0.21499985456466675,0.26687872409820557,0.22068053483963013
emerging,0.11290263384580612,0.1647235006093979,0.04956991970539093,0.07530732452869415,0.08310811966657639
protestant,0.2817428708076477,0.25246119499206543,0.23886026442050934,0.26046451926231384,0.14798137545585632
states,0.21313154697418213,0.2847922146320343,0.1780419945716858,0.13124917447566986,0.16272737085819244
.,0.3541337847709656,0.40146201848983765,0.2297613024711609,0.33645379543304443,0.4130953550338745
