,what,did,luther,try,to,avoid,in,setting,up,his,church,?
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.5391331911087036,1.0,0.33193957805633545,0.45010748505592346,0.27501755952835083,0.40375280380249023,0.3715193271636963,0.24439501762390137,0.29463258385658264
avoid,0.2615243196487427,0.2150208204984665,0.08383923768997192,0.48716989159584045,0.33193957805633545,1.0,0.2092532515525818,0.2179669290781021,0.2612486481666565,0.20237182080745697,0.11406967043876648,0.26885488629341125
confusing,0.4437975287437439,0.25420722365379333,0.195504829287529,0.4400016665458679,0.4084790349006653,0.5200275182723999,0.23178307712078094,0.2521575391292572,0.32934457063674927,0.2011151760816574,0.17992788553237915,0.4075877368450165
or,0.33867141604423523,0.28211739659309387,0.14215725660324097,0.3808893859386444,0.38921234011650085,0.39708808064460754,0.3586423695087433,0.2601090967655182,0.28756099939346313,0.2118215411901474,0.1717420071363449,0.32389625906944275
upsetting,0.4384041726589203,0.34245726466178894,0.22007520496845245,0.40662479400634766,0.36314845085144043,0.3504975438117981,0.2205435037612915,0.6854018568992615,0.3121185302734375,0.3632141351699829,0.17417721450328827,0.2849906086921692
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.28568562865257263,0.535392165184021,0.24833035469055176,0.6662389636039734,0.2991926074028015,0.38423117995262146,0.4394008219242096,0.23846197128295898,0.22068053483963013
people,0.32444337010383606,0.26765021681785583,0.14102250337600708,0.2442074567079544,0.37275731563568115,0.22373026609420776,0.39605680108070374,0.15957944095134735,0.2338736206293106,0.17825907468795776,0.2693098783493042,0.23739641904830933
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.27472031116485596,0.44245919585227966,0.22226782143115997,0.5201468467712402,0.2050757110118866,0.34193792939186096,0.3378419280052185,0.2707274258136749,0.31091248989105225
luther,0.2134782373905182,0.23667675256729126,1.0,0.15412436425685883,0.18029534816741943,0.08383923768997192,0.20523880422115326,0.12176704406738281,0.16395266354084015,0.27093374729156494,0.379041463136673,0.1732746809720993
avoided,0.2626214921474457,0.23433861136436462,0.0494149774312973,0.3931396007537842,0.2986029088497162,0.7334337830543518,0.24172984063625336,0.2257438749074936,0.18005578219890594,0.23515091836452484,0.09468161314725876,0.23636457324028015
extreme,0.21726317703723907,0.08957763016223907,0.16198594868183136,0.14657710492610931,0.24075588583946228,0.21551892161369324,0.2783166170120239,0.17199917137622833,0.16046622395515442,0.1744176596403122,0.1762123703956604,0.12677998840808868
change,0.3690716028213501,0.2806394100189209,0.18148183822631836,0.34842753410339355,0.3581787943840027,0.2843581438064575,0.2510564923286438,0.2516956627368927,0.2605941891670227,0.14866608381271362,0.1608399897813797,0.24115969240665436
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.3077121675014496,0.4645031690597534,0.19342699646949768,0.5591574311256409,0.2672421634197235,0.351434588432312,0.3119256794452667,0.28898224234580994,0.4130953550338745
