,what,type,of,locomotive,was,salamanca,?
only,0.41415658593177795,0.24842338263988495,0.49632513523101807,0.16294878721237183,0.36249664425849915,0.16646075248718262,0.2767370045185089
four,0.18057085573673248,0.09843834489583969,0.36293646693229675,0.17399489879608154,0.2866098880767822,0.1409083902835846,0.14532537758350372
years,0.1981470286846161,0.13421817123889923,0.2904134690761566,0.15295256674289703,0.35855233669281006,0.1695789098739624,0.1914375126361847
later,0.2517229914665222,0.08406522125005722,0.3458743393421173,0.14006976783275604,0.5684447288513184,0.1861320436000824,0.1417175978422165
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19542674720287323,0.45456063747406006,0.24841874837875366,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22304096817970276,0.48711544275283813,0.25914448499679565,0.22068053483963013
successful,0.16902779042720795,0.11516346782445908,0.2304827868938446,0.17497657239437103,0.3046294152736664,0.1680723875761032,0.1132197454571724
twin-cylinder,0.12080153822898865,0.21965238451957703,0.20025764405727386,0.382292777299881,0.1492394208908081,0.09348025918006897,0.17149202525615692
locomotive,0.13605007529258728,0.2152675837278366,0.21016043424606323,1.0,0.17496159672737122,0.11332061141729355,0.10199091583490372
salamanca,0.1563919335603714,0.10373789072036743,0.23660385608673096,0.11332061141729355,0.17990678548812866,1.0,0.15753762423992157
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.188749298453331,0.4752357602119446,0.11833664774894714,0.17966607213020325
matthew,0.22658760845661163,0.11414927989244461,0.16816847026348114,0.14022740721702576,0.2298666387796402,0.061696045100688934,0.08641620725393295
murray,0.09951125830411911,0.03945678099989891,0.18884317576885223,0.1343178153038025,0.20908302068710327,0.16634301841259003,0.17931228876113892
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.17496159672737122,1.0000001192092896,0.17990678548812866,0.18412111699581146
used,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.18945914506912231,0.23679393529891968,0.08582582324743271,0.22430120408535004
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.188749298453331,0.4752357602119446,0.11833664774894714,0.17966607213020325
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22304096817970276,0.48711544275283813,0.25914448499679565,0.22068053483963013
edge,0.2064312994480133,0.09826608747243881,0.2350095808506012,0.08999417722225189,0.16399753093719482,0.09965520352125168,0.06842754781246185
railed,0.2472955286502838,0.1801208257675171,0.22992178797721863,0.5526694655418396,0.30339691042900085,0.23138418793678284,0.22706663608551025
rack,0.16166095435619354,0.2078232616186142,0.11532115191221237,0.2525339424610138,0.16154694557189941,0.08133076131343842,0.18209603428840637
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.19402746856212616,0.3740963041782379,0.17078030109405518,0.20544172823429108
pinion,0.2833682894706726,0.11817335337400436,0.22209453582763672,0.17449137568473816,0.2386731654405594,0.2213190644979477,0.32330402731895447
middleton,0.19234812259674072,0.10791610926389694,0.21115407347679138,0.17681755125522614,0.284627765417099,0.1261083334684372,0.1538165658712387
railway,0.16704553365707397,0.1470533311367035,0.21322962641716003,0.562675416469574,0.20427824556827545,0.15151166915893555,0.07994066178798676
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.23093467950820923,0.40146201848983765,0.2542265057563782,0.4130953550338745
