,what,are,some,chlorophyta,and,euglenid,chloroplasts,missing,?
small,0.2504110634326935,0.3959871232509613,0.39604613184928894,0.24160811305046082,0.35207539796829224,0.33635765314102173,0.2841032147407532,0.16384440660476685,0.13914890587329865
subunit,0.22961054742336273,0.2491927593946457,0.20902226865291595,0.5095261335372925,0.17987535893917084,0.35883572697639465,0.5129435062408447,0.13621866703033447,0.1541762799024582
ribosomal,0.23140905797481537,0.2612936496734619,0.2850487232208252,0.5591098070144653,0.20109616219997406,0.456947922706604,0.632801353931427,0.2447860836982727,0.19425663352012634
rnas,0.12736788392066956,0.30563873052597046,0.2727831304073334,0.5094137787818909,0.22648794949054718,0.3811746835708618,0.5609561204910278,0.14334051311016083,0.13039375841617584
in,0.30808621644973755,0.3841303884983063,0.4010399878025055,0.18371477723121643,0.4954058527946472,0.2464810311794281,0.21141497790813446,0.2340807020664215,0.20430970191955566
several,0.22446060180664062,0.4241659343242645,0.6083422303199768,0.2219846546649933,0.4663935899734497,0.2880098819732666,0.24696697294712067,0.23791393637657166,0.15595775842666626
chlorophyta,0.25248295068740845,0.2551927864551544,0.26123613119125366,0.9999999403953552,0.20930558443069458,0.6098557114601135,0.8686989545822144,0.21327093243598938,0.13575826585292816
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.20930558443069458,1.0,0.28829437494277954,0.21511349081993103,0.2305000275373459,0.20544172823429108
euglenid,0.26568225026130676,0.3561842143535614,0.4164029359817505,0.6098557114601135,0.28829437494277954,1.0000001192092896,0.6167436242103577,0.21404999494552612,0.19362717866897583
chloroplasts,0.2524593770503998,0.3103833794593811,0.3096705377101898,0.8686989545822144,0.21511349081993103,0.6167436242103577,0.9999999403953552,0.19335046410560608,0.13049766421318054
lack,0.28247135877609253,0.32981225848197937,0.42776554822921753,0.273359090089798,0.29595619440078735,0.318853497505188,0.27657729387283325,0.2096097469329834,0.16953514516353607
motifs,0.22384928166866302,0.27313101291656494,0.2738581895828247,0.22288267314434052,0.1825248748064041,0.30512386560440063,0.281780868768692,0.12301759421825409,0.17096665501594543
for,0.3017193675041199,0.3895993232727051,0.4257155656814575,0.22147110104560852,0.5064792633056641,0.16983701288700104,0.22036349773406982,0.20977023243904114,0.264628142118454
shine-dalgarno,0.17499326169490814,0.1389932632446289,0.19366633892059326,0.3485561013221741,0.27915841341018677,0.3521707057952881,0.33479318022727966,0.11790245771408081,0.22786560654640198
sequence,0.19736266136169434,0.23365551233291626,0.23680828511714935,0.3189277946949005,0.1929190307855606,0.27212756872177124,0.3495577275753021,0.1396133303642273,0.1508881151676178
recognition,0.25729188323020935,0.16518700122833252,0.2741353511810303,0.21937760710716248,0.26816076040267944,0.23469381034374237,0.22353699803352356,0.16748371720314026,0.20074869692325592
",",0.3087472915649414,0.4062570035457611,0.42400437593460083,0.23106583952903748,0.6633074283599854,0.27228695154190063,0.20794041454792023,0.2425287365913391,0.31091248989105225
which,0.5261979103088379,0.42922598123550415,0.5407140851020813,0.3432927429676056,0.506277859210968,0.36102885007858276,0.3874085545539856,0.22453530132770538,0.25814583897590637
is,0.28837618231773376,0.5330929756164551,0.3038453459739685,0.19574907422065735,0.3859752118587494,0.2650139331817627,0.22550933063030243,0.14084705710411072,0.22961433231830597
considered,0.2834889590740204,0.35714471340179443,0.3833121359348297,0.19848687946796417,0.3359341621398926,0.3123684227466583,0.19679482281208038,0.13127851486206055,0.19909770786762238
essential,0.26907849311828613,0.2622009217739105,0.2855652868747711,0.3335178792476654,0.29929104447364807,0.28918322920799255,0.37347063422203064,0.13960117101669312,0.17944687604904175
for,0.3017193675041199,0.3895993232727051,0.4257155656814575,0.22147110104560852,0.5064792633056641,0.16983701288700104,0.22036349773406982,0.20977023243904114,0.264628142118454
translation,0.22188860177993774,0.17515558004379272,0.23510560393333435,0.17072194814682007,0.2206902801990509,0.12514781951904297,0.1974135786294937,0.1453300416469574,0.22574150562286377
initiation,0.21450403332710266,0.16645196080207825,0.24476003646850586,0.27113622426986694,0.22265022993087769,0.1541002094745636,0.2366424798965454,0.10892590135335922,0.19637425243854523
in,0.30808621644973755,0.3841303884983063,0.4010399878025055,0.18371477723121643,0.4954058527946472,0.2464810311794281,0.21141497790813446,0.2340807020664215,0.20430970191955566
most,0.3219912350177765,0.48698675632476807,0.6355911493301392,0.21753408014774323,0.4309377074241638,0.3544139564037323,0.254451721906662,0.18593472242355347,0.2107497900724411
chloroplasts,0.2524593770503998,0.3103833794593811,0.3096705377101898,0.8686989545822144,0.21511349081993103,0.6167436242103577,0.9999999403953552,0.19335046410560608,0.13049766421318054
and,0.31309178471565247,0.48576638102531433,0.5337774157524109,0.20930558443069458,1.0,0.28829437494277954,0.21511349081993103,0.2305000275373459,0.20544172823429108
prokaryotes,0.27792635560035706,0.3748306632041931,0.3057655096054077,0.6954381465911865,0.23753483593463898,0.5521761775016785,0.7389701008796692,0.23264119029045105,0.22009602189064026
.,0.3567904531955719,0.3452940285205841,0.40663889050483704,0.256243497133255,0.588965117931366,0.3270464241504669,0.23868323862552643,0.2528116703033447,0.4130953550338745
