,what,did,neoclassical,economics,view,the,inequality,in,the,distribution,of,income,as,being,from,?
neoclassical,0.23971682786941528,0.1681928038597107,1.0000001192092896,0.360288143157959,0.14495335519313812,0.16609536111354828,0.3471813499927521,0.25486958026885986,0.16609536111354828,0.15124595165252686,0.2511714696884155,0.21451933681964874,0.2631709575653076,0.1652005910873413,0.17083163559436798,0.19664928317070007
economics,0.21107932925224304,0.15973663330078125,0.360288143157959,0.9999999403953552,0.12746445834636688,0.17465341091156006,0.3768908679485321,0.19117838144302368,0.17465341091156006,0.19930686056613922,0.2429119050502777,0.3433777987957001,0.1807805597782135,0.12758025527000427,0.17973090708255768,0.15849412977695465
views,0.32671356201171875,0.22832201421260834,0.22948983311653137,0.16339629888534546,0.6717442274093628,0.23137402534484863,0.2866062819957733,0.18003326654434204,0.23137402534484863,0.07077593356370926,0.1923438459634781,0.26254796981811523,0.20329707860946655,0.20981483161449432,0.2086656540632248,0.19388815760612488
inequalities,0.2880789637565613,0.21601365506649017,0.2764667868614197,0.30873915553092957,0.18943452835083008,0.22218865156173706,0.7787728309631348,0.1871931105852127,0.22218865156173706,0.2967555820941925,0.27897384762763977,0.37544959783554077,0.18969903886318207,0.1930423229932785,0.1165117621421814,0.19635117053985596
in,0.30808621644973755,0.2593238651752472,0.25486958026885986,0.19117838144302368,0.17477142810821533,0.6662389636039734,0.19402410089969635,1.0,0.6662389636039734,0.23537677526474,0.5696388483047485,0.1795814335346222,0.3887844979763031,0.33162933588027954,0.4274188280105591,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.16609536111354828,0.17465341091156006,0.25610461831092834,1.0,0.23508106172084808,0.6662389636039734,1.0,0.27569329738616943,0.733189046382904,0.23699946701526642,0.48381632566452026,0.419739305973053,0.40150508284568787,0.22068053483963013
distribution,0.17429208755493164,0.11337858438491821,0.15124595165252686,0.19930686056613922,0.1518004834651947,0.27569329738616943,0.3017756938934326,0.23537677526474,0.27569329738616943,1.0,0.254255473613739,0.24441708624362946,0.16124595701694489,0.1737903356552124,0.13387413322925568,0.0929616317152977
of,0.33290785551071167,0.2513895630836487,0.2511714696884155,0.2429119050502777,0.21446028351783752,0.733189046382904,0.27910974621772766,0.5696388483047485,0.733189046382904,0.254255473613739,1.0,0.2581324577331543,0.3886612355709076,0.34885138273239136,0.4249346852302551,0.1826142966747284
income,0.21837803721427917,0.20239697396755219,0.21451933681964874,0.3433777987957001,0.1947576254606247,0.23699946701526642,0.46967795491218567,0.1795814335346222,0.23699946701526642,0.24441708624362946,0.2581324577331543,1.0,0.1530616581439972,0.15625648200511932,0.17458222806453705,0.14935168623924255
as,0.31749409437179565,0.3596470057964325,0.2631709575653076,0.1807805597782135,0.13756150007247925,0.48381632566452026,0.1947982758283615,0.3887844979763031,0.48381632566452026,0.16124595701694489,0.3886612355709076,0.1530616581439972,1.0,0.46524563431739807,0.3251767158508301,0.27043893933296204
