,what,typically,involves,mass,production,of,similar,items,without,a,designated,purchaser,?
construction,0.20329850912094116,0.2502332627773285,0.1520182341337204,0.17921249568462372,0.4035132825374603,0.2815735340118408,0.21447475254535675,0.21293030679225922,0.15337960422039032,0.25036895275115967,0.2442348301410675,0.25851771235466003,0.13494056463241577
differs,0.2701770067214966,0.3924886882305145,0.38279181718826294,0.16271810233592987,0.17761367559432983,0.35657602548599243,0.48880988359451294,0.2371639609336853,0.273039847612381,0.29222291707992554,0.15412230789661407,0.20341742038726807,0.1135924756526947
from,0.2737620174884796,0.1662861853837967,0.16050751507282257,0.16470669209957123,0.1411544233560562,0.4249346852302551,0.21663272380828857,0.22521184384822845,0.3087378740310669,0.322764128446579,0.14407232403755188,0.20669233798980713,0.19969791173934937
manufacturing,0.1945977807044983,0.2827455699443817,0.22610889375209808,0.1587732583284378,0.5135786533355713,0.26644885540008545,0.2064771205186844,0.24999208748340607,0.1591344177722931,0.2579406797885895,0.21838386356830597,0.35864001512527466,0.11596895009279251
in,0.30808621644973755,0.22473083436489105,0.2665846645832062,0.1766357719898224,0.22079120576381683,0.5696388483047485,0.28091391921043396,0.2189844399690628,0.2553589344024658,0.539380669593811,0.25212356448173523,0.16668756306171417,0.20430970191955566
that,0.6297725439071655,0.34845292568206787,0.2839031517505646,0.2827543616294861,0.2620202302932739,0.41498205065727234,0.4232555329799652,0.2955382466316223,0.3644297122955322,0.47537946701049805,0.1776866316795349,0.28838545083999634,0.32716336846351624
manufacturing,0.1945977807044983,0.2827455699443817,0.22610889375209808,0.1587732583284378,0.5135786533355713,0.26644885540008545,0.2064771205186844,0.24999208748340607,0.1591344177722931,0.2579406797885895,0.21838386356830597,0.35864001512527466,0.11596895009279251
typically,0.2460547685623169,1.0,0.39386671781539917,0.2606539726257324,0.22166328132152557,0.28964799642562866,0.4410601854324341,0.33375847339630127,0.35851025581359863,0.37909039855003357,0.18786278367042542,0.2346344292163849,0.14485043287277222
involves,0.2138185203075409,0.39386671781539917,0.9999999403953552,0.19047975540161133,0.199595108628273,0.32495999336242676,0.32129567861557007,0.23392121493816376,0.35794001817703247,0.35207560658454895,0.10939797013998032,0.12700164318084717,0.14038428664207458
mass,0.23905135691165924,0.2606539726257324,0.19047975540161133,1.0000001192092896,0.20723605155944824,0.26915112137794495,0.24556690454483032,0.18264135718345642,0.1642823964357376,0.21558082103729248,0.10302019119262695,0.1346471905708313,0.2076406031847
