,what,does,computational,complexity,theory,most,specifically,seek,to,answer,?
for,0.3017193675041199,0.35159170627593994,0.3473072648048401,0.27243003249168396,0.20500218868255615,0.3906237483024597,0.3680536448955536,0.2794013023376465,0.4451248347759247,0.26086002588272095,0.264628142118454
this,0.5489566326141357,0.4166489243507385,0.3068338632583618,0.36163562536239624,0.2884212136268616,0.43080902099609375,0.4336546063423157,0.25101158022880554,0.5759071707725525,0.3053611218929291,0.3155723512172699
reason,0.3762516975402832,0.40213650465011597,0.24762894213199615,0.3196339011192322,0.23099547624588013,0.23221100866794586,0.3087867200374603,0.2452164739370346,0.3437597155570984,0.3225300908088684,0.3403966724872589
",",0.3087472915649414,0.28617382049560547,0.28742313385009766,0.27822354435920715,0.18095813691616058,0.3636029064655304,0.23526887595653534,0.2198648303747177,0.44245919585227966,0.2860236167907715,0.31091248989105225
complexity,0.33747240900993347,0.25942569971084595,0.6165810823440552,1.0,0.42510488629341125,0.22505328059196472,0.31414544582366943,0.17230305075645447,0.28336837887763977,0.3398364186286926,0.23062916100025177
theory,0.297923743724823,0.18013693392276764,0.4716552495956421,0.42510488629341125,0.9999999403953552,0.232156440615654,0.24201327562332153,0.1525757908821106,0.21947365999221802,0.28582772612571716,0.1387292891740799
addresses,0.2541500926017761,0.22681216895580292,0.340619295835495,0.3535005450248718,0.16326604783535004,0.25155192613601685,0.28190410137176514,0.2281952202320099,0.3130345940589905,0.35275909304618835,0.27525776624679565
computational,0.29464593529701233,0.2515602111816406,1.0,0.6165810823440552,0.4716552495956421,0.2605879008769989,0.2688407897949219,0.21961230039596558,0.246933713555336,0.4019113779067993,0.21617397665977478
problems,0.3306994140148163,0.24798686802387238,0.3718613386154175,0.45911696553230286,0.29832348227500916,0.25217464566230774,0.2079947590827942,0.25889378786087036,0.28989166021347046,0.311367928981781,0.2638136148452759
and,0.31309178471565247,0.3461615741252899,0.28914058208465576,0.2520415782928467,0.1765792816877365,0.4309377074241638,0.25041860342025757,0.2554384469985962,0.48971283435821533,0.23021690547466278,0.20544172823429108
not,0.5449194312095642,0.6355478763580322,0.2649179995059967,0.2915634512901306,0.24455146491527557,0.419027179479599,0.35163092613220215,0.32452452182769775,0.5149973034858704,0.3522319495677948,0.41942933201789856
particular,0.4548671245574951,0.3592778146266937,0.3820172846317291,0.41342321038246155,0.31689029932022095,0.42976608872413635,0.5757014155387878,0.28108730912208557,0.40318208932876587,0.2910423278808594,0.2741454839706421
problem,0.42183366417884827,0.27746546268463135,0.41473615169525146,0.5039530992507935,0.32978713512420654,0.2509269416332245,0.23837172985076904,0.24477243423461914,0.2502208352088928,0.4718674123287201,0.3762950301170349
instances,0.37020906805992126,0.3664023280143738,0.3396657705307007,0.37486985325813293,0.2699172794818878,0.36248978972435,0.33619174361228943,0.2670172154903412,0.35826775431632996,0.3951796591281891,0.3098512887954712
.,0.3567904531955719,0.3022993505001068,0.24047870934009552,0.21340465545654297,0.18047811090946198,0.35404038429260254,0.22534097731113434,0.20647966861724854,0.4645031690597534,0.311292439699173,0.4130953550338745
