,how,many,classes,of,immune,hypersensitivity,are,there,?
they,0.43247655034065247,0.5400822758674622,0.33271142840385437,0.3426007330417633,0.29530614614486694,0.2920900583267212,0.610666811466217,0.4573625922203064,0.2753053903579712
are,0.311818927526474,0.5655534863471985,0.2913099527359009,0.39081433415412903,0.23878547549247742,0.328281432390213,1.0,0.5433560013771057,0.24591213464736938
divided,0.1862497329711914,0.21604293584823608,0.24335725605487823,0.37450557947158813,0.08630548417568207,0.0769798532128334,0.2984093725681305,0.3226991295814514,0.10190024226903915
into,0.2303972691297531,0.2618265151977539,0.23469138145446777,0.32255905866622925,0.11432289332151413,0.11626264452934265,0.2930682599544525,0.2823928892612457,0.15662476420402527
four,0.1955733299255371,0.4139232039451599,0.22348947823047638,0.36293646693229675,0.14453503489494324,0.14161916077136993,0.3568944036960602,0.29540538787841797,0.14532537758350372
classes,0.27750828862190247,0.2907905578613281,1.0000001192092896,0.19099700450897217,0.16486960649490356,0.2670392692089081,0.2913099527359009,0.22966980934143066,0.14397528767585754
(,0.1676948219537735,0.1455259770154953,0.13770313560962677,0.35032153129577637,0.08545625954866409,0.17338092625141144,0.23263892531394958,0.22351126372814178,0.40561532974243164
type,0.23951666057109833,0.19664129614830017,0.29090338945388794,0.18112817406654358,0.21810857951641083,0.2836276888847351,0.24155041575431824,0.2376682013273239,0.17536182701587677
i,0.3186261057853699,0.22270812094211578,0.13800227642059326,0.25849398970603943,0.12000706791877747,0.1831563264131546,0.21339178085327148,0.3169231712818146,0.4695145785808563
–,0.13681066036224365,0.12880176305770874,0.06928843259811401,0.2799985408782959,0.07700099050998688,0.12285303324460983,0.08885963261127472,0.07815942913293839,0.2714554965496063
iv,0.1476476490497589,0.11576655507087708,0.10708723962306976,0.21761731803417206,0.0676310583949089,0.19898921251296997,0.12173676490783691,0.13803701102733612,0.16932271420955658
),0.17939934134483337,0.16602720320224762,0.16316144168376923,0.3680361211299896,0.052535902708768845,0.164016455411911,0.2373749315738678,0.24042794108390808,0.42300865054130554
based,0.29692843556404114,0.29395660758018494,0.1608951836824417,0.3033197224140167,0.08390846103429794,0.12119190394878387,0.3002447783946991,0.24853180348873138,0.134929820895195
on,0.32655060291290283,0.32520127296447754,0.20314931869506836,0.3966929316520691,0.1933661848306656,0.14177832007408142,0.268924742937088,0.3521401882171631,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.21469499170780182,0.733189046382904,0.21364226937294006,0.20481128990650177,0.40399202704429626,0.47025805711746216,0.22068053483963013
mechanisms,0.31400054693222046,0.2943952679634094,0.24338772892951965,0.22534649074077606,0.45769235491752625,0.3880877196788788,0.26928025484085083,0.18921196460723877,0.20209980010986328
involved,0.2784131169319153,0.3212396204471588,0.22584174573421478,0.30147984623908997,0.2624093294143677,0.1833307147026062,0.22712063789367676,0.3401573598384857,0.20599231123924255
and,0.33647966384887695,0.5296266674995422,0.2892279624938965,0.5116966962814331,0.14400269091129303,0.2223968207836151,0.48576638102531433,0.4242868423461914,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.21469499170780182,0.733189046382904,0.21364226937294006,0.20481128990650177,0.40399202704429626,0.47025805711746216,0.22068053483963013
time,0.35346719622612,0.3523001968860626,0.19742587208747864,0.35127586126327515,0.10266302525997162,0.20228847861289978,0.24188680946826935,0.3047161102294922,0.27391523122787476
course,0.33582279086112976,0.3058081567287445,0.2934490144252777,0.2579863667488098,0.15469114482402802,0.1946592479944229,0.2734511196613312,0.3040303885936737,0.28826573491096497
of,0.2480744868516922,0.37253960967063904,0.19099700450897217,1.0,0.16620753705501556,0.21048949658870697,0.39081433415412903,0.44397735595703125,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.21469499170780182,0.733189046382904,0.21364226937294006,0.20481128990650177,0.40399202704429626,0.47025805711746216,0.22068053483963013
hypersensitive,0.32882001996040344,0.3414802849292755,0.22952772676944733,0.21087519824504852,0.39120569825172424,0.9004456996917725,0.3700612485408783,0.2479310780763626,0.22263620793819427
reaction,0.3258354365825653,0.23065173625946045,0.1338547319173813,0.16853101551532745,0.3745763301849365,0.4364204406738281,0.18108005821704865,0.15014612674713135,0.2138621062040329
.,0.3287222981452942,0.3974229395389557,0.24851149320602417,0.5352458953857422,0.18267881870269775,0.2137293815612793,0.3452940285205841,0.43897318840026855,0.4130953550338745
