,into,what,language,did,marlee,matlin,translate,the,national,anthem,?
six-time,0.244271919131279,0.2736853361129761,0.2122444361448288,0.25986844301223755,0.29036906361579895,0.36794042587280273,0.2075311541557312,0.365296334028244,0.2829841673374176,0.2520275115966797,0.24173711240291595
grammy,0.18331100046634674,0.14717522263526917,0.18101467192173004,0.21635033190250397,0.3075271248817444,0.36892759799957275,0.13444530963897705,0.19602857530117035,0.18846407532691956,0.23692619800567627,0.1939576119184494
winner,0.1101410984992981,0.16745254397392273,0.07262121140956879,0.1856318712234497,0.26656675338745117,0.2603719234466553,0.13406555354595184,0.25965070724487305,0.1814597249031067,0.15567472577095032,0.14322948455810547
and,0.36597734689712524,0.31309178471565247,0.24699117243289948,0.34479495882987976,0.2572117745876312,0.33762437105178833,0.28133243322372437,0.5171257257461548,0.2608908712863922,0.20261578261852264,0.20544172823429108
academy,0.16476500034332275,0.11844556778669357,0.20971518754959106,0.16967160999774933,0.24780581891536713,0.3764699399471283,0.09882498532533646,0.2649388611316681,0.3110312521457672,0.17999127507209778,0.1340850442647934
award,0.16008120775222778,0.15951679646968842,0.16543014347553253,0.19671815633773804,0.25074610114097595,0.30938515067100525,0.14058776199817657,0.24073810875415802,0.23192229866981506,0.17386911809444427,0.18240714073181152
nominee,0.07782506197690964,0.18658216297626495,0.182134211063385,0.19428716599941254,0.31486883759498596,0.34157541394233704,0.13534687459468842,0.22298216819763184,0.17334584891796112,0.18887969851493835,0.21817171573638916
lady,0.13978150486946106,0.14833222329616547,0.15205544233322144,0.13136650621891022,0.24616581201553345,0.24739928543567657,0.1381511092185974,0.21662424504756927,0.11993757635354996,0.32031533122062683,0.14158371090888977
gaga,0.19776912033557892,0.19459430873394012,0.20596906542778015,0.18077217042446136,0.2920103669166565,0.34432172775268555,0.13779065012931824,0.22846719622612,0.11412747204303741,0.3087579011917114,0.20982980728149414
performed,0.09966062009334564,0.17447373270988464,0.14960168302059174,0.2536868453025818,0.24140135943889618,0.23664143681526184,0.20621317625045776,0.239950031042099,0.13351796567440033,0.23832270503044128,0.14428307116031647
the,0.39493247866630554,0.42745697498321533,0.30198320746421814,0.34736719727516174,0.20077396929264069,0.24170111119747162,0.2516770362854004,1.0,0.32739606499671936,0.23423314094543457,0.22068053483963013
national,0.13876460492610931,0.16882304847240448,0.20917373895645142,0.17743784189224243,0.16528815031051636,0.1705358326435089,0.023193862289190292,0.32739606499671936,1.0000001192092896,0.4327479600906372,0.15643028914928436
anthem,0.1340608298778534,0.18111002445220947,0.29626932740211487,0.17120929062366486,0.13983865082263947,0.13953346014022827,0.22359581291675568,0.23423314094543457,0.4327479600906372,1.0,0.17449809610843658
",",0.2826121151447296,0.3087472915649414,0.2694627344608307,0.3015086054801941,0.3287055194377899,0.3931714594364166,0.2661897838115692,0.4933079481124878,0.23933029174804688,0.19868861138820648,0.31091248989105225
while,0.30003979802131653,0.35511791706085205,0.16193674504756927,0.3330625295639038,0.1665290743112564,0.23365843296051025,0.1659037172794342,0.39804592728614807,0.1506514847278595,0.07222045958042145,0.21076419949531555
academy,0.16476500034332275,0.11844556778669357,0.20971518754959106,0.16967160999774933,0.24780581891536713,0.3764699399471283,0.09882498532533646,0.2649388611316681,0.3110312521457672,0.17999127507209778,0.1340850442647934
