,what,ended,turkish,imperial,ambitions,?
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
empire,0.21723191440105438,0.29312965273857117,0.2979360520839691,0.3880499303340912,0.24196191132068634,0.14909450709819794
allied,0.15757989883422852,0.2824123501777649,0.19521859288215637,0.3045072555541992,0.30485856533050537,0.1341097056865692
with,0.2464839518070221,0.3083439767360687,0.0857606902718544,0.1504516303539276,0.26203110814094543,0.2433311939239502
germany,0.21690446138381958,0.27574118971824646,0.2309146225452423,0.1983768492937088,0.1676531732082367,0.1388660967350006
in,0.30808621644973755,0.3353011906147003,0.15721441805362701,0.2295355498790741,0.18713776767253876,0.20430970191955566
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
early,0.2454567849636078,0.41420987248420715,0.07898423075675964,0.19939374923706055,0.2765597105026245,0.15272949635982513
20th,0.1850772649049759,0.14055518805980682,0.11257632076740265,-0.0005168186035007238,0.13549962639808655,0.14985637366771698
century,0.20422613620758057,0.18677909672260284,0.1707255244255066,0.19079339504241943,0.21449345350265503,0.1026201918721199
",",0.3087472915649414,0.2682836353778839,0.20298264920711517,0.2180749922990799,0.19599977135658264,0.31091248989105225
with,0.2464839518070221,0.3083439767360687,0.0857606902718544,0.1504516303539276,0.26203110814094543,0.2433311939239502
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
imperial,0.09280271828174591,0.23584192991256714,0.14415302872657776,1.0,0.1969984620809555,0.10900196433067322
ambition,0.18162338435649872,0.2867870032787323,0.11269836872816086,0.1909085512161255,0.8499836921691895,0.14646735787391663
of,0.33290785551071167,0.27636510133743286,0.14263172447681427,0.3205159604549408,0.20374001562595367,0.1826142966747284
recovering,0.20058737695217133,0.2895633578300476,0.1132105216383934,0.08158238232135773,0.18638549745082855,0.10804368555545807
its,0.30393704771995544,0.207168310880661,0.16972456872463226,0.14497362077236176,0.15645825862884521,0.15103481709957123
lost,0.198215052485466,0.30491018295288086,0.09360021352767944,0.1446741223335266,0.14643119275569916,0.15261413156986237
territories,0.2053624987602234,0.21249529719352722,0.16844408214092255,0.23799340426921844,0.2498343139886856,0.11298645287752151
",",0.3087472915649414,0.2682836353778839,0.20298264920711517,0.2180749922990799,0.19599977135658264,0.31091248989105225
but,0.5029441118240356,0.2611895203590393,0.14907002449035645,0.18513907492160797,0.3070926368236542,0.27921953797340393
it,0.45803478360176086,0.180878683924675,0.10665473341941833,0.13342998921871185,0.1294269561767578,0.25732165575027466
dissolved,0.1222950667142868,0.2751755714416504,0.09328777343034744,0.1913910061120987,0.10193228721618652,0.10801826417446136
in,0.30808621644973755,0.3353011906147003,0.15721441805362701,0.2295355498790741,0.18713776767253876,0.20430970191955566
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
aftermath,0.18331018090248108,0.3514476716518402,0.1938149333000183,0.17186737060546875,0.26550185680389404,0.13848184049129486
of,0.33290785551071167,0.27636510133743286,0.14263172447681427,0.3205159604549408,0.20374001562595367,0.1826142966747284
world,0.21669597923755646,0.22772669792175293,0.16374409198760986,0.22516058385372162,0.21823163330554962,0.17579582333564758
war,0.22516006231307983,0.38025277853012085,0.2597119212150574,0.28000468015670776,0.21182967722415924,0.15510529279708862
i,0.4411132335662842,0.17748887836933136,0.15538819134235382,0.18593730032444,0.26943424344062805,0.4695145785808563
",",0.3087472915649414,0.2682836353778839,0.20298264920711517,0.2180749922990799,0.19599977135658264,0.31091248989105225
leading,0.197072371840477,0.24630680680274963,0.23600035905838013,0.1275055855512619,0.27684614062309265,0.1360926628112793
to,0.455847829580307,0.26005783677101135,0.1500670164823532,0.20807525515556335,0.24971482157707214,0.29463258385658264
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
emergence,0.26110875606536865,0.1764591485261917,0.1551969349384308,0.05653607100248337,0.23811575770378113,0.14006496965885162
of,0.33290785551071167,0.27636510133743286,0.14263172447681427,0.3205159604549408,0.20374001562595367,0.1826142966747284
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
new,0.2130378633737564,0.1636754274368286,0.08681107312440872,0.14499956369400024,0.16769979894161224,0.14782847464084625
state,0.24273863434791565,0.16971524059772491,0.14807316660881042,0.26296091079711914,0.09361939132213593,0.1160883978009224
of,0.33290785551071167,0.27636510133743286,0.14263172447681427,0.3205159604549408,0.20374001562595367,0.1826142966747284
turkey,0.20363278687000275,0.10632310062646866,0.6437220573425293,0.03558841347694397,0.14282871782779694,0.19889959692955017
in,0.30808621644973755,0.3353011906147003,0.15721441805362701,0.2295355498790741,0.18713776767253876,0.20430970191955566
the,0.42745697498321533,0.3356485068798065,0.19575290381908417,0.3074202835559845,0.20827046036720276,0.22068053483963013
ottoman,0.2063559740781784,0.2433203011751175,0.6171568036079407,0.27063608169555664,0.20157717168331146,0.14455440640449524
