,what,scientific,field,'s,theory,has,received,contributions,from,the,steam,engine,?
the,0.42745697498321533,0.24748262763023376,0.2105809599161148,-0.01540423184633255,0.2277156263589859,0.4177538752555847,0.24890556931495667,0.216569185256958,0.40150508284568787,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
steam,0.15672586858272552,0.18360048532485962,0.14028052985668182,0.03992457315325737,0.21504749357700348,0.13945941627025604,0.09090211242437363,0.13251468539237976,0.2270648181438446,0.23105813562870026,1.0000001192092896,0.4921848475933075,0.113324373960495
engine,0.18463268876075745,0.17490096390247345,0.1545214056968689,0.044662050902843475,0.17748859524726868,0.16265857219696045,0.12134765833616257,0.13418841361999512,0.20623253285884857,0.21651263535022736,0.4921848475933075,1.0,0.17739196121692657
contributed,0.2441394031047821,0.2578704357147217,0.27183762192726135,-0.002902780659496784,0.26182225346565247,0.2429150640964508,0.332436740398407,0.6635887622833252,0.21743376553058624,0.2633678913116455,0.1483018547296524,0.15871655941009521,0.21200142800807953
much,0.45316147804260254,0.2530125081539154,0.1637846827507019,0.06731651723384857,0.24658197164535522,0.31650421023368835,0.14948271214962006,0.2665407359600067,0.24480824172496796,0.35023224353790283,0.24167369306087494,0.21749742329120636,0.23442231118679047
to,0.455847829580307,0.26786625385284424,0.2647967040538788,0.03782717138528824,0.21947365999221802,0.3619994819164276,0.18226240575313568,0.26259103417396545,0.4069952368736267,0.535392165184021,0.22894427180290222,0.20794793963432312,0.29463258385658264
the,0.42745697498321533,0.24748262763023376,0.2105809599161148,-0.01540423184633255,0.2277156263589859,0.4177538752555847,0.24890556931495667,0.216569185256958,0.40150508284568787,1.0,0.23105813562870026,0.21651263535022736,0.22068053483963013
development,0.19014155864715576,0.34378427267074585,0.17069639265537262,0.004789014346897602,0.360708087682724,0.26726067066192627,0.16218535602092743,0.2954551875591278,0.15210078656673431,0.3362044394016266,0.1828628033399582,0.19329482316970825,0.1211358830332756
of,0.33290785551071167,0.2751598358154297,0.20410659909248352,-0.03817026689648628,0.23506702482700348,0.3909035325050354,0.2628524899482727,0.2577681839466095,0.4249346852302551,0.733189046382904,0.20239725708961487,0.17095594108104706,0.1826142966747284
thermodynamic,0.27302685379981995,0.3237846791744232,0.2537320852279663,-0.02006492204964161,0.42209336161613464,0.23355072736740112,0.11770866066217422,0.2869662344455719,0.16605374217033386,0.2758195400238037,0.3305758535861969,0.36082616448402405,0.26781561970710754
