,what,portion,of,bird,species,make,up,the,world,'s,total,live,in,the,rainforest,?
to,0.455847829580307,0.3284904956817627,0.41548454761505127,0.15584394335746765,0.2193736732006073,0.497876912355423,0.40375280380249023,0.535392165184021,0.26213452219963074,0.03782717138528824,0.22792020440101624,0.298321396112442,0.45010748505592346,0.535392165184021,0.23412610590457916,0.29463258385658264
date,0.20141606032848358,0.17041809856891632,0.19568462669849396,0.07048669457435608,0.13960672914981842,0.17691437900066376,0.17187295854091644,0.25333094596862793,0.11867576837539673,-0.028415024280548096,0.16367825865745544,0.0954536497592926,0.21362407505512238,0.25333094596862793,0.12953676283359528,0.2698357403278351
",",0.3087472915649414,0.23716022074222565,0.4946078956127167,0.19613754749298096,0.2223871648311615,0.324553906917572,0.34193792939186096,0.4933079481124878,0.26091980934143066,-0.0016132977325469255,0.25815486907958984,0.29754534363746643,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
at,0.2838611304759979,0.1814720630645752,0.42558613419532776,0.16564549505710602,0.15864497423171997,0.19904619455337524,0.26974549889564514,0.457212895154953,0.22825311124324799,-0.08481216430664062,0.17510145902633667,0.19072985649108887,0.4374977946281433,0.457212895154953,0.17889252305030823,0.21978627145290375
least,0.3337163031101227,0.2704317271709442,0.32696738839149475,0.13233689963817596,0.2839786112308502,0.3005813956260681,0.20793287456035614,0.3428877890110016,0.20916444063186646,0.05887432023882866,0.3401201367378235,0.17356045544147491,0.3232700824737549,0.3428877890110016,0.2395399510860443,0.28866854310035706
"40,000",0.1441991776227951,0.0923553928732872,0.20713761448860168,-0.005875620059669018,0.01231361459940672,0.0883435606956482,0.05121322348713875,0.21362866461277008,0.06025991961359978,-0.025738617405295372,0.0802270770072937,0.08165311813354492,0.24079853296279907,0.21362866461277008,-0.013918007723987103,0.262452632188797
plant,0.23371253907680511,0.1650623381137848,0.26645857095718384,0.28045669198036194,0.47544243931770325,0.2121713012456894,0.19687622785568237,0.28395459055900574,0.15906372666358948,-0.049959149211645126,0.13649120926856995,0.16784104704856873,0.2597269117832184,0.28395459055900574,0.3484148681163788,0.16613075137138367
species,0.14617158472537994,0.1850292682647705,0.23307405412197113,0.4155181050300598,0.9999999403953552,0.16408716142177582,0.1282709538936615,0.2522439956665039,0.22318719327449799,0.050785817205905914,0.11245447397232056,0.2610782980918884,0.2179255336523056,0.2522439956665039,0.477342426776886,0.1957087516784668
",",0.3087472915649414,0.23716022074222565,0.4946078956127167,0.19613754749298096,0.2223871648311615,0.324553906917572,0.34193792939186096,0.4933079481124878,0.26091980934143066,-0.0016132977325469255,0.25815486907958984,0.29754534363746643,0.5201468467712402,0.4933079481124878,0.2737860679626465,0.31091248989105225
"2,200",0.1481904536485672,0.04014335945248604,0.14062876999378204,0.21669332683086395,0.3219307065010071,0.06504687666893005,0.04392511397600174,0.06788789480924606,0.08799045532941818,-0.010447761043906212,-0.012023267336189747,0.1682838499546051,0.12239512801170349,0.06788789480924606,0.19721034169197083,0.013263288885354996
