,what,religion,did,henry,renounce,upon,ascending,the,throne,?
the,0.42745697498321533,0.2757669985294342,0.34736719727516174,0.2542637586593628,0.217202290892601,0.28184252977371216,0.3339201509952545,1.0,0.2638266980648041,0.22068053483963013
warfare,0.21073800325393677,0.2416590005159378,0.18637101352214813,0.09368284046649933,0.2969563901424408,0.1312655657529831,0.1498347967863083,0.257932186126709,0.1820269078016281,0.1583555042743683
was,0.22111038863658905,0.2115422934293747,0.41399896144866943,0.31945720314979553,0.24316544830799103,0.21848641335964203,0.1288827806711197,0.48711544275283813,0.25343436002731323,0.18412111699581146
definitively,0.3329465687274933,0.19512885808944702,0.188424214720726,0.10034602135419846,0.23132649064064026,0.23176446557044983,0.20276831090450287,0.319673091173172,0.14517804980278015,0.27648991346359253
quelled,0.2988208532333374,0.19836601614952087,0.29515984654426575,0.2423732876777649,0.27001240849494934,0.22412163019180298,0.21107490360736847,0.31034690141677856,0.2084781974554062,0.2877355217933655
in,0.30808621644973755,0.2462482750415802,0.2593238651752472,0.21735817193984985,0.20108960568904877,0.20347267389297485,0.18043138086795807,0.6662389636039734,0.16208268702030182,0.20430970191955566
1598,0.05155991390347481,0.06471876800060272,-0.021222494542598724,-0.07070232927799225,-0.032546963542699814,0.01874525658786297,-0.1459566354751587,-0.0076618134044110775,-0.004037128295749426,-0.002321802545338869
",",0.3087472915649414,0.2679629921913147,0.3015086054801941,0.25662001967430115,0.20546269416809082,0.27234330773353577,0.23504872620105743,0.4933079481124878,0.18564283847808838,0.31091248989105225
when,0.4700249433517456,0.16804519295692444,0.3228907287120819,0.28485748171806335,0.2321317046880722,0.2915102541446686,0.2443309873342514,0.5091903209686279,0.19116877019405365,0.22841128706932068
henry,0.1911626160144806,0.17684192955493927,0.22827239334583282,1.0,0.3171077370643616,0.16063192486763,0.14809001982212067,0.2542637586593628,0.2891768515110016,0.16836383938789368
of,0.33290785551071167,0.30360451340675354,0.2513895630836487,0.2390729784965515,0.234469473361969,0.3224298357963562,0.2842896282672882,0.733189046382904,0.211557537317276,0.1826142966747284
navarre,0.12528008222579956,0.20792385935783386,0.15701428055763245,0.3598501682281494,0.32783859968185425,0.13412690162658691,0.16247089207172394,0.22569294273853302,0.33542537689208984,0.18471768498420715
",",0.3087472915649414,0.2679629921913147,0.3015086054801941,0.25662001967430115,0.20546269416809082,0.27234330773353577,0.23504872620105743,0.4933079481124878,0.18564283847808838,0.31091248989105225
having,0.34064167737960815,0.20846545696258545,0.3157401978969574,0.1795787215232849,0.2224823385477066,0.24918770790100098,0.3010718524456024,0.3821379244327545,0.22027535736560822,0.22418256103992462
succeeded,0.12981964647769928,0.16537711024284363,0.22779136896133423,0.2484428435564041,0.34812575578689575,0.24373140931129456,0.2222626805305481,0.2137616127729416,0.44098031520843506,0.12414717674255371
to,0.455847829580307,0.272845596075058,0.4452643394470215,0.2152724415063858,0.23911960422992706,0.2616317570209503,0.2797202169895172,0.535392165184021,0.2186887115240097,0.29463258385658264
the,0.42745697498321533,0.2757669985294342,0.34736719727516174,0.2542637586593628,0.217202290892601,0.28184252977371216,0.3339201509952545,1.0,0.2638266980648041,0.22068053483963013
french,0.17393042147159576,0.16959980130195618,0.1584041714668274,0.2602366805076599,0.3382658064365387,0.04418637603521347,0.0706750825047493,0.2555147111415863,0.14121858775615692,0.1386883556842804
throne,0.12073681503534317,0.2821294069290161,0.16482007503509521,0.2891768515110016,0.4200598895549774,0.17477181553840637,0.3232344388961792,0.2638266980648041,1.0000001192092896,0.17206846177577972
as,0.31749409437179565,0.19954398274421692,0.3596470057964325,0.2156684696674347,0.19947853684425354,0.19482944905757904,0.24095730483531952,0.48381632566452026,0.15506556630134583,0.27043893933296204
henry,0.1911626160144806,0.17684192955493927,0.22827239334583282,1.0,0.3171077370643616,0.16063192486763,0.14809001982212067,0.2542637586593628,0.2891768515110016,0.16836383938789368
iv,0.1177578791975975,0.15700240433216095,0.10158560425043106,0.3279154598712921,0.21460235118865967,0.07798069715499878,0.23188158869743347,0.22478210926055908,0.3299597203731537,0.16932271420955658
",",0.3087472915649414,0.2679629921913147,0.3015086054801941,0.25662001967430115,0.20546269416809082,0.27234330773353577,0.23504872620105743,0.4933079481124878,0.18564283847808838,0.31091248989105225
and,0.31309178471565247,0.2620435655117035,0.34479495882987976,0.2218981832265854,0.2026321142911911,0.2482176125049591,0.2577866017818451,0.5171257257461548,0.18871405720710754,0.20544172823429108
having,0.34064167737960815,0.20846545696258545,0.3157401978969574,0.1795787215232849,0.2224823385477066,0.24918770790100098,0.3010718524456024,0.3821379244327545,0.22027535736560822,0.22418256103992462
recanted,0.2928401827812195,0.3271574378013611,0.3701290190219879,0.2449391931295395,0.46333950757980347,0.276349276304245,0.24514031410217285,0.341305673122406,0.3053099811077118,0.195877343416214
protestantism,0.28224319219589233,0.615091860294342,0.24077598750591278,0.25708097219467163,0.4127684533596039,0.17845045030117035,0.17585477232933044,0.2780466079711914,0.3440898060798645,0.1824951469898224
in,0.30808621644973755,0.2462482750415802,0.2593238651752472,0.21735817193984985,0.20108960568904877,0.20347267389297485,0.18043138086795807,0.6662389636039734,0.16208268702030182,0.20430970191955566
favour,0.225682333111763,0.21911141276359558,0.2538353204727173,0.20058830082416534,0.3742234408855438,0.29981881380081177,0.22257685661315918,0.2575749158859253,0.35240158438682556,0.19697274267673492
of,0.33290785551071167,0.30360451340675354,0.2513895630836487,0.2390729784965515,0.234469473361969,0.3224298357963562,0.2842896282672882,0.733189046382904,0.211557537317276,0.1826142966747284
roman,0.17852471768856049,0.37049785256385803,0.1483525037765503,0.27628612518310547,0.24691016972064972,0.14109858870506287,0.17775294184684753,0.2862859070301056,0.2696555554866791,0.1663191318511963
catholicism,0.23693913221359253,0.6328781247138977,0.23262101411819458,0.2865065634250641,0.3732975721359253,0.18661542236804962,0.19899936020374298,0.2436220645904541,0.3597851097583771,0.2233523428440094
",",0.3087472915649414,0.2679629921913147,0.3015086054801941,0.25662001967430115,0.20546269416809082,0.27234330773353577,0.23504872620105743,0.4933079481124878,0.18564283847808838,0.31091248989105225
issued,0.18988175690174103,0.1465086042881012,0.2733176648616791,0.16086004674434662,0.23897504806518555,0.24055054783821106,0.14159777760505676,0.22837360203266144,0.11337440460920334,0.169851616024971
the,0.42745697498321533,0.2757669985294342,0.34736719727516174,0.2542637586593628,0.217202290892601,0.28184252977371216,0.3339201509952545,1.0,0.2638266980648041,0.22068053483963013
edict,0.16707053780555725,0.3143501579761505,0.16355286538600922,0.3239153325557709,0.41013115644454956,0.15216732025146484,0.18847568333148956,0.17931364476680756,0.39417901635169983,0.16218337416648865
of,0.33290785551071167,0.30360451340675354,0.2513895630836487,0.2390729784965515,0.234469473361969,0.3224298357963562,0.2842896282672882,0.733189046382904,0.211557537317276,0.1826142966747284
nantes,0.13674625754356384,0.22608979046344757,0.1464715451002121,0.293926477432251,0.3164721429347992,0.16973473131656647,0.07955969870090485,0.20705030858516693,0.18196766078472137,0.15215469896793365
