,what,condition,what,must,be,satisfied,in,order,for,1/p,to,be,expressed,in,base,q,instead,of,base,10,and,still,have,a,period,of,p,-,1,?
the,0.42745697498321533,0.27454710006713867,0.42745697498321533,0.2713140547275543,0.4248143136501312,0.18361495435237885,0.6662389636039734,0.3284194767475128,0.4739971458911896,0.2757738530635834,0.535392165184021,0.4248143136501312,0.25207287073135376,0.6662389636039734,0.2870652377605438,0.17467540502548218,0.3940567970275879,0.733189046382904,0.2870652377605438,0.2880653440952301,0.5171257257461548,0.40142056345939636,0.40389683842658997,0.5829201340675354,0.3125074505805969,0.733189046382904,0.16481639444828033,0.3207225501537323,-0.1554475575685501,0.22068053483963013
fraction,0.2630118429660797,0.35672223567962646,0.2630118429660797,0.2735894024372101,0.2966753840446472,0.2173120379447937,0.16625259816646576,0.14454591274261475,0.1991998255252838,0.4093933701515198,0.22798679769039154,0.2966753840446472,0.31791695952415466,0.16625259816646576,0.2489410638809204,0.23660874366760254,0.252782940864563,0.21060217916965485,0.2489410638809204,-0.05871862173080444,0.20281121134757996,0.22898617386817932,0.2804250121116638,0.2524751126766205,0.25211387872695923,0.21060217916965485,0.23835308849811554,0.11482144147157669,-0.19230903685092926,0.18103548884391785
1/p,0.2629663348197937,0.23833781480789185,0.2629663348197937,0.22694237530231476,0.25136399269104004,0.18237750232219696,0.3138718903064728,0.15747122466564178,0.3045370876789093,1.0,0.23123866319656372,0.25136399269104004,0.23730415105819702,0.3138718903064728,0.23161154985427856,0.3998638391494751,0.18634822964668274,0.33660292625427246,0.23161154985427856,0.02886325493454933,0.3521019220352173,0.17782427370548248,0.2643510103225708,0.30865782499313354,0.2257823646068573,0.33660292625427246,0.47513800859451294,0.41163820028305054,-0.1803024411201477,0.34294548630714417
expressed,0.20227427780628204,0.20272836089134216,0.20227427780628204,0.21945178508758545,0.25860801339149475,0.3407215178012848,0.22785329818725586,0.18946334719657898,0.29098325967788696,0.23730415105819702,0.2824164628982544,0.25860801339149475,1.0000001192092896,0.22785329818725586,0.15694011747837067,0.17005187273025513,0.21339859068393707,0.2687252461910248,0.15694011747837067,0.1117740273475647,0.24103379249572754,0.1984338015317917,0.2434452623128891,0.220966175198555,0.13601984083652496,0.2687252461910248,0.08360602706670761,0.12156900763511658,-0.2853805422782898,0.17175263166427612
likewise,0.3193172216415405,0.20444852113723755,0.3193172216415405,0.27680838108062744,0.4587152302265167,0.2248305380344391,0.18685407936573029,0.24810285866260529,0.3012573719024658,0.20472784340381622,0.42128947377204895,0.4587152302265167,0.23274946212768555,0.18685407936573029,0.18636079132556915,0.1703069508075714,0.3702103793621063,0.349119633436203,0.18636079132556915,0.19147899746894836,0.306714802980423,0.320117324590683,0.4276218116283417,0.3300539255142212,0.13179579377174377,0.349119633436203,0.07450876384973526,0.14574453234672546,-0.27887237071990967,0.2001093626022339
in,0.30808621644973755,0.2555321156978607,0.30808621644973755,0.18276341259479523,0.3481820821762085,0.17280349135398865,1.0,0.24184700846672058,0.4322226941585541,0.3138718903064728,0.45010748505592346,0.3481820821762085,0.22785329818725586,1.0,0.2292785793542862,0.10273436456918716,0.28091272711753845,0.5696388483047485,0.2292785793542862,0.22690178453922272,0.4954058527946472,0.3424699008464813,0.36843645572662354,0.539380669593811,0.23051127791404724,0.5696388483047485,0.10853569954633713,0.2593633532524109,-0.10660158097743988,0.20430970191955566
base,0.1336955726146698,0.1524794101715088,0.1336955726146698,0.15394915640354156,0.19883210957050323,0.10385826975107193,0.2292785793542862,0.17206953465938568,0.15657725930213928,0.23161154985427856,0.2124793976545334,0.19883210957050323,0.15694011747837067,0.2292785793542862,1.0000001192092896,0.12269919365644455,0.22406716644763947,0.23717565834522247,1.0000001192092896,0.02110128290951252,0.23155631124973297,0.2355920523405075,0.23193855583667755,0.27513372898101807,0.13408204913139343,0.23717565834522247,0.11259124428033829,0.1491905003786087,-0.022612208500504494,0.10518061369657516
q,0.2383371889591217,0.17125071585178375,0.2383371889591217,0.1855648159980774,0.1806275099515915,0.212487131357193,0.10273436456918716,0.1135382205247879,0.18233174085617065,0.3998638391494751,0.17006663978099823,0.1806275099515915,0.17005187273025513,0.10273436456918716,0.12269919365644455,0.9999998807907104,0.14645624160766602,0.142526313662529,0.12269919365644455,-0.006830186117440462,0.22011294960975647,0.14343169331550598,0.17488977313041687,0.17719541490077972,0.08222909271717072,0.142526313662529,0.3172014355659485,0.20192226767539978,-0.14872030913829803,0.31306079030036926
(,0.2411840260028839,0.16016486287117004,0.2411840260028839,0.20299430191516876,0.2349044382572174,0.12024924159049988,0.3087427020072937,0.1917618215084076,0.3357032239437103,0.4772914946079254,0.30882009863853455,0.2349044382572174,0.18192970752716064,0.3087427020072937,0.18551377952098846,0.21993602812290192,0.23057691752910614,0.35032153129577637,0.18551377952098846,0.046612758189439774,0.4862271547317505,0.20298509299755096,0.23072676360607147,0.3206180930137634,0.22779083251953125,0.35032153129577637,0.28021711111068726,0.4943908751010895,-0.15974698960781097,0.40561532974243164
rather,0.3923804461956024,0.27094125747680664,0.3923804461956024,0.3139667510986328,0.4789743721485138,0.24790728092193604,0.26646825671195984,0.23493316769599915,0.3629494905471802,0.1704704612493515,0.4052407741546631,0.4789743721485138,0.3211672604084015,0.26646825671195984,0.2223271131515503,0.1462630182504654,0.5369940400123596,0.3045461177825928,0.2223271131515503,0.09389513731002808,0.34474092721939087,0.3424055278301239,0.4224875271320343,0.4061340093612671,0.25090473890304565,0.3045461177825928,0.16276556253433228,0.17870722711086273,-0.2727910280227661,0.3053998053073883
than,0.29388150572776794,0.28596121072769165,0.29388150572776794,0.2465018779039383,0.46516597270965576,0.21377688646316528,0.3270052373409271,0.18704485893249512,0.30793827772140503,0.20320171117782593,0.3192550539970398,0.46516597270965576,0.22526338696479797,0.3270052373409271,0.19434787333011627,0.12462413311004639,0.3410697281360626,0.33036211133003235,0.19434787333011627,0.12030255794525146,0.39361441135406494,0.32367661595344543,0.46517109870910645,0.3126874566078186,0.21055817604064941,0.33036211133003235,0.14040015637874603,0.16627445816993713,-0.1783061921596527,0.24917294085025787
base,0.1336955726146698,0.1524794101715088,0.1336955726146698,0.15394915640354156,0.19883210957050323,0.10385826975107193,0.2292785793542862,0.17206953465938568,0.15657725930213928,0.23161154985427856,0.2124793976545334,0.19883210957050323,0.15694011747837067,0.2292785793542862,1.0000001192092896,0.12269919365644455,0.22406716644763947,0.23717565834522247,1.0000001192092896,0.02110128290951252,0.23155631124973297,0.2355920523405075,0.23193855583667755,0.27513372898101807,0.13408204913139343,0.23717565834522247,0.11259124428033829,0.1491905003786087,-0.022612208500504494,0.10518061369657516
10,0.11840458959341049,0.01653142273426056,0.11840458959341049,0.04970528185367584,0.13232901692390442,-0.0017143216682597995,0.22690178453922272,0.09853298962116241,0.07862305641174316,0.02886325493454933,0.18753696978092194,0.13232901692390442,0.1117740273475647,0.22690178453922272,0.02110128290951252,-0.006830186117440462,0.09474015235900879,0.2777891755104065,0.02110128290951252,1.0,0.2397010177373886,0.17167656123638153,0.2006417065858841,0.12933704257011414,0.04844249412417412,0.2777891755104065,0.037558142095804214,0.09191048890352249,0.04755783826112747,0.022911956533789635
),0.26259949803352356,0.15360169112682343,0.26259949803352356,0.19068287312984467,0.24578070640563965,0.15411688387393951,0.3326910734176636,0.2052282840013504,0.3639558255672455,0.4651992619037628,0.31236231327056885,0.24578070640563965,0.180553138256073,0.3326910734176636,0.1997317224740982,0.22629572451114655,0.23162288963794708,0.3680361211299896,0.1997317224740982,0.055743418633937836,0.4961937665939331,0.22512273490428925,0.22866283357143402,0.3640355169773102,0.2531823217868805,0.3680361211299896,0.26532381772994995,0.49507030844688416,-0.14927540719509125,0.42300865054130554
has,0.20338068902492523,0.1683909296989441,0.20338068902492523,0.30250290036201477,0.3863394856452942,0.1654607206583023,0.4173259735107422,0.14991246163845062,0.450642853975296,0.2663135528564453,0.3619994819164276,0.3863394856452942,0.19016686081886292,0.4173259735107422,0.22870168089866638,0.12033070623874664,0.20971685647964478,0.3909035325050354,0.22870168089866638,0.1565546989440918,0.43716782331466675,0.2830006182193756,0.6353569626808167,0.4670248031616211,0.1387886255979538,0.3909035325050354,0.07216716557741165,0.21139107644557953,-0.1557902842760086,0.15994466841220856
similar,0.30608364939689636,0.21415740251541138,0.30608364939689636,0.16179627180099487,0.3429358899593353,0.1488984227180481,0.28091391921043396,0.21172446012496948,0.2594558596611023,0.22947581112384796,0.2888135313987732,0.3429358899593353,0.24500861763954163,0.28091391921043396,0.21983936429023743,0.13966362178325653,0.35458481311798096,0.2911645472049713,0.21983936429023743,0.19441969692707062,0.3316260874271393,0.2950555682182312,0.42367541790008545,0.34790337085723877,0.20794083178043365,0.2911645472049713,0.0815037414431572,0.1980445683002472,-0.21914149820804596,0.23309361934661865
effect,0.2546532452106476,0.2900560200214386,0.2546532452106476,0.19578105211257935,0.3193022906780243,0.1672365665435791,0.25150683522224426,0.11397570371627808,0.2288459986448288,0.20465140044689178,0.2521958649158478,0.3193022906780243,0.22856102883815765,0.25150683522224426,0.11169664561748505,0.06318200379610062,0.26945170760154724,0.24129827320575714,0.11169664561748505,0.020865540951490402,0.23508284986019135,0.2044425755739212,0.27919867634773254,0.24771364033222198,0.22252489626407623,0.24129827320575714,0.10563214868307114,0.11708945035934448,-0.19257766008377075,0.1783771812915802
",",0.3087472915649414,0.16265787184238434,0.3087472915649414,0.2231246829032898,0.39254459738731384,0.16955915093421936,0.5201468467712402,0.22478096187114716,0.4464869201183319,0.4302355647087097,0.44245919585227966,0.39254459738731384,0.24414940178394318,0.5201468467712402,0.24008820950984955,0.23311607539653778,0.32166025042533875,0.4946078956127167,0.24008820950984955,0.1734008640050888,0.6633074283599854,0.35217106342315674,0.3541618287563324,0.427140474319458,0.25030651688575745,0.4946078956127167,0.291064590215683,0.42609795928001404,-0.15742997825145721,0.31091248989105225
provided,0.2206064909696579,0.217553049325943,0.2206064909696579,0.35276973247528076,0.32466498017311096,0.2783737778663635,0.19033823907375336,0.15986008942127228,0.38938868045806885,0.19857729971408844,0.28066325187683105,0.32466498017311096,0.3405129611492157,0.19033823907375336,0.1573624163866043,0.1772051304578781,0.2149657905101776,0.272808313369751,0.1573624163866043,0.07852243632078171,0.35591721534729004,0.2308386266231537,0.32175615429878235,0.20476344227790833,0.16187049448490143,0.272808313369751,0.12112481892108917,0.14935803413391113,-0.2932773530483246,0.16893617808818817
that,0.6297725439071655,0.3550138473510742,0.6297725439071655,0.42000943422317505,0.6036020517349243,0.323088675737381,0.435920387506485,0.2761181890964508,0.4137635827064514,0.262124627828598,0.5436353087425232,0.6036020517349243,0.3005213737487793,0.435920387506485,0.23475483059883118,0.20400522649288177,0.43556153774261475,0.41498205065727234,0.23475483059883118,0.15201891958713531,0.4731321930885315,0.5191669464111328,0.6182622313499451,0.47537946701049805,0.261763334274292,0.41498205065727234,0.15546166896820068,0.14568695425987244,-0.3131840229034424,0.32716336846351624
p,0.18586504459381104,0.17419344186782837,0.18586504459381104,0.11845693737268448,0.12313798069953918,0.15157507359981537,0.10853569954633713,0.08168314397335052,0.13376198709011078,0.47513800859451294,0.14269764721393585,0.12313798069953918,0.08360602706670761,0.10853569954633713,0.11259124428033829,0.3172014355659485,0.15722878277301788,0.18174134194850922,0.11259124428033829,0.037558142095804214,0.198231041431427,0.14689183235168457,0.10824868083000183,0.15866722166538239,0.1565074324607849,0.18174134194850922,1.0,0.1825701743364334,-0.08734627813100815,0.20840544998645782
is,0.28837618231773376,0.2536831796169281,0.28837618231773376,0.3093329071998596,0.4819129705429077,0.1483474224805832,0.5394441485404968,0.19403748214244843,0.43268078565597534,0.29812827706336975,0.42745086550712585,0.4819129705429077,0.18876376748085022,0.5394441485404968,0.28868359327316284,0.1645382046699524,0.3180348575115204,0.4854315221309662,0.28868359327316284,0.1865890771150589,0.3859752118587494,0.3574111759662628,0.3613572418689728,0.658733606338501,0.1838376820087433,0.4854315221309662,0.11757151037454605,0.30179503560066223,-0.12491171807050705,0.22961433231830597
not,0.5449194312095642,0.3942917287349701,0.5449194312095642,0.48002883791923523,0.5788898468017578,0.3310082256793976,0.3403114080429077,0.24432697892189026,0.39280617237091064,0.26175546646118164,0.5149973034858704,0.5788898468017578,0.2699058949947357,0.3403114080429077,0.18659357726573944,0.18780775368213654,0.4974021911621094,0.3307090103626251,0.18659357726573944,0.18224510550498962,0.39099299907684326,0.523305356502533,0.5619372129440308,0.3791346549987793,0.23810020089149475,0.3307090103626251,0.18450647592544556,0.18123318254947662,-0.31168678402900696,0.41942933201789856
a,0.3320399522781372,0.28835010528564453,0.3320399522781372,0.3016769587993622,0.39883795380592346,0.18294073641300201,0.539380669593811,0.24138490855693817,0.44038116931915283,0.30865782499313354,0.45503583550453186,0.39883795380592346,0.220966175198555,0.539380669593811,0.27513372898101807,0.17719541490077972,0.3737732470035553,0.5052502155303955,0.27513372898101807,0.12933704257011414,0.3739250600337982,0.3478926122188568,0.338716596364975,1.0,0.25205814838409424,0.5052502155303955,0.15866722166538239,0.3695357143878937,-0.20817746222019196,0.23916715383529663
