,where,did,the,black,death,originate,?
the,0.5003893971443176,0.34736719727516174,1.0,0.28466513752937317,0.21438048779964447,0.2916457951068878,0.22068053483963013
black,0.1594732403755188,0.14310608804225922,0.28466513752937317,1.0,0.1932034194469452,0.2139880359172821,0.15159966051578522
death,0.166978120803833,0.2252790331840515,0.21438048779964447,0.1932034194469452,0.9999998807907104,0.08131804317235947,0.21149799227714539
is,0.3586711287498474,0.19247472286224365,0.5823672413825989,0.20887219905853271,0.17991963028907776,0.2687171399593353,0.22961433231830597
thought,0.24607425928115845,0.482954740524292,0.3509289622306824,0.20395568013191223,0.18990783393383026,0.2813233435153961,0.2600135803222656
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.23292754590511322,0.19568277895450592,0.3088313639163971,0.29463258385658264
have,0.412650465965271,0.3783526122570038,0.40389683842658997,0.22332455217838287,0.15326929092407227,0.28160861134529114,0.32991164922714233
originated,0.22080673277378082,0.22027955949306488,0.3238855004310608,0.2249775379896164,0.10236097872257233,0.8357976078987122,0.11205674707889557
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.20407067239284515,0.18743370473384857,0.18074475228786469,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,1.0,0.28466513752937317,0.21438048779964447,0.2916457951068878,0.22068053483963013
arid,0.27867862582206726,0.16217780113220215,0.2454749345779419,0.1584632694721222,0.08777419477701187,0.282829612493515,0.13261376321315765
plains,0.2820999324321747,0.12962882220745087,0.291370153427124,0.22765842080116272,0.11322172731161118,0.1964043527841568,0.15602469444274902
of,0.38066378235816956,0.2513895630836487,0.733189046382904,0.23966942727565765,0.23778599500656128,0.2774103581905365,0.1826142966747284
central,0.24971573054790497,0.14962437748908997,0.3417201042175293,0.21332573890686035,0.1732606142759323,0.2055220752954483,0.14787602424621582
asia,0.21505002677440643,0.19509263336658478,0.2838890850543976,0.19056859612464905,0.11942189931869507,0.27103573083877563,0.1340748518705368
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.23807229101657867,0.2070959210395813,0.21421478688716888,0.31091248989105225
where,0.9999999403953552,0.24159270524978638,0.5003893971443176,0.1594732403755188,0.166978120803833,0.2281988114118576,0.24793872237205505
it,0.36972272396087646,0.2993364930152893,0.6251175999641418,0.2078537493944168,0.16903388500213623,0.2741042673587799,0.25732165575027466
then,0.5403340458869934,0.303744375705719,0.4297412931919098,0.2085765302181244,0.22313891351222992,0.17673739790916443,0.2884598970413208
travelled,0.33620360493659973,0.24976108968257904,0.28573641180992126,0.09514720737934113,0.17643298208713531,0.2422279268503189,0.07473312318325043
along,0.3530636131763458,0.18832118809223175,0.39495137333869934,0.20334157347679138,0.14393313229084015,0.17846284806728363,0.17134909331798553
the,0.5003893971443176,0.34736719727516174,1.0,0.28466513752937317,0.21438048779964447,0.2916457951068878,0.22068053483963013
silk,0.15169374644756317,0.13654546439647675,0.274575799703598,0.26920902729034424,0.09039890021085739,0.26835042238235474,0.04509759321808815
road,0.18542753159999847,0.10854122787714005,0.27181798219680786,0.063839390873909,0.10562704503536224,0.07767394930124283,0.10894691944122314
",",0.3149496018886566,0.3015086054801941,0.4933079481124878,0.23807229101657867,0.2070959210395813,0.21421478688716888,0.31091248989105225
reaching,0.2653081715106964,0.2354024350643158,0.3691650927066803,0.18396301567554474,0.19599486887454987,0.19747896492481232,0.13075216114521027
crimea,0.2549138367176056,0.19160610437393188,0.3109849691390991,0.25604668259620667,0.2191784828901291,0.13268785178661346,0.18828053772449493
by,0.2641284465789795,0.18574509024620056,0.4408751428127289,0.1966358721256256,0.23285827040672302,0.1641145497560501,0.17966607213020325
1343,0.11550188809633255,0.049717798829078674,-7.962640665937215e-05,0.013091905042529106,0.12475994229316711,0.048380833119153976,-0.05971454828977585
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.24577875435352325,0.24631039798259735,0.16736671328544617,0.4130953550338745
