,in,which,year,did,the,v,&,a,received,the,talbot,hughes,collection,?
one,0.4129433035850525,0.510688066482544,0.346388578414917,0.27659472823143005,0.5514441132545471,0.1586812287569046,0.0723944678902626,0.4910551905632019,0.18942728638648987,0.5514441132545471,0.15529890358448029,0.1443784087896347,0.29259923100471497,0.2673267424106598
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2628524899482727,0.733189046382904,0.17336924374103546,0.21100978553295135,0.2915455996990204,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.24890556931495667,1.0,0.19423319399356842,0.2516627907752991,0.25281965732574463,0.22068053483963013
first,0.4127444326877594,0.3828166127204895,0.3099139928817749,0.33691170811653137,0.49448907375335693,0.22899948060512543,0.10695473104715347,0.4287874400615692,0.22090888023376465,0.49448907375335693,0.29547104239463806,0.26106616854667664,0.22156007587909698,0.18701928853988647
significant,0.3551969528198242,0.3548031151294708,0.2663387954235077,0.25824496150016785,0.35524800419807434,0.1435159593820572,0.023904990404844284,0.2793380320072174,0.25824061036109924,0.35524800419807434,0.0564693920314312,0.17356984317302704,0.2435884028673172,0.18679562211036682
gifts,0.2190392017364502,0.25955280661582947,0.18634331226348877,0.22568641602993011,0.21972370147705078,0.024017788469791412,0.09459912776947021,0.22877813875675201,0.27775299549102783,0.21972370147705078,0.20793403685092926,0.16634172201156616,0.2847956418991089,0.1274997740983963
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.2628524899482727,0.733189046382904,0.17336924374103546,0.21100978553295135,0.2915455996990204,0.1826142966747284
costume,0.2057148814201355,0.18582376837730408,0.1833534836769104,0.21438762545585632,0.2800344228744507,0.14166998863220215,0.09632347524166107,0.23574097454547882,0.16474734246730804,0.2800344228744507,0.19656211137771606,0.17965087294578552,0.2409714162349701,0.1820250153541565
came,0.29996100068092346,0.23567067086696625,0.17925135791301727,0.4016856253147125,0.39390382170677185,0.12568123638629913,0.1603875756263733,0.2477586567401886,0.2654260993003845,0.39390382170677185,0.17839884757995605,0.1710718423128128,0.1428852081298828,0.1739392727613449
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.2772020101547241,0.6662389636039734,0.208988219499588,0.25162941217422485,0.23004686832427979,0.20430970191955566
1913,-0.16084061563014984,-0.1649351418018341,-0.026285234838724136,-0.26656052470207214,-0.19087299704551697,-0.021887507289648056,-0.029571913182735443,-0.17591439187526703,-0.12752284109592438,-0.19087299704551697,-0.010752759873867035,-0.1143103688955307,-0.046389851719141006,-0.05730247497558594
when,0.4431333839893341,0.572554349899292,0.3014719784259796,0.3228907287120819,0.5091903209686279,0.20079591870307922,0.050614893436431885,0.44397395849227905,0.17342817783355713,0.5091903209686279,0.14181272685527802,0.21571697294712067,0.13679222762584686,0.22841128706932068
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.24890556931495667,1.0,0.19423319399356842,0.2516627907752991,0.25281965732574463,0.22068053483963013
v,0.15216681361198425,0.1653934270143509,0.12632298469543457,0.17618848383426666,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.10510513931512833,0.18580520153045654,0.1380903124809265,0.13914543390274048,0.11078842729330063,0.28677162528038025
&,0.1358654648065567,0.16294614970684052,0.04340685158967972,0.160298690199852,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.161068856716156,0.14992168545722961,0.21531522274017334,0.10514858365058899,0.18749947845935822,0.12596383690834045
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.22444266080856323,0.5829201340675354,0.21901263296604156,0.1799727976322174,0.24716788530349731,0.23916715383529663
