,what,did,tesla,electric,light,&,manufacturing,do,?
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.21345196664333344,0.2649136185646057,0.14992168545722961,0.25165510177612305,0.30239659547805786,0.22068053483963013
company,0.2333769053220749,0.16800642013549805,0.23045730590820312,0.27608945965766907,0.2409716695547104,0.22427646815776825,0.49409720301628113,0.11940434575080872,0.12195809185504913
installed,0.18395552039146423,0.19468750059604645,0.20824137330055237,0.2250397801399231,0.14570030570030212,0.048395171761512756,0.2420879751443863,0.1931454837322235,0.2174687534570694
electrical,0.19961315393447876,0.12294142693281174,0.45727142691612244,0.7726083397865295,0.32205161452293396,0.10913857817649841,0.4140768349170685,0.1868668645620346,0.10923371464014053
arc,0.17053541541099548,0.14255008101463318,0.1610620766878128,0.25256025791168213,0.28556063771247864,0.10579022020101547,0.16463564336299896,0.1475120186805725,0.10246327519416809
light,0.22953972220420837,0.18105649948120117,0.15772268176078796,0.35745757818222046,0.9999998807907104,0.12466304004192352,0.21649061143398285,0.16024693846702576,0.17429810762405396
based,0.274813175201416,0.15722841024398804,0.1270550787448883,0.11350812017917633,0.21932780742645264,0.14534787833690643,0.27543383836746216,0.2074713259935379,0.134929820895195
illumination,0.22345766425132751,0.10531163215637207,0.1763586699962616,0.19934587180614471,0.4060188829898834,0.17636381089687347,0.2466544806957245,0.17817166447639465,0.20314359664916992
systems,0.1871482878923416,0.19584694504737854,0.23349368572235107,0.24008029699325562,0.204705610871315,0.1129162460565567,0.32330629229545593,0.21769529581069946,0.1575973927974701
designed,0.15902110934257507,0.24120000004768372,0.22829914093017578,0.22202123701572418,0.24594919383525848,0.15487702190876007,0.4338042438030243,0.1303330659866333,0.11213942617177963
by,0.2455483376979828,0.18574509024620056,0.16513796150684357,0.19581176340579987,0.16924326121807098,0.17475149035453796,0.1942850947380066,0.1481526494026184,0.17966607213020325
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.3824412524700165,0.15772268176078796,0.12341691553592682,0.350337952375412,0.13880622386932373,0.10250775516033173
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.212884783744812,0.20458035171031952,0.34093084931373596,0.26176297664642334,0.276123583316803,0.20544172823429108
also,0.42747777700424194,0.39334940910339355,0.16213464736938477,0.19945846498012543,0.23464073240756989,0.1553146094083786,0.25092631578445435,0.36242780089378357,0.21848613023757935
had,0.23849567770957947,0.540525496006012,0.12050733715295792,0.17037837207317352,0.16745808720588684,0.15368397533893585,0.20849452912807465,0.24590566754341125,0.20728366076946259
designs,0.197528675198555,0.20797550678253174,0.2896032929420471,0.1858440488576889,0.14968465268611908,0.10025275498628616,0.4462207853794098,0.17692822217941284,0.12927207350730896
for,0.3017193675041199,0.318512886762619,0.13983871042728424,0.2190219610929489,0.21351271867752075,0.15479104220867157,0.26200976967811584,0.29510271549224854,0.264628142118454
dynamo,0.14462025463581085,0.09720280021429062,0.35050344467163086,0.29590609669685364,0.16324688494205475,0.0776812955737114,0.23165224492549896,0.16216322779655457,0.17201387882232666
electric,0.15451551973819733,0.12459144741296768,0.3824412524700165,1.0000001192092896,0.35745757818222046,0.10684569180011749,0.3278963267803192,0.14092452824115753,0.15674720704555511
machine,0.23075932264328003,0.14258401095867157,0.2521411180496216,0.2780873775482178,0.2771805226802826,0.12547244131565094,0.3430805206298828,0.18929365277290344,0.17587624490261078
commutators,0.22474555671215057,0.1491159051656723,0.26835983991622925,0.30055949091911316,0.2657899558544159,0.023418594151735306,0.2683247923851013,0.27107155323028564,0.12685701251029968
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.22981849312782288,0.22209852933883667,0.2516871392726898,0.24209043383598328,0.3283645510673523,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.21345196664333344,0.2649136185646057,0.14992168545722961,0.25165510177612305,0.30239659547805786,0.22068053483963013
first,0.28086137771606445,0.33691170811653137,0.17383763194084167,0.2202359288930893,0.1733669638633728,0.10695473104715347,0.18385769426822662,0.19137287139892578,0.18701928853988647
patents,0.16317835450172424,0.19803202152252197,0.352291464805603,0.24766060709953308,0.14594267308712006,0.13443568348884583,0.44904690980911255,0.15206646919250488,0.1148110032081604
issued,0.18988175690174103,0.2733176648616791,0.21972055733203888,0.09252149611711502,0.11248930543661118,0.14175915718078613,0.25446778535842896,0.14865170419216156,0.169851616024971
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.2115597426891327,0.22474321722984314,0.1254875510931015,0.22432498633861542,0.38876664638519287,0.29463258385658264
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.3824412524700165,0.15772268176078796,0.12341691553592682,0.350337952375412,0.13880622386932373,0.10250775516033173
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.19779469072818756,0.1819845736026764,0.1358654648065567,0.2715393304824829,0.23402775824069977,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.21345196664333344,0.2649136185646057,0.14992168545722961,0.25165510177612305,0.30239659547805786,0.22068053483963013
us,0.32081687450408936,0.23250600695610046,0.2018621414899826,0.12331391870975494,0.21400955319404602,0.09982676059007645,0.2126321941614151,0.21005748212337494,0.2742428481578827
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.23612159490585327,0.2497042715549469,0.16452857851982117,0.2327806055545807,0.3613996207714081,0.4130953550338745
