,what,was,the,population,of,kenya,in,2014,?
kenya,0.18398970365524292,0.17758844792842865,0.21657514572143555,0.20777837932109833,0.22226637601852417,1.0,0.23621977865695953,0.03780077397823334,0.17197901010513306
covers,0.19826510548591614,0.22618132829666138,0.326327383518219,0.26078909635543823,0.3789252042770386,0.16256554424762726,0.30597710609436035,0.06627936661243439,0.1432708352804184
"581,309",-0.006878981366753578,0.2721424698829651,0.1932567059993744,0.06938425451517105,0.19636571407318115,0.14721308648586273,0.1272679716348648,0.17353278398513794,-0.04702562093734741
km2,0.35075643658638,0.1547725945711136,0.2664898931980133,0.29714643955230713,0.23789449036121368,0.1794274002313614,0.20489919185638428,-0.07967688888311386,0.20544767379760742
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.14130665361881256,0.35032153129577637,0.10727446526288986,0.3087427020072937,0.12434869259595871,0.40561532974243164
"224,445",-0.014475124888122082,0.16229285299777985,0.10434441268444061,0.06412064284086227,0.14901673793792725,0.06936163455247879,0.22186239063739777,0.016402939334511757,0.009110323153436184
sq,0.17365999519824982,0.15623687207698822,0.18837253749370575,0.42744508385658264,0.21430401504039764,0.19620811939239502,0.12230025231838226,0.022355306893587112,0.18786261975765228
mi,0.14169800281524658,0.1437223106622696,0.12998802959918976,0.18675191700458527,0.13784633576869965,0.2240993082523346,0.09127891063690186,0.04024461656808853,0.10264865309000015
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.1573704034090042,0.3680361211299896,0.12372948974370956,0.3326910734176636,0.1342293620109558,0.42300865054130554
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2967977225780487,0.4946078956127167,0.23432263731956482,0.5201468467712402,0.19350162148475647,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.23080337047576904,0.5116966962814331,0.20742860436439514,0.4954058527946472,0.14333748817443848,0.20544172823429108
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.21385526657104492,0.37755560874938965,0.16732941567897797,0.385026752948761,0.06580623984336853,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2345738559961319,0.5052502155303955,0.1701713502407074,0.539380669593811,0.13504788279533386,0.23916715383529663
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,1.0,0.3060894012451172,0.20777837932109833,0.3268454372882843,0.037611741572618484,0.14449454843997955
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3060894012451172,1.0,0.22226637601852417,0.5696388483047485,0.0493064783513546,0.1826142966747284
approximately,0.21610312163829803,0.20827944576740265,0.33137547969818115,0.4278254210948944,0.34526896476745605,0.17725665867328644,0.3145860731601715,-0.05486582592129707,0.10237617790699005
45,-0.030887525528669357,0.03989637270569801,-0.020405476912856102,0.10003616660833359,-0.021060984581708908,0.008345094509422779,0.05398287624120712,0.10095125436782837,-0.01282194908708334
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.3087695837020874,0.21686489880084991,0.27429839968681335,0.2596224844455719,-0.010985191911458969,0.23092924058437347
people,0.32444337010383606,0.2518421411514282,0.36838498711586,0.3562411963939667,0.3251037895679474,0.1704300194978714,0.39605680108070374,0.01076966617256403,0.23739641904830933
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3268454372882843,0.5696388483047485,0.23621977865695953,1.0,0.13996225595474243,0.20430970191955566
july,0.22688010334968567,0.40724116563796997,0.2371699959039688,0.12365488708019257,0.19723743200302124,0.20258554816246033,0.26500701904296875,0.1156284436583519,0.2897891402244568
2014,0.041483160108327866,0.1446884423494339,0.059490643441677094,0.037611741572618484,0.0493064783513546,0.03780077397823334,0.13996225595474243,1.0000001192092896,0.058127544820308685
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.24234211444854736,0.5591574311256409,0.14509223401546478,0.4130953550338745
