,when,was,the,rhine,crisis,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.19426369667053223,0.20430970191955566
1840,0.06525023281574249,0.17085224390029907,0.08647233992815018,-0.06932719051837921,-0.056186724454164505,0.014193880371749401
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18660308420658112,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.263981431722641,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,1.0,0.08215966075658798,0.13754533231258392
crisis,0.24111725389957428,0.20050278306007385,0.263981431722641,0.08215966075658798,1.0,0.17902959883213043
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18660308420658112,0.31091248989105225
prompted,0.22345221042633057,0.2312595248222351,0.3065200448036194,0.11876057833433151,0.3350440561771393,0.13139130175113678
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.18456800282001495,0.1594943255186081,0.17966607213020325
french,0.18820616602897644,0.2523815333843231,0.2555147111415863,0.2762029767036438,0.19220282137393951,0.1386883556842804
prime,0.1445009857416153,0.21048103272914886,0.19960100948810577,0.0849541649222374,0.25101742148399353,0.11276303976774216
minister,0.14265094697475433,0.26634681224823,0.19297581911087036,0.1555631011724472,0.2502719461917877,0.10825661569833755
adolphe,0.15200640261173248,0.287200391292572,0.19886653125286102,0.2781497836112976,0.08132542669773102,0.1712350696325302
thiers,0.17537201941013336,0.19502684473991394,0.29860982298851013,0.35356491804122925,0.13150659203529358,0.1522499918937683
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.0778765007853508,-0.09148845076560974,-0.023395681753754616
desire,0.2517363727092743,0.1945728212594986,0.21467123925685883,0.10194988548755646,0.21109619736671448,0.2773160934448242
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.1736302673816681,0.21038146317005157,0.29463258385658264
reinstate,0.29593396186828613,0.3130718767642975,0.24317879974842072,0.1851789951324463,0.17786815762519836,0.3002707362174988
the,0.5091903209686279,0.48711544275283813,1.0,0.30735138058662415,0.263981431722641,0.22068053483963013
rhine,0.13750529289245605,0.18681856989860535,0.30735138058662415,1.0,0.08215966075658798,0.13754533231258392
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.18380387127399445,0.12366023659706116,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.1976640820503235,0.23916715383529663
natural,0.17298151552677155,0.16573187708854675,0.2291368842124939,0.10907647758722305,0.15226057171821594,0.16155436635017395
border,0.17932823300361633,0.15863363444805145,0.2856229841709137,0.32308438420295715,0.19827115535736084,0.1706928312778473
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.167837992310524,0.18660308420658112,0.31091248989105225
led,0.2072276622056961,0.34443995356559753,0.3267505168914795,0.15631546080112457,0.21481694281101227,0.09273858368396759
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.1736302673816681,0.21038146317005157,0.29463258385658264
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.1976640820503235,0.23916715383529663
diplomatic,0.23524054884910583,0.1641540825366974,0.25739702582359314,0.1736665666103363,0.3582307696342468,0.17442072927951813
crisis,0.24111725389957428,0.20050278306007385,0.263981431722641,0.08215966075658798,1.0,0.17902959883213043
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.22029656171798706,0.17489491403102875,0.20544172823429108
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.1823403388261795,0.1976640820503235,0.23916715383529663
wave,0.20999440550804138,0.16078074276447296,0.23117129504680634,0.17227916419506073,0.1689308136701584,0.19408074021339417
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2548927664756775,0.2267792969942093,0.1826142966747284
nationalism,0.16583633422851562,0.22557993233203888,0.24141642451286316,0.15999692678451538,0.3415471315383911,0.1636960208415985
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24648422002792358,0.19426369667053223,0.20430970191955566
germany,0.20363320410251617,0.2618768811225891,0.3181285262107849,0.5801170468330383,0.14123810827732086,0.1388660967350006
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.2089352011680603,0.15965543687343597,0.4130953550338745
