,what,was,the,reason,the,italian,constitutional,court,gave,that,resulted,in,mr.,costa,losing,his,his,claim,against,enel,?
the,0.42745697498321533,0.48711544275283813,1.0,0.29647648334503174,1.0,0.19855095446109772,0.2926941215991974,0.2812081575393677,0.32555076479911804,0.5473989248275757,0.2975946068763733,0.6662389636039734,0.1821073591709137,0.2266753762960434,0.3114689588546753,0.4394008219242096,0.4394008219242096,0.25873351097106934,0.3090755045413971,0.37260618805885315,0.22068053483963013
italian,0.15137425065040588,0.27526864409446716,0.19855095446109772,0.1430705487728119,0.19855095446109772,1.0,0.13396084308624268,0.11926320195198059,0.10200952738523483,0.18464817106723785,0.13075058162212372,0.1941935271024704,0.10759617388248444,0.31354883313179016,0.06851809471845627,0.20906111598014832,0.20906111598014832,0.13439616560935974,0.11910026520490646,0.28652364015579224,0.1156633123755455
constitutional,0.24835939705371857,0.2571640908718109,0.2926941215991974,0.20444658398628235,0.2926941215991974,0.13396084308624268,1.0,0.49154651165008545,0.20605042576789856,0.2671305537223816,0.2308616191148758,0.278969407081604,0.17829830944538116,0.21930742263793945,0.1546056717634201,0.19082318246364594,0.19082318246364594,0.2561315596103668,0.2666279077529907,0.24591688811779022,0.2199033498764038
court,0.23440583050251007,0.2737988233566284,0.2812081575393677,0.16283929347991943,0.2812081575393677,0.11926320195198059,0.49154651165008545,1.0,0.19336460530757904,0.2474849969148636,0.21722878515720367,0.2793687880039215,0.11800265312194824,0.13159260153770447,0.18525783717632294,0.25545522570610046,0.25545522570610046,0.23169399797916412,0.22792665660381317,0.24163520336151123,0.17100423574447632
gave,0.14222867786884308,0.42201077938079834,0.32555076479911804,0.2021317481994629,0.32555076479911804,0.10200952738523483,0.20605042576789856,0.19336460530757904,1.0000001192092896,0.2616252303123474,0.28472357988357544,0.24152803421020508,0.10245510190725327,0.166190505027771,0.26132985949516296,0.35753533244132996,0.35753533244132996,0.23022840917110443,0.2217761129140854,0.25705257058143616,0.1910865753889084
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.21939314901828766,0.4207492768764496,0.21763551235198975,0.21693658828735352,0.20114386081695557,0.16562312841415405,0.365763783454895,0.18006636202335358,0.2605783939361572,0.17876878380775452,0.16208243370056152,0.11088519543409348,0.24025635421276093,0.24025635421276093,0.1815912276506424,0.17087337374687195,0.27771997451782227,0.19793890416622162
opinion,0.41087794303894043,0.23842191696166992,0.22474613785743713,0.3427024185657501,0.22474613785743713,0.14103566110134125,0.34185391664505005,0.3660656809806824,0.1858704686164856,0.36596253514289856,0.19239582121372223,0.21849191188812256,0.1677524894475937,0.1849808543920517,0.21747982501983643,0.26037362217903137,0.26037362217903137,0.28472790122032166,0.24930022656917572,0.22688303887844086,0.38472914695739746
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.462776243686676,0.5473989248275757,0.18464817106723785,0.2671305537223816,0.2474849969148636,0.2616252303123474,1.0,0.22833308577537537,0.435920387506485,0.23634220659732819,0.17925287783145905,0.26504290103912354,0.3173833191394806,0.3173833191394806,0.39801377058029175,0.3318655490875244,0.261299729347229,0.32716336846351624
because,0.46729007363319397,0.3841400742530823,0.44596394896507263,0.5037713050842285,0.44596394896507263,0.21078237891197205,0.2033618986606598,0.16920259594917297,0.3142220079898834,0.6503599286079407,0.33941277861595154,0.37423941493034363,0.1525680273771286,0.2155866026878357,0.3759863078594208,0.31541815400123596,0.31541815400123596,0.32702046632766724,0.3272870182991028,0.27656593918800354,0.2528740465641022
the,0.42745697498321533,0.48711544275283813,1.0,0.29647648334503174,1.0,0.19855095446109772,0.2926941215991974,0.2812081575393677,0.32555076479911804,0.5473989248275757,0.2975946068763733,0.6662389636039734,0.1821073591709137,0.2266753762960434,0.3114689588546753,0.4394008219242096,0.4394008219242096,0.25873351097106934,0.3090755045413971,0.37260618805885315,0.22068053483963013
