,how,did,der,sturmer,describe,luther,'s,on,the,jews,and,their,lies
the,0.33890387415885925,0.34736719727516174,0.1982923448085785,0.1621849238872528,0.26495152711868286,0.1759674996137619,-0.01540423184633255,0.5107308030128479,1.0,0.24901628494262695,0.5171257257461548,0.516537070274353,0.3383781313896179
city,0.12024712562561035,0.12266099452972412,0.1601630002260208,0.17430837452411652,0.09587062150239944,0.1066574677824974,0.004406440537422895,0.2549738585948944,0.35769423842430115,0.21510004997253418,0.2827445864677429,0.18052278459072113,0.3217150866985321
of,0.2480744868516922,0.2513895630836487,0.2241462916135788,0.18209339678287506,0.2764313519001007,0.1719115972518921,-0.03817026689648628,0.3966929316520691,0.733189046382904,0.2207300066947937,0.5116966962814331,0.4329940676689148,0.28165045380592346
nuremberg,0.1606726050376892,0.19594354927539825,0.4125880300998688,0.3124258816242218,0.1105995774269104,0.2748986482620239,0.043241143226623535,0.2012234926223755,0.2485036700963974,0.263893723487854,0.14392228424549103,0.14302226901054382,0.13557672500610352
presented,0.24352394044399261,0.24108581244945526,0.1835118532180786,0.08116114884614944,0.2639366090297699,0.15171067416667938,0.016211573034524918,0.2615085244178772,0.3251480758190155,0.1351613998413086,0.26139622926712036,0.180921733379364,0.11003139615058899
a,0.29312583804130554,0.2552328109741211,0.1786900907754898,0.26052552461624146,0.3062607944011688,0.17967689037322998,0.04866964742541313,0.3848365545272827,0.5829201340675354,0.17522315680980682,0.3739250600337982,0.29698723554611206,0.22762027382850647
first,0.27731001377105713,0.33691170811653137,0.14851319789886475,0.169064000248909,0.2118561863899231,0.20517638325691223,-0.014458609744906425,0.3120559751987457,0.49448907375335693,0.10571713745594025,0.3167642652988434,0.26809096336364746,0.12008998543024063
edition,0.13050124049186707,0.1429024487733841,0.21703208982944489,0.16660194098949432,0.08049611747264862,0.18736763298511505,-0.06360995024442673,0.22024326026439667,0.24227465689182281,0.18443594872951508,0.2238008677959442,0.13912665843963623,0.08385750651359558
of,0.2480744868516922,0.2513895630836487,0.2241462916135788,0.18209339678287506,0.2764313519001007,0.1719115972518921,-0.03817026689648628,0.3966929316520691,0.733189046382904,0.2207300066947937,0.5116966962814331,0.4329940676689148,0.28165045380592346
on,0.32655060291290283,0.2670976221561432,0.2015618532896042,0.16019250452518463,0.14475375413894653,0.19090485572814941,0.0026888418942689896,0.9999999403953552,0.5107308030128479,0.13907738029956818,0.4077630043029785,0.3598666191101074,0.20048394799232483
