,who,was,the,inventor,of,the,atmospheric,engine,?
the,0.3733934462070465,0.48711544275283813,1.0,0.15489226579666138,0.733189046382904,1.0,0.25230076909065247,0.21651263535022736,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,0.2559942901134491,0.3536086082458496,0.49448907375335693,0.17947421967983246,0.16088122129440308,0.18701928853988647
commercially,0.11628497391939163,0.2954142093658447,0.2240111082792282,0.15401072800159454,0.16967931389808655,0.2240111082792282,0.17895931005477905,0.2282935231924057,0.050892215222120285
successful,0.22461774945259094,0.3046294152736664,0.31354787945747375,0.18833690881729126,0.2304827868938446,0.31354787945747375,0.09315342456102371,0.16274981200695038,0.1132197454571724
true,0.15497717261314392,0.09867987781763077,0.19509610533714294,0.12181168049573898,0.21835467219352722,0.19509610533714294,0.1349792182445526,0.0787951722741127,0.22515304386615753
engine,0.1543407142162323,0.205611914396286,0.21651263535022736,0.2885926067829132,0.17095594108104706,0.21651263535022736,0.2417989820241928,1.0,0.17739196121692657
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24355387687683105,0.4946078956127167,0.4933079481124878,0.24152730405330658,0.19789794087409973,0.31091248989105225
in,0.2792111933231354,0.45514053106307983,0.6662389636039734,0.18350328505039215,0.5696388483047485,0.6662389636039734,0.17850768566131592,0.18885408341884613,0.20430970191955566
that,0.45444270968437195,0.33670201897621155,0.5473989248275757,0.17104795575141907,0.41498205065727234,0.5473989248275757,0.2735665440559387,0.23960842192173004,0.32716336846351624
it,0.2868398427963257,0.4577186405658722,0.6251175999641418,0.20602001249790192,0.38761502504348755,0.6251175999641418,0.2628200352191925,0.26840072870254517,0.25732165575027466
could,0.33540013432502747,0.39896807074546814,0.35393214225769043,0.10590898245573044,0.29043012857437134,0.35393214225769043,0.13392463326454163,0.19176195561885834,0.3411986827850342
generate,0.09538788348436356,0.060111723840236664,0.264517217874527,0.14545024931430817,0.25864773988723755,0.264517217874527,0.2684764564037323,0.29651179909706116,0.28300654888153076
power,0.25855374336242676,0.1794997751712799,0.2647338807582855,0.10375748574733734,0.25273123383522034,0.2647338807582855,0.18525613844394684,0.30954575538635254,0.15304024517536163
and,0.41279885172843933,0.3740963041782379,0.5171257257461548,0.1455620676279068,0.5116966962814331,0.5171257257461548,0.2693617045879364,0.18437977135181427,0.20544172823429108
transmit,0.2030460089445114,0.09623531252145767,0.2503734529018402,0.20879867672920227,0.20769038796424866,0.2503734529018402,0.14393292367458344,0.2546684145927429,0.16771046817302704
it,0.2868398427963257,0.4577186405658722,0.6251175999641418,0.20602001249790192,0.38761502504348755,0.6251175999641418,0.2628200352191925,0.26840072870254517,0.25732165575027466
to,0.42656609416007996,0.3636345863342285,0.535392165184021,0.12521976232528687,0.41548454761505127,0.535392165184021,0.24248166382312775,0.20794793963432312,0.29463258385658264
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.27090972661972046,0.5052502155303955,0.5829201340675354,0.17021165788173676,0.24768835306167603,0.23916715383529663
machine,0.26473936438560486,0.1741330921649933,0.22788187861442566,0.355460524559021,0.15468473732471466,0.22788187861442566,0.13767334818840027,0.34204885363578796,0.17587624490261078
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24355387687683105,0.4946078956127167,0.4933079481124878,0.24152730405330658,0.19789794087409973,0.31091248989105225
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.24424013495445251,0.4069072902202606,0.48711544275283813,0.17251721024513245,0.205611914396286,0.18412111699581146
the,0.3733934462070465,0.48711544275283813,1.0,0.15489226579666138,0.733189046382904,1.0,0.25230076909065247,0.21651263535022736,0.22068053483963013
atmospheric,0.10670146346092224,0.17251721024513245,0.25230076909065247,0.17668431997299194,0.25383174419403076,0.25230076909065247,1.0000001192092896,0.2417989820241928,0.11404281854629517
engine,0.1543407142162323,0.205611914396286,0.21651263535022736,0.2885926067829132,0.17095594108104706,0.21651263535022736,0.2417989820241928,1.0,0.17739196121692657
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24355387687683105,0.4946078956127167,0.4933079481124878,0.24152730405330658,0.19789794087409973,0.31091248989105225
invented,0.23703113198280334,0.2900676131248474,0.16009420156478882,0.6928043365478516,0.18887928128242493,0.16009420156478882,0.17915043234825134,0.2357250154018402,0.13781782984733582
by,0.39727845788002014,0.4752357602119446,0.4408751428127289,0.15661834180355072,0.3646814823150635,0.4408751428127289,0.18186768889427185,0.1870088279247284,0.17966607213020325
thomas,0.26103657484054565,0.26629963517189026,0.23505409061908722,0.26832932233810425,0.18699592351913452,0.23505409061908722,0.13527461886405945,0.15047331154346466,0.16133050620555878
newcomen,0.2487904280424118,0.1923932433128357,0.2645798325538635,0.16822096705436707,0.20999403297901154,0.2645798325538635,0.1420164257287979,0.3742743134498596,0.2543369233608246
around,0.2775672674179077,0.24039418995380402,0.40085816383361816,0.15737958252429962,0.3296394646167755,0.40085816383361816,0.2103874683380127,0.1440555453300476,0.14729668200016022
1712,0.12550489604473114,0.15463149547576904,0.22317750751972198,0.12206166982650757,0.18259553611278534,0.22317750751972198,0.11869233101606369,0.11641373485326767,0.1953098028898239
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.20599165558815002,0.5352458953857422,0.5934505462646484,0.21829068660736084,0.21814921498298645,0.4130953550338745
