,what,was,the,title,given,to,the,major,project,to,redesign,all,the,galleries,in,the,museum,?
after,0.21973377466201782,0.49306565523147583,0.4565047025680542,0.17867733538150787,0.27843979001045227,0.37890323996543884,0.4565047025680542,0.21618323028087616,0.13865147531032562,0.37890323996543884,0.11560387164354324,0.284124493598938,0.4565047025680542,0.11770003288984299,0.44050168991088867,0.4565047025680542,0.14579711854457855,0.16608688235282898
the,0.42745697498321533,0.48711544275283813,1.0,0.27465343475341797,0.37508252263069153,0.535392165184021,1.0,0.31775903701782227,0.2027820199728012,0.535392165184021,0.25783950090408325,0.4860881567001343,1.0,0.27603694796562195,0.6662389636039734,1.0,0.24861779808998108,0.22068053483963013
success,0.22873179614543915,0.315643846988678,0.2764457166194916,0.2522047460079193,0.18380708992481232,0.20929217338562012,0.2764457166194916,0.20049592852592468,0.21545754373073578,0.20929217338562012,0.2705904543399811,0.21040965616703033,0.2764457166194916,0.16445231437683105,0.3020555078983307,0.2764457166194916,0.13180138170719147,0.1216118186712265
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.18969319760799408,0.39388060569763184,0.41548454761505127,0.733189046382904,0.2641255557537079,0.17578177154064178,0.41548454761505127,0.16396424174308777,0.42798417806625366,0.733189046382904,0.24172402918338776,0.5696388483047485,0.733189046382904,0.23314370214939117,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.27465343475341797,0.37508252263069153,0.535392165184021,1.0,0.31775903701782227,0.2027820199728012,0.535392165184021,0.25783950090408325,0.4860881567001343,1.0,0.27603694796562195,0.6662389636039734,1.0,0.24861779808998108,0.22068053483963013
british,0.19255435466766357,0.31934812664985657,0.28973397612571716,0.13770772516727448,0.24086716771125793,0.22690963745117188,0.28973397612571716,0.1561877429485321,0.18434424698352814,0.22690963745117188,0.13220345973968506,0.13322892785072327,0.28973397612571716,0.2164243906736374,0.23084034025669098,0.28973397612571716,0.1519032120704651,0.09711728990077972
galleries,0.17793069779872894,0.14833402633666992,0.27603694796562195,0.14823345839977264,0.16650176048278809,0.2089657187461853,0.27603694796562195,0.20081022381782532,0.24154400825500488,0.2089657187461853,0.29314708709716797,0.25823846459388733,0.27603694796562195,0.9999998807907104,0.2712664008140564,0.27603694796562195,0.54404217004776,0.1957392692565918
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2202284336090088,0.2843315005302429,0.44245919585227966,0.4933079481124878,0.29355156421661377,0.24875426292419434,0.44245919585227966,0.19554999470710754,0.425624817609787,0.4933079481124878,0.2487238645553589,0.5201468467712402,0.4933079481124878,0.20741747319698334,0.31091248989105225
opened,0.14500318467617035,0.31916534900665283,0.28544309735298157,0.11352089792490005,0.21278831362724304,0.18903055787086487,0.28544309735298157,0.19959761202335358,0.1426742821931839,0.18903055787086487,0.28687652945518494,0.14245206117630005,0.28544309735298157,0.2789672017097473,0.2972770035266876,0.28544309735298157,0.3635562062263489,0.1934700310230255
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2263992726802826,0.2528568208217621,0.45010748505592346,0.6662389636039734,0.3249945342540741,0.16277937591075897,0.45010748505592346,0.13725560903549194,0.3335905969142914,0.6662389636039734,0.2712664008140564,1.0,0.6662389636039734,0.2407650351524353,0.20430970191955566
