,what,project,put,the,first,americans,into,space,?
first,0.28086137771606445,0.2069343626499176,0.22583413124084473,0.49448907375335693,1.0,0.26725783944129944,0.21452488005161285,0.24688784778118134,0.18701928853988647
conceived,0.22557096183300018,0.2699055075645447,0.2029115855693817,0.23506250977516174,0.2187049686908722,0.14434298872947693,0.17198073863983154,0.14607220888137817,0.14654332399368286
during,0.24137552082538605,0.13406381011009216,0.19889357686042786,0.4838213622570038,0.45377472043037415,0.3387773036956787,0.2686498165130615,0.11470604687929153,0.1325719803571701
dwight,0.22464384138584137,0.13471975922584534,0.1029982790350914,0.23080125451087952,0.28562965989112854,0.2833922505378723,0.04908747598528862,0.119280144572258,0.16946303844451904
d.,0.05416262149810791,-0.016894765198230743,0.019074346870183945,0.03410084545612335,0.1267024725675583,0.0907423123717308,-0.041606780141592026,-0.08536571264266968,-0.049560099840164185
eisenhower,0.2272440493106842,0.16109392046928406,0.15565520524978638,0.2813449501991272,0.2384965717792511,0.39261552691459656,0.12436876446008682,0.20573735237121582,0.18130066990852356
's,0.02692362666130066,0.07063660025596619,0.006688596680760384,-0.01540423184633255,-0.014458609744906425,0.042571213096380234,0.00961404386907816,-0.1200559139251709,-0.023395681753754616
administration,0.2483910471200943,0.27354222536087036,0.18135179579257965,0.3083578944206238,0.19003139436244965,0.23934306204319,0.23244045674800873,0.24026833474636078,0.14283715188503265
as,0.31749409437179565,0.22332392632961273,0.21931825578212738,0.48381632566452026,0.33842000365257263,0.20505233108997345,0.24094121158123016,0.1954064816236496,0.27043893933296204
a,0.3320399522781372,0.2328382134437561,0.35192930698394775,0.5829201340675354,0.4287874400615692,0.20731951296329498,0.3461161255836487,0.20296213030815125,0.23916715383529663
three-man,0.29215723276138306,0.18581438064575195,0.27083176374435425,0.455867737531662,0.3514552116394043,0.2817114293575287,0.25474685430526733,0.2098981887102127,0.26473212242126465
spacecraft,0.19567668437957764,0.28782275319099426,0.2187444567680359,0.21476294100284576,0.26950958371162415,0.19699899852275848,0.24193190038204193,0.6220287084579468,0.17708687484264374
