,how,did,turabi,build,a,strong,economic,base,?
turabi,0.1531970053911209,0.1501566767692566,1.0,0.14803725481033325,0.15780171751976013,0.10098282247781754,0.2134190946817398,0.13520345091819763,0.1846337914466858
built,0.16975881159305573,0.2079687863588333,0.14757809042930603,0.5833544731140137,0.23064446449279785,0.19806288182735443,0.14854085445404053,0.23218072950839996,0.09449632465839386
a,0.29312583804130554,0.2552328109741211,0.15780171751976013,0.26229962706565857,1.0,0.3321513831615448,0.2234611213207245,0.27513372898101807,0.23916715383529663
powerful,0.20779310166835785,0.2593378722667694,0.17154522240161896,0.2679266035556793,0.2647459805011749,0.4703461229801178,0.21096909046173096,0.12275877594947815,0.12160622328519821
economic,0.22296547889709473,0.14787930250167847,0.2134190946817398,0.20341555774211884,0.2234611213207245,0.1784370243549347,0.9999999403953552,0.1715233474969864,0.1206481084227562
base,0.14943158626556396,0.10818643122911453,0.13520345091819763,0.2276664525270462,0.27513372898101807,0.2568720579147339,0.1715233474969864,1.0000001192092896,0.10518061369657516
with,0.3525622487068176,0.25472134351730347,0.14219194650650024,0.25872841477394104,0.3783375024795532,0.3258751928806305,0.21086382865905762,0.19587387144565582,0.2433311939239502
money,0.26024624705314636,0.3498571217060089,0.1889554113149643,0.32215580344200134,0.2777978479862213,0.14016003906726837,0.29089319705963135,0.1041516661643982,0.2069680541753769
from,0.22939439117908478,0.20248863101005554,0.150675430893898,0.16964644193649292,0.322764128446579,0.1937749981880188,0.14037707448005676,0.1786760836839676,0.19969791173934937
foreign,0.2628900706768036,0.16029956936836243,0.23572197556495667,0.08178263902664185,0.16994866728782654,0.16669310629367828,0.37400490045547485,0.12282226234674454,0.13770383596420288
islamist,0.11329931020736694,0.18690630793571472,0.5093404054641724,0.11903814971446991,0.2404065877199173,0.1757526397705078,0.26029735803604126,0.12834079563617706,0.14697067439556122
banking,0.15348270535469055,0.2053314745426178,0.17176292836666107,0.2466893196105957,0.25409242510795593,0.08476115763187408,0.4393408000469208,0.15424151718616486,0.12845630943775177
systems,0.27218514680862427,0.19584694504737854,0.1820039302110672,0.24486197531223297,0.23904047906398773,0.19469250738620758,0.24123525619506836,0.16937971115112305,0.1575973927974701
",",0.22659391164779663,0.3015086054801941,0.24019668996334076,0.22204548120498657,0.427140474319458,0.3008308410644531,0.2340485155582428,0.24008820950984955,0.31091248989105225
especially,0.33161523938179016,0.26305219531059265,0.15778182446956635,0.20946286618709564,0.3264579772949219,0.3522605895996094,0.2849479913711548,0.17408743500709534,0.19751401245594025
those,0.3717906177043915,0.38519078493118286,0.1652648150920868,0.2541673183441162,0.24251152575016022,0.2663992643356323,0.20425285398960114,0.1542246788740158,0.3328189253807068
linked,0.24605058133602142,0.17733152210712433,0.20127125084400177,0.20498336851596832,0.2052881270647049,0.18148180842399597,0.15571433305740356,0.140885129570961,0.22991526126861572
with,0.3525622487068176,0.25472134351730347,0.14219194650650024,0.25872841477394104,0.3783375024795532,0.3258751928806305,0.21086382865905762,0.19587387144565582,0.2433311939239502
saudi,0.1265159696340561,0.12426625192165375,0.5522304773330688,0.10873886197805405,0.20991550385951996,0.10544062405824661,0.2066817581653595,0.14339123666286469,0.1627861112356186
arabia,0.10585584491491318,0.10498837381601334,0.5368557572364807,0.11040126532316208,0.1468517780303955,0.05552598088979721,0.18485628068447113,0.0782196894288063,0.14747555553913116
.,0.3287222981452942,0.35288307070732117,0.17737819254398346,0.275961309671402,0.50484299659729,0.2886887490749359,0.22435031831264496,0.26800644397735596,0.4130953550338745
