,who,designed,the,garden,for,the,university,library,?
the,0.3733934462070465,0.2559613883495331,1.0,0.23359008133411407,0.4739971458911896,1.0,0.263973206281662,0.19920319318771362,0.22068053483963013
university,0.2115909904241562,0.09839355200529099,0.263973206281662,0.1804405003786087,0.18573740124702454,0.263973206281662,1.0,0.3760603964328766,0.11887256056070328
library,0.15864916145801544,0.21015587449073792,0.19920319318771362,0.21701620519161224,0.17405205965042114,0.19920319318771362,0.3760603964328766,0.9999999403953552,0.18938742578029633
garden,0.20798394083976746,0.18153424561023712,0.23359008133411407,1.0,0.19887973368167877,0.23359008133411407,0.1804405003786087,0.21701620519161224,0.16720405220985413
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2712799608707428,0.4464869201183319,0.4933079481124878,0.3017033040523529,0.16805633902549744,0.31091248989105225
designed,0.21097040176391602,1.0,0.2559613883495331,0.18153424561023712,0.22817277908325195,0.2559613883495331,0.09839355200529099,0.21015587449073792,0.11213942617177963
by,0.39727845788002014,0.29250532388687134,0.4408751428127289,0.1725831925868988,0.3248702883720398,0.4408751428127289,0.1929011344909668,0.17569513618946075,0.17966607213020325
irena,0.19084532558918,0.11124496161937714,0.11247210204601288,0.19070230424404144,0.09207550436258316,0.11247210204601288,0.18666407465934753,0.14154677093029022,0.15628500282764435
bajerska,0.23310159146785736,0.19446595013141632,0.29248616099357605,0.1787896305322647,0.1870608627796173,0.29248616099357605,0.3281116783618927,0.19846710562705994,0.21595929563045502
",",0.3365725874900818,0.201692596077919,0.4933079481124878,0.2712799608707428,0.4464869201183319,0.4933079481124878,0.3017033040523529,0.16805633902549744,0.31091248989105225
was,0.3318818509578705,0.28384989500045776,0.48711544275283813,0.2112511396408081,0.3863949179649353,0.48711544275283813,0.290752112865448,0.1691625416278839,0.18412111699581146
opened,0.1488369107246399,0.3401327133178711,0.28544309735298157,0.2810719609260559,0.16583703458309174,0.28544309735298157,0.24912703037261963,0.20949317514896393,0.1934700310230255
on,0.2340552806854248,0.2350989580154419,0.5107308030128479,0.18135347962379456,0.36199691891670227,0.5107308030128479,0.18291500210762024,0.1803589016199112,0.2714994251728058
12,0.07916399836540222,0.01956765167415142,0.28907760977745056,0.12206415832042694,0.08460327982902527,0.28907760977745056,-0.017764680087566376,-0.006454932037740946,0.10021790862083435
june,0.23552022874355316,0.18603095412254333,0.24568822979927063,0.1583007425069809,0.27836936712265015,0.24568822979927063,0.23705518245697021,0.22433647513389587,0.31416764855384827
2002,-0.011096460744738579,-0.10581399500370026,-0.07970229536294937,-0.02469100058078766,-0.03412793204188347,-0.07970229536294937,-0.1961938440799713,-0.10314007848501205,0.045828185975551605
.,0.3541337847709656,0.24422594904899597,0.5934505462646484,0.231033593416214,0.4726039469242096,0.5934505462646484,0.290679007768631,0.23675528168678284,0.4130953550338745
