,the,art,noveau,style,of,glassware,is,represented,by,which,two,artists,?
the,1.0,0.20297785103321075,0.2539583146572113,0.2331719547510147,0.733189046382904,0.2211626172065735,0.5823672413825989,0.3256146013736725,0.4408751428127289,0.6521818041801453,0.43858039379119873,0.2150506228208542,0.22068053483963013
earliest,0.32825469970703125,0.19640545547008514,0.16845141351222992,0.23148664832115173,0.33267632126808167,0.28343644738197327,0.22056961059570312,0.24064233899116516,0.1959538608789444,0.32621052861213684,0.28243088722229004,0.19543138146400452,0.139415442943573
glassware,0.2211626172065735,0.2859722375869751,0.2305096685886383,0.24269966781139374,0.2735525071620941,1.0,0.31054869294166565,0.1723991483449936,0.2278655767440796,0.3807629942893982,0.21251943707466125,0.21956728398799896,0.16611911356449127
on,0.5107308030128479,0.1585155427455902,0.27413058280944824,0.1947430968284607,0.3966929316520691,0.148808553814888,0.3635730445384979,0.17962776124477386,0.33887791633605957,0.4245251417160034,0.3205535411834717,0.18142518401145935,0.2714994251728058
display,0.2758708596229553,0.22718213498592377,0.16756875813007355,0.2478339523077011,0.23211264610290527,0.36624807119369507,0.210763618350029,0.23659108579158783,0.1518687903881073,0.28086164593696594,0.10323096811771393,0.1685447096824646,0.17059175670146942
comes,0.32399529218673706,0.14028938114643097,0.11692005395889282,0.10034222900867462,0.2978210747241974,0.17359349131584167,0.4279782474040985,0.16070403158664703,0.14446964859962463,0.2863384485244751,0.17850027978420258,0.16413834691047668,0.15980161726474762
from,0.40150508284568787,0.2182932198047638,0.14187932014465332,0.19759854674339294,0.4249346852302551,0.18961201608181,0.27355384826660156,0.27583742141723633,0.3373257517814636,0.38755592703819275,0.25732070207595825,0.19604091346263885,0.19969791173934937
ancient,0.28808021545410156,0.24530617892742157,0.12919451296329498,0.18787692487239838,0.3361112177371979,0.26715272665023804,0.2616937756538391,0.1999858170747757,0.17577187716960907,0.29943716526031494,0.17765630781650543,0.1894601285457611,0.12938068807125092
egypt,0.2536296546459198,0.16824394464492798,0.17469049990177155,0.12625794112682343,0.25414037704467773,0.1916341930627823,0.16368485987186432,0.21045111119747162,0.1705920398235321,0.20362521708011627,0.16132937371730804,0.15714572370052338,0.17769601941108704
and,0.5171257257461548,0.2631918787956238,0.24821969866752625,0.2745923101902008,0.5116966962814331,0.2811708152294159,0.3859752118587494,0.2506123185157776,0.4289871156215668,0.506277859210968,0.4671151638031006,0.22698481380939484,0.20544172823429108
continues,0.3452514410018921,0.1648712456226349,0.15064308047294617,0.18312649428844452,0.2937655746936798,0.18879783153533936,0.32428741455078125,0.11497365683317184,0.15039396286010742,0.29659315943717957,0.2526346743106842,0.14297911524772644,0.13186512887477875
through,0.44071322679519653,0.1611328125,0.07695848494768143,0.17727011442184448,0.3647414743900299,0.2729114592075348,0.27805060148239136,0.1769859343767166,0.3433202803134918,0.40321648120880127,0.24710188806056976,0.18042069673538208,0.16913433372974396
the,1.0,0.20297785103321075,0.2539583146572113,0.2331719547510147,0.733189046382904,0.2211626172065735,0.5823672413825989,0.3256146013736725,0.4408751428127289,0.6521818041801453,0.43858039379119873,0.2150506228208542,0.22068053483963013
ancient,0.28808021545410156,0.24530617892742157,0.12919451296329498,0.18787692487239838,0.3361112177371979,0.26715272665023804,0.2616937756538391,0.1999858170747757,0.17577187716960907,0.29943716526031494,0.17765630781650543,0.1894601285457611,0.12938068807125092
roman,0.2862859070301056,0.18478702008724213,0.2278795838356018,0.1585536003112793,0.31028008460998535,0.17123466730117798,0.16690842807292938,0.16755667328834534,0.169524148106575,0.2057887464761734,0.16959248483181,0.1199430301785469,0.1663191318511963
",",0.4933079481124878,0.2700960636138916,0.31305572390556335,0.2071632742881775,0.4946078956127167,0.2507728636264801,0.4691906273365021,0.3088570833206177,0.3680937886238098,0.3658004403114319,0.35859420895576477,0.2220294177532196,0.31091248989105225
medieval,0.28617456555366516,0.2332231104373932,0.2733765244483948,0.2356378436088562,0.31686919927597046,0.2675742506980896,0.22781160473823547,0.11186665296554565,0.18843704462051392,0.26363545656204224,0.14856061339378357,0.19702854752540588,0.15571735799312592
",",0.4933079481124878,0.2700960636138916,0.31305572390556335,0.2071632742881775,0.4946078956127167,0.2507728636264801,0.4691906273365021,0.3088570833206177,0.3680937886238098,0.3658004403114319,0.35859420895576477,0.2220294177532196,0.31091248989105225
renaissance,0.2050212025642395,0.37710267305374146,0.2921554744243622,0.3401931822299957,0.21895526349544525,0.25472787022590637,0.15399330854415894,0.07870805263519287,0.18631196022033691,0.1855861097574234,0.11623568832874298,0.36042922735214233,0.12260647863149643
covering,0.36934760212898254,0.1458687037229538,0.12081921845674515,0.21330854296684265,0.3818558156490326,0.26275214552879333,0.3053378760814667,0.20942918956279755,0.21125344932079315,0.3523010313510895,0.16165263950824738,0.10549090057611465,0.10643069446086884
areas,0.3311663568019867,0.18269091844558716,0.025917408987879753,0.16001202166080475,0.2803763747215271,0.22226732969284058,0.28282591700553894,0.1556789129972458,0.2005605250597,0.34350457787513733,0.23039963841438293,0.19143342971801758,0.1273590475320816
such,0.3575236201286316,0.15831314027309418,0.15890060365200043,0.20612289011478424,0.3209529519081116,0.3238120675086975,0.23545363545417786,0.2220982164144516,0.2736194431781769,0.406057745218277,0.29377371072769165,0.23507806658744812,0.17851735651493073
