,where,does,kenya,rang,on,the,cpi,scale,?
kenya,0.20705291628837585,0.15162554383277893,1.0,0.1705346554517746,0.18445201218128204,0.21657514572143555,0.3297657370567322,0.07682924717664719,0.17197901010513306
ranks,0.2066526710987091,0.1677374392747879,0.08478698134422302,0.2681574821472168,0.21740925312042236,0.32440441846847534,0.22777527570724487,0.18481294810771942,0.17047086358070374
low,0.17517228424549103,0.22342078387737274,0.15619264543056488,0.1973017156124115,0.23674005270004272,0.2544175982475281,0.17282558977603912,0.25224071741104126,0.10658930987119675
on,0.37630224227905273,0.2568802833557129,0.18445201218128204,0.16933850944042206,0.9999999403953552,0.5107308030128479,0.19321425259113312,0.21774359047412872,0.2714994251728058
transparency,0.20602762699127197,0.2920709252357483,0.17737571895122528,0.13159678876399994,0.23484547436237335,0.2278190553188324,0.31448763608932495,0.23269572854042053,0.26982930302619934
international,0.1861797422170639,0.13668061792850494,0.23924607038497925,0.17648011445999146,0.18705831468105316,0.23719607293605804,0.3183807134628296,0.15499986708164215,0.15335838496685028
's,0.0007701900321990252,-0.02895052544772625,-0.02908705547451973,0.09018751233816147,0.0026888418942689896,-0.01540423184633255,0.08985497802495956,0.004218825604766607,-0.023395681753754616
corruption,0.15766096115112305,0.18393801152706146,0.15938818454742432,0.17813771963119507,0.155495747923851,0.23319530487060547,0.3864904046058655,0.14192135632038116,0.16485145688056946
perception,0.18790462613105774,0.2649601697921753,0.025063659995794296,0.13039377331733704,0.20029383897781372,0.2696559429168701,0.22019816935062408,0.24897292256355286,0.1807376742362976
index,0.1817852109670639,0.19498784840106964,0.014956728555262089,0.10422290116548538,0.19914640486240387,0.21882164478302002,0.2662757635116577,0.2847331762313843,0.2477751076221466
(,0.1970011591911316,0.2728188931941986,0.10727446526288986,0.18761184811592102,0.28656116127967834,0.33289089798927307,0.26817572116851807,0.1375715285539627,0.40561532974243164
cpi,0.23407812416553497,0.19055654108524323,0.3297657370567322,0.2598414421081543,0.19321425259113312,0.26674386858940125,0.9999999403953552,0.2019420862197876,0.2325928509235382
),0.20711064338684082,0.2575884759426117,0.12372948974370956,0.19645655155181885,0.29937487840652466,0.3456730246543884,0.2890966236591339,0.17252422869205475,0.42300865054130554
",",0.3149496018886566,0.28617382049560547,0.23432263731956482,0.272660493850708,0.49057599902153015,0.4933079481124878,0.25465384125709534,0.16146816313266754,0.31091248989105225
a,0.40997210144996643,0.38201746344566345,0.1701713502407074,0.23678287863731384,0.3848365545272827,0.5829201340675354,0.2369959056377411,0.2199064940214157,0.23916715383529663
metric,0.15323376655578613,0.15593595802783966,0.2048456370830536,0.15036340057849884,0.14192107319831848,0.21734559535980225,0.28330621123313904,0.2756258249282837,0.2346421480178833
which,0.5477990508079529,0.39111801981925964,0.2035915106534958,0.22467224299907684,0.4245251417160034,0.6521818041801453,0.26037606596946716,0.27186259627342224,0.25814583897590637
attempts,0.1654832363128662,0.3429032266139984,0.09418892115354538,0.12708987295627594,0.1696273386478424,0.27231332659721375,0.10268425196409225,0.11427243053913116,0.09428907185792923
to,0.47735077142715454,0.4391997456550598,0.17769291996955872,0.1964239925146103,0.41031414270401,0.535392165184021,0.23355519771575928,0.18474817276000977,0.29463258385658264
gauge,0.20570218563079834,0.22042140364646912,0.15519626438617706,0.17389780282974243,0.2140982300043106,0.20929455757141113,0.14481008052825928,0.21891506016254425,0.2129381000995636
the,0.5003893971443176,0.35928019881248474,0.21657514572143555,0.19377440214157104,0.5107308030128479,1.0,0.26674386858940125,0.1833842247724533,0.22068053483963013
prevalence,0.2504573166370392,0.2454887479543686,0.13629131019115448,0.15511363744735718,0.17214712500572205,0.33086124062538147,0.25054439902305603,0.2709014415740967,0.19084396958351135
of,0.38066378235816956,0.3119818866252899,0.22226637601852417,0.21869245171546936,0.3966929316520691,0.733189046382904,0.285090833902359,0.19989530742168427,0.1826142966747284
public,0.2059764564037323,0.18710975348949432,0.12837323546409607,0.11339776962995529,0.25951382517814636,0.22857438027858734,0.26756399869918823,0.186550572514534,0.19872993230819702
sector,0.1870671659708023,0.18398194015026093,0.18393830955028534,0.18341735005378723,0.21944007277488708,0.27798449993133545,0.3478558659553528,0.22827476263046265,0.06294605135917664
corruption,0.15766096115112305,0.18393801152706146,0.15938818454742432,0.17813771963119507,0.155495747923851,0.23319530487060547,0.3864904046058655,0.14192135632038116,0.16485145688056946
in,0.5344807505607605,0.214483380317688,0.23621977865695953,0.16962943971157074,0.46853652596473694,0.6662389636039734,0.21718299388885498,0.2105615884065628,0.20430970191955566
various,0.28814008831977844,0.21168746054172516,0.09811357408761978,0.25918617844581604,0.2678913474082947,0.3235042691230774,0.19911880791187286,0.18714143335819244,0.12823495268821716
countries,0.2731434106826782,0.2621564269065857,0.2983141243457794,0.11229801923036575,0.2938643991947174,0.33290645480155945,0.29811275005340576,0.18017777800559998,0.15128466486930847
.,0.41390106081962585,0.3022993505001068,0.24234211444854736,0.2303328812122345,0.49257001280784607,0.5934505462646484,0.2986461818218231,0.23170605301856995,0.4130953550338745
