,what,researcher,first,used,the,word,oxygen,?
the,0.42745697498321533,0.232890784740448,0.49448907375335693,0.3718377649784088,1.0,0.2835540175437927,0.20428593456745148,0.22068053483963013
name,0.18623162806034088,0.1621081382036209,0.3163818418979645,0.275164932012558,0.3171212375164032,0.42211398482322693,0.17779450118541718,0.15381577610969543
oxygen,0.16781960427761078,0.1690787971019745,0.17370176315307617,0.21276918053627014,0.20428593456745148,0.16630679368972778,0.9999999403953552,0.16786395013332367
was,0.22111038863658905,0.29926952719688416,0.5022147297859192,0.23679393529891968,0.48711544275283813,0.20755049586296082,0.16070082783699036,0.18412111699581146
coined,0.21964944899082184,0.32563522458076477,0.19893543422222137,0.3857101500034332,0.23600058257579803,0.38978901505470276,0.15817223489284515,0.15754613280296326
in,0.30808621644973755,0.25031137466430664,0.4127444326877594,0.3090210556983948,0.6662389636039734,0.19815877079963684,0.1672476977109909,0.20430970191955566
1777,0.02643509954214096,0.0947239100933075,0.028860649093985558,0.0391259528696537,0.05747539922595024,0.05805585905909538,0.16140209138393402,0.08882875740528107
by,0.2455483376979828,0.19751329720020294,0.3877052962779999,0.27705541253089905,0.4408751428127289,0.10335100442171097,0.1292176991701126,0.17966607213020325
antoine,0.19465886056423187,0.2049999237060547,0.22136123478412628,0.1667967140674591,0.1924421638250351,0.13697217404842377,0.18057560920715332,0.18068033456802368
lavoisier,0.20517738163471222,0.30784404277801514,0.2969658672809601,0.24227765202522278,0.2755334973335266,0.15583860874176025,0.3009975850582123,0.14628292620182037
",",0.3087472915649414,0.3261716365814209,0.34503069519996643,0.3120402991771698,0.4933079481124878,0.24605005979537964,0.21812842786312103,0.31091248989105225
whose,0.22831642627716064,0.16025879979133606,0.21891677379608154,0.1992245465517044,0.38253846764564514,0.15886566042900085,0.08053374290466309,0.16990536451339722
experiments,0.3106561601161957,0.4582168161869049,0.2777732312679291,0.292418897151947,0.21008943021297455,0.13753286004066467,0.23196229338645935,0.14564716815948486
with,0.2464839518070221,0.16483689844608307,0.2691199779510498,0.3047430217266083,0.4223487675189972,0.15935911238193512,0.200663760304451,0.2433311939239502
oxygen,0.16781960427761078,0.1690787971019745,0.17370176315307617,0.21276918053627014,0.20428593456745148,0.16630679368972778,0.9999999403953552,0.16786395013332367
helped,0.1926339715719223,0.25657591223716736,0.31449973583221436,0.31194666028022766,0.3108886480331421,0.08913163095712662,0.1333310455083847,0.16572049260139465
to,0.455847829580307,0.2350033074617386,0.3792489171028137,0.40058770775794983,0.535392165184021,0.2865414023399353,0.24193501472473145,0.29463258385658264
discredit,0.28840696811676025,0.292060524225235,0.12318720668554306,0.1603391170501709,0.10648166388273239,0.12043657153844833,0.09086780995130539,0.17301133275032043
the,0.42745697498321533,0.232890784740448,0.49448907375335693,0.3718377649784088,1.0,0.2835540175437927,0.20428593456745148,0.22068053483963013
then-popular,0.28662383556365967,0.18410201370716095,0.4319777190685272,0.4012138843536377,0.38880079984664917,0.25490283966064453,0.24331872165203094,0.16480836272239685
phlogiston,0.23945403099060059,0.4517457187175751,0.29854923486709595,0.25160032510757446,0.2649608850479126,0.21065308153629303,0.3255440294742584,0.230838805437088
theory,0.297923743724823,0.365244060754776,0.19488763809204102,0.17207488417625427,0.2277156263589859,0.19258517026901245,0.15834374725818634,0.1387292891740799
of,0.33290785551071167,0.19495204091072083,0.3536086082458496,0.3075267970561981,0.733189046382904,0.23799116909503937,0.16848602890968323,0.1826142966747284
combustion,0.2678600549697876,0.16755901277065277,0.22765444219112396,0.3667973577976227,0.2447446882724762,0.21568229794502258,0.4784593880176544,0.2177530825138092
and,0.31309178471565247,0.27986058592796326,0.3167642652988434,0.3150506615638733,0.5171257257461548,0.20273149013519287,0.22261030972003937,0.20544172823429108
corrosion,0.18943355977535248,0.12888766825199127,0.12404671311378479,0.3397700786590576,0.22564229369163513,0.15083730220794678,0.5040480494499207,0.1496727615594864
.,0.3567904531955719,0.2649393081665039,0.4345304071903229,0.33111312985420227,0.5934505462646484,0.13155406713485718,0.2554275095462799,0.4130953550338745
