,what,is,evidence,chloroplasts,descended,from,endosymbiotic,cyanobacteria,?
the,0.42745697498321533,0.5823672413825989,0.25031140446662903,0.23062430322170258,0.2755005657672882,0.40150508284568787,0.26425984501838684,0.23102529346942902,0.22068053483963013
fact,0.4454877972602844,0.3122292160987854,0.4200107753276825,0.26347941160202026,0.24941201508045197,0.2518829107284546,0.30159005522727966,0.3119681179523468,0.2798655927181244
that,0.6297725439071655,0.3995479643344879,0.4093261957168579,0.3177454173564911,0.28680068254470825,0.3477667272090912,0.3497803807258606,0.3360731899738312,0.32716336846351624
chloroplasts,0.2524593770503998,0.22550933063030243,0.3081165850162506,0.9999999403953552,0.2466644048690796,0.21740731596946716,0.7235426306724548,0.7097216844558716,0.13049766421318054
are,0.29724663496017456,0.5330929756164551,0.251604288816452,0.3103833794593811,0.22590206563472748,0.2674213647842407,0.37515169382095337,0.3043197691440582,0.24591213464736938
surrounded,0.1255793571472168,0.2808510363101959,0.11077763140201569,0.27182865142822266,0.2033223807811737,0.23942621052265167,0.24246640503406525,0.2007884979248047,-0.022393958643078804
by,0.2455483376979828,0.3899846076965332,0.1430790275335312,0.1951972097158432,0.20631873607635498,0.3373257517814636,0.190927192568779,0.18822550773620605,0.17966607213020325
a,0.3320399522781372,0.658733606338501,0.25465038418769836,0.24622295796871185,0.16815616190433502,0.322764128446579,0.26963379979133606,0.22426342964172363,0.23916715383529663
double,0.16209302842617035,0.1794169545173645,0.13751351833343506,0.26824215054512024,0.026712972670793533,0.1464868187904358,0.20860400795936584,0.22062642872333527,0.10017921775579453
membrane,0.1647152304649353,0.21774554252624512,0.21366539597511292,0.6331068873405457,0.1812639683485031,0.18636633455753326,0.5809681415557861,0.4898357689380646,0.18908235430717468
is,0.28837618231773376,1.0,0.18936312198638916,0.22550933063030243,0.145067498087883,0.27355384826660156,0.26133403182029724,0.1751376986503601,0.22961433231830597
often,0.3849453330039978,0.3856629431247711,0.20150776207447052,0.29698729515075684,0.1583830863237381,0.2687282860279083,0.2615705728530884,0.26885509490966797,0.23748154938220978
cited,0.28291428089141846,0.2182154804468155,0.36680954694747925,0.2267763465642929,0.23150968551635742,0.18102017045021057,0.3167746067047119,0.2763482928276062,0.32995760440826416
as,0.31749409437179565,0.43216490745544434,0.20767489075660706,0.22593098878860474,0.23507565259933472,0.3251767158508301,0.28499242663383484,0.2561360001564026,0.27043893933296204
evidence,0.33425694704055786,0.18936312198638916,1.0,0.3081165850162506,0.24825385212898254,0.1667044460773468,0.35990723967552185,0.3610708713531494,0.24151235818862915
that,0.6297725439071655,0.3995479643344879,0.4093261957168579,0.3177454173564911,0.28680068254470825,0.3477667272090912,0.3497803807258606,0.3360731899738312,0.32716336846351624
they,0.4431931674480438,0.330102801322937,0.26702895760536194,0.37369829416275024,0.2892281711101532,0.3321932256221771,0.3658313751220703,0.38900527358055115,0.2753053903579712
are,0.29724663496017456,0.5330929756164551,0.251604288816452,0.3103833794593811,0.22590206563472748,0.2674213647842407,0.37515169382095337,0.3043197691440582,0.24591213464736938
the,0.42745697498321533,0.5823672413825989,0.25031140446662903,0.23062430322170258,0.2755005657672882,0.40150508284568787,0.26425984501838684,0.23102529346942902,0.22068053483963013
descendants,0.16656607389450073,0.18299053609371185,0.23824311792850494,0.27588462829589844,0.8186445236206055,0.20136423408985138,0.30407997965812683,0.30295994877815247,0.10391592979431152
of,0.33290785551071167,0.4854315221309662,0.2471507489681244,0.23179760575294495,0.3058927059173584,0.4249346852302551,0.26091787219047546,0.2361430525779724,0.1826142966747284
endosymbiotic,0.23980018496513367,0.26133403182029724,0.35990723967552185,0.7235426306724548,0.2934849262237549,0.22577053308486938,1.0,0.7475513815879822,0.1917099803686142
cyanobacteria,0.2489619106054306,0.1751376986503601,0.3610708713531494,0.7097216844558716,0.2818308472633362,0.23681266605854034,0.7475513815879822,1.0,0.2106003761291504
.,0.3567904531955719,0.4569662809371948,0.24887976050376892,0.23868323862552643,0.16979701817035675,0.41536515951156616,0.2542100250720978,0.2696060240268707,0.4130953550338745
