,what,is,the,repulsive,force,of,close,range,atom,interaction,?
the,0.42745697498321533,0.5823672413825989,1.0,0.1449195146560669,0.2800885736942291,0.733189046382904,0.2625353932380676,0.2311336100101471,0.16955220699310303,0.25638753175735474,0.22068053483963013
normal,0.32813265919685364,0.2731911838054657,0.25256022810935974,0.30380523204803467,0.2240327000617981,0.2300747036933899,0.22210809588432312,0.24304746091365814,0.20281781256198883,0.30391499400138855,0.19617988169193268
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.3015018403530121,1.0000001192092896,0.27094775438308716,0.1664862036705017,0.11276637762784958,0.24163596332073212,0.2830207049846649,0.1650998443365097
is,0.28837618231773376,1.0,0.5823672413825989,0.1550752967596054,0.22036980092525482,0.4854315221309662,0.26769399642944336,0.2467041313648224,0.22703278064727783,0.22846779227256775,0.22961433231830597
due,0.15204688906669617,0.24065633118152618,0.22577603161334991,0.1892310231924057,0.19519060850143433,0.2533245384693146,0.5162313580513,0.20174722373485565,0.11692536622285843,0.2573757469654083,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.17808018624782562,0.24496492743492126,0.41548454761505127,0.33802270889282227,0.2767433524131775,0.20469748973846436,0.2510894238948822,0.29463258385658264
repulsive,0.28991881012916565,0.1550752967596054,0.1449195146560669,1.0000001192092896,0.3015018403530121,0.1518399566411972,0.10347795486450195,0.09191985428333282,0.17441284656524658,0.3966861665248871,0.2089495211839676
forces,0.2112482488155365,0.18792390823364258,0.3134811818599701,0.2619323432445526,0.6498695015907288,0.3090144991874695,0.1521161049604416,0.1328544318675995,0.19615371525287628,0.2883143126964569,0.16984491050243378
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.1518399566411972,0.27094775438308716,1.0,0.24178770184516907,0.234999418258667,0.1713578850030899,0.25039973855018616,0.1826142966747284
interaction,0.32782623171806335,0.22846779227256775,0.25638753175735474,0.3966861665248871,0.2830207049846649,0.25039973855018616,0.20897194743156433,0.2198019176721573,0.3395320475101471,1.0,0.21947647631168365
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.15600153803825378,0.21681782603263855,0.3737983703613281,0.2965586483478546,0.2154918611049652,0.22775284945964813,0.36949124932289124,0.12887074053287506
atoms,0.2511626183986664,0.21835871040821075,0.1997222602367401,0.24568478763103485,0.25373491644859314,0.20656298100948334,0.13150733709335327,0.21043908596038818,0.8116645216941833,0.34650880098342896,0.17423541843891144
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.0980352982878685,0.17609930038452148,0.42558613419532776,0.27377960085868835,0.2296077460050583,0.19798895716667175,0.21218658983707428,0.21978627145290375
close,0.23424343764781952,0.26769399642944336,0.2625353932380676,0.10347795486450195,0.1664862036705017,0.24178770184516907,1.0000001192092896,0.21594558656215668,0.0951918289065361,0.20897194743156433,0.1908312737941742
contact,0.2598453462123871,0.20335300266742706,0.2564430236816406,0.2569738030433655,0.25180792808532715,0.18051373958587646,0.23243992030620575,0.16614925861358643,0.1221223771572113,0.37527790665626526,0.2231319397687912
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.18300119042396545,0.2783275842666626,0.5352458953857422,0.2501809298992157,0.25816646218299866,0.2793872654438019,0.23142296075820923,0.4130953550338745
