,to,ensure,safety,of,future,space,missions,oxygen,was,used,at,_____,of,the,normal,pressure,.
the,0.535392165184021,0.2955571711063385,0.25972458720207214,0.733189046382904,0.2337762415409088,0.24495907127857208,0.26288601756095886,0.20428593456745148,0.48711544275283813,0.3718377649784088,0.457212895154953,0.22620578110218048,0.733189046382904,1.0,0.25256022810935974,0.28285476565361023,0.5934505462646484
fire,0.2020210474729538,0.14096641540527344,0.31988316774368286,0.20259131491184235,0.12086721509695053,0.06896968930959702,0.2108749896287918,0.2802748680114746,0.24801933765411377,0.17371316254138947,0.18688800930976868,0.12389806658029556,0.20259131491184235,0.2911929488182068,0.1165974959731102,0.16840921342372894,0.2511917054653168
that,0.5436353087425232,0.4195809066295624,0.2526600956916809,0.41498205065727234,0.31481194496154785,0.2368461638689041,0.20651644468307495,0.2717767655849457,0.33670201897621155,0.37621384859085083,0.3183255195617676,0.31140652298927307,0.41498205065727234,0.5473989248275757,0.3682374656200409,0.30906030535697937,0.4460422694683075
killed,0.1682852953672409,0.09786967188119888,0.24534082412719727,0.2589981257915497,0.11411762237548828,0.09859337657690048,0.24764910340309143,0.10416927933692932,0.31229376792907715,0.20670586824417114,0.24826225638389587,0.09826130419969559,0.2589981257915497,0.23115427792072296,0.09585794806480408,0.15657344460487366,0.2666846215724945
the,0.535392165184021,0.2955571711063385,0.25972458720207214,0.733189046382904,0.2337762415409088,0.24495907127857208,0.26288601756095886,0.20428593456745148,0.48711544275283813,0.3718377649784088,0.457212895154953,0.22620578110218048,0.733189046382904,1.0,0.25256022810935974,0.28285476565361023,0.5934505462646484
apollo,0.23190522193908691,0.1777581125497818,0.23332646489143372,0.1786269098520279,0.18601560592651367,0.3076713979244232,0.3512161374092102,0.21209172904491425,0.2306441366672516,0.1717020720243454,0.16096128523349762,0.16477598249912262,0.1786269098520279,0.2169172167778015,0.13251546025276184,0.1889750063419342,0.22384987771511078
1,-0.2769182622432709,-0.3360363245010376,-0.16401523351669312,-0.09473495930433273,-0.2762194871902466,-0.10953526198863983,-0.15143035352230072,-0.10033886879682541,-0.2275921255350113,-0.26740407943725586,-0.032697923481464386,-0.3093993663787842,-0.09473495930433273,-0.1554475575685501,-0.1973515897989273,-0.08136403560638428,-0.15870751440525055
crew,0.21819929778575897,0.19873881340026855,0.32145562767982483,0.20427432656288147,0.18138878047466278,0.23906563222408295,0.34387633204460144,0.19165752828121185,0.20329242944717407,0.12160628288984299,0.13483546674251556,0.1438623070716858,0.20427432656288147,0.25329816341400146,0.1173587366938591,0.14852258563041687,0.24222686886787415
in,0.45010748505592346,0.15814054012298584,0.182920441031456,0.5696388483047485,0.15554536879062653,0.17648501694202423,0.2733149528503418,0.1672476977109909,0.45514053106307983,0.3090210556983948,0.4374977946281433,0.16471323370933533,0.5696388483047485,0.6662389636039734,0.25896620750427246,0.16116683185100555,0.5591574311256409
a,0.45503583550453186,0.19042222201824188,0.18158207833766937,0.5052502155303955,0.16284751892089844,0.20296213030815125,0.2459585964679718,0.21662019193172455,0.4508470594882965,0.3864384889602661,0.3095070421695709,0.2585112154483795,0.5052502155303955,0.5829201340675354,0.3121098279953003,0.23459996283054352,0.50484299659729
launch,0.25276505947113037,0.20305167138576508,0.20332035422325134,0.20697395503520966,0.17136821150779724,0.4064224660396576,0.4326665997505188,0.186820387840271,0.22367219626903534,0.23218075931072235,0.2472303807735443,0.1653960943222046,0.20697395503520966,0.2628649175167084,0.17071722447872162,0.19867444038391113,0.20541822910308838
pad,0.2413782924413681,0.23000213503837585,0.21892842650413513,0.10887265205383301,0.12436998635530472,0.25855323672294617,0.15034395456314087,0.22191818058490753,0.11828822642564774,0.17141495645046234,0.13771556317806244,0.21197658777236938,0.10887265205383301,0.1643100380897522,0.22192485630512238,0.2789040803909302,0.19340813159942627
test,0.23725658655166626,0.23155882954597473,0.20919133722782135,0.164191335439682,0.1860545575618744,0.22115054726600647,0.23600627481937408,0.18279343843460083,0.13941486179828644,0.2261657863855362,0.1877070963382721,0.2697122097015381,0.164191335439682,0.19235259294509888,0.2577463984489441,0.20671513676643372,0.23588362336158752
spread,0.2748686373233795,0.16628941893577576,0.12823185324668884,0.2895529866218567,0.09808939695358276,0.11866935342550278,0.1603163778781891,0.20364288985729218,0.16506560146808624,0.273860365152359,0.12960411608219147,0.15637044608592987,0.2895529866218567,0.28994160890579224,0.20627819001674652,0.22657370567321777,0.2690257728099823
