,how,was,the,dutch,name,for,the,rhine,originally,spelled,?
[,0.03530287742614746,0.03263993561267853,0.07130392640829086,0.050225235521793365,-0.009093504399061203,0.10575617104768753,0.07130392640829086,0.12319914251565933,0.0758056640625,-0.13907204568386078,0.011015460826456547
note,0.2170887291431427,0.13123425841331482,0.255229115486145,0.13931359350681305,0.16368374228477478,0.2322545051574707,0.255229115486145,0.09906937181949615,0.09786882996559143,0.12367583811283112,0.2754004895687103
3,0.12271612882614136,0.06170157715678215,0.06283142417669296,0.037554334849119186,0.09124153107404709,0.04892069101333618,0.06283142417669296,0.07943644374608994,0.09370919317007065,0.049099475145339966,0.005975271109491587
],0.06738625466823578,0.0001094614781322889,-0.04779602214694023,0.03369564190506935,-0.02270379662513733,-0.023346275091171265,-0.04779602214694023,-0.016111083328723907,0.03938108682632446,-0.006648199167102575,-0.0022520492784678936
the,0.33890387415885925,0.48711544275283813,1.0,0.1705695390701294,0.3171212375164032,0.4739971458911896,1.0,0.30735138058662415,0.36820849776268005,0.2190741002559662,0.22068053483963013
spelling,0.21556147933006287,0.1815265715122223,0.23768942058086395,0.02624371647834778,0.36612948775291443,0.244150772690773,0.23768942058086395,0.06541361659765244,0.21336974203586578,0.6321458220481873,0.23016591370105743
with,0.3525622487068176,0.27411898970603943,0.4223487675189972,0.11541517823934555,0.17897967994213104,0.39140474796295166,0.4223487675189972,0.18184249103069305,0.2333029955625534,0.12235809862613678,0.2433311939239502
rh-,0.045769691467285156,0.08605456352233887,0.1918235421180725,0.067459337413311,0.14333531260490417,0.060909122228622437,0.1918235421180725,0.5471546053886414,0.17032404243946075,0.1453341692686081,0.05741379037499428
in,0.2601168751716614,0.45514053106307983,0.6662389636039734,0.17559829354286194,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.24648422002792358,0.3191297650337219,0.22594206035137177,0.20430970191955566
english,0.18202126026153564,0.23000946640968323,0.23982001841068268,0.36605870723724365,0.27055349946022034,0.2594873905181885,0.23982001841068268,0.16806156933307648,0.18813301622867584,0.22519013285636902,0.23251567780971527
rhine,0.09285783767700195,0.18681856989860535,0.30735138058662415,0.31772172451019287,0.12217257916927338,0.1584572196006775,0.30735138058662415,1.0,0.1350255012512207,0.10277950018644333,0.13754533231258392
as,0.33782753348350525,0.3677520453929901,0.48381632566452026,0.20572681725025177,0.2851914167404175,0.44774648547172546,0.48381632566452026,0.18380387127399445,0.31636640429496765,0.21691174805164337,0.27043893933296204
well,0.410734087228775,0.3130364418029785,0.42630070447921753,0.13525113463401794,0.17632928490638733,0.46352139115333557,0.42630070447921753,0.19703485071659088,0.3224502205848694,0.13143882155418396,0.24815571308135986
as,0.33782753348350525,0.3677520453929901,0.48381632566452026,0.20572681725025177,0.2851914167404175,0.44774648547172546,0.48381632566452026,0.18380387127399445,0.31636640429496765,0.21691174805164337,0.27043893933296204
in,0.2601168751716614,0.45514053106307983,0.6662389636039734,0.17559829354286194,0.2459065467119217,0.4322226941585541,0.6662389636039734,0.24648422002792358,0.3191297650337219,0.22594206035137177,0.20430970191955566
german,0.17899556457996368,0.26016926765441895,0.256483793258667,0.4774591326713562,0.14387056231498718,0.17564234137535095,0.256483793258667,0.49305370450019836,0.22858084738254547,0.09039568156003952,0.13978645205497742
rhein,0.12832403182983398,0.18841268122196198,0.2614726424217224,0.29174676537513733,0.1940275877714157,0.14696891605854034,0.2614726424217224,0.6607828736305237,0.14494912326335907,0.15006130933761597,0.2176131010055542
and,0.33647966384887695,0.3740963041782379,0.5171257257461548,0.26873692870140076,0.21235932409763336,0.5064792633056641,0.5171257257461548,0.22029656171798706,0.2772660255432129,0.06133298948407173,0.20544172823429108
french,0.14884154498577118,0.2523815333843231,0.2555147111415863,0.45117130875587463,0.18910211324691772,0.17280760407447815,0.2555147111415863,0.2762029767036438,0.21156787872314453,0.10296118259429932,0.1386883556842804
rhin,0.13117152452468872,0.20400811731815338,0.34496304392814636,0.22330136597156525,0.2083192765712738,0.15634116530418396,0.34496304392814636,0.7436901330947876,0.19489096105098724,0.17432275414466858,0.16895344853401184
is,0.22544461488723755,0.5810302495956421,0.5823672413825989,0.12900666892528534,0.3359788954257965,0.43268078565597534,0.5823672413825989,0.15617261826992035,0.33268988132476807,0.2914513647556305,0.22961433231830597
due,0.19407185912132263,0.29011407494544983,0.22577603161334991,0.0936284065246582,0.12454797327518463,0.2363993525505066,0.22577603161334991,0.12440928816795349,0.15341241657733917,0.06871481239795685,0.10954997688531876
to,0.44169697165489197,0.3636345863342285,0.535392165184021,0.1383991241455078,0.27806994318962097,0.4451248347759247,0.535392165184021,0.1736302673816681,0.30024412274360657,0.14041216671466827,0.29463258385658264
the,0.33890387415885925,0.48711544275283813,1.0,0.1705695390701294,0.3171212375164032,0.4739971458911896,1.0,0.30735138058662415,0.36820849776268005,0.2190741002559662,0.22068053483963013
influence,0.2964659333229065,0.25968071818351746,0.3039984107017517,0.1816798746585846,0.17677690088748932,0.22429068386554718,0.3039984107017517,0.1753658801317215,0.15255719423294067,0.08332274854183197,0.14200882613658905
of,0.2480744868516922,0.4069072902202606,0.733189046382904,0.14408773183822632,0.24075818061828613,0.4185989499092102,0.733189046382904,0.2548927664756775,0.21349623799324036,0.1807994693517685,0.1826142966747284
greek,0.09807577729225159,0.191945880651474,0.23564283549785614,0.22982235252857208,0.26015329360961914,0.16074992716312408,0.23564283549785614,0.14018139243125916,0.22216910123825073,0.22783219814300537,0.11180876195430756
orthography,0.17789463698863983,0.17611739039421082,0.20881643891334534,0.19528542459011078,0.1915094405412674,0.21221208572387695,0.20881643891334534,0.08382247388362885,0.17137949168682098,0.3080773949623108,0.21616482734680176
",",0.22659391164779663,0.45456063747406006,0.4933079481124878,0.23674406111240387,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.167837992310524,0.2660219669342041,0.246441051363945,0.31091248989105225
