,what,did,higher,material,living,standards,lead,to,for,most,of,human,history,?
for,0.3017193675041199,0.318512886762619,0.2346303015947342,0.26816701889038086,0.15849082171916962,0.3276354670524597,0.29822173714637756,0.4451248347759247,0.9999999403953552,0.3906237483024597,0.4185989499092102,0.2089424729347229,0.25068506598472595,0.264628142118454
most,0.3219912350177765,0.2822507321834564,0.2594144344329834,0.18791352212429047,0.23991571366786957,0.24598059058189392,0.2786058783531189,0.321603000164032,0.3906237483024597,1.0,0.4178851246833801,0.2181398868560791,0.3151164948940277,0.2107497900724411
of,0.33290785551071167,0.2513895630836487,0.3096220791339874,0.27520954608917236,0.3499443829059601,0.18525971472263336,0.19835850596427917,0.41548454761505127,0.4185989499092102,0.4178851246833801,1.0,0.3083189129829407,0.31014925241470337,0.1826142966747284
human,0.24243313074111938,0.15822581946849823,0.2481614351272583,0.20591577887535095,0.2522306442260742,0.19183064997196198,0.17310744524002075,0.25612473487854004,0.2089424729347229,0.2181398868560791,0.3083189129829407,1.0,0.22688591480255127,0.19748784601688385
history,0.28630873560905457,0.24950987100601196,0.06768586486577988,0.21193869411945343,0.14245329797267914,0.14412423968315125,0.19466572999954224,0.24226762354373932,0.25068506598472595,0.3151164948940277,0.31014925241470337,0.22688591480255127,1.0000001192092896,0.2501974403858185
higher,0.2538340389728546,0.17969463765621185,1.0,0.25754672288894653,0.14201907813549042,0.3091225326061249,0.10778646916151047,0.3279348313808441,0.2346303015947342,0.2594144344329834,0.3096220791339874,0.2481614351272583,0.06768586486577988,0.15679465234279633
material,0.2591213285923004,0.18850626051425934,0.25754672288894653,1.0000001192092896,0.1804458200931549,0.28971925377845764,0.1980527937412262,0.29219651222229004,0.26816701889038086,0.18791352212429047,0.27520954608917236,0.20591577887535095,0.21193869411945343,0.18117131292819977
living,0.22245320677757263,0.16898059844970703,0.14201907813549042,0.1804458200931549,1.0000001192092896,0.1460520476102829,0.08053822070360184,0.2300543487071991,0.15849082171916962,0.23991571366786957,0.3499443829059601,0.2522306442260742,0.14245329797267914,0.18362653255462646
standards,0.2855789363384247,0.23814676702022552,0.3091225326061249,0.28971925377845764,0.1460520476102829,1.0000001192092896,0.12485331296920776,0.2603518068790436,0.3276354670524597,0.24598059058189392,0.18525971472263336,0.19183064997196198,0.14412423968315125,0.2011813372373581
–,0.13008765876293182,0.2259434312582016,0.11569942533969879,0.11859091371297836,0.13700275123119354,0.0888972282409668,0.25613439083099365,0.19410304725170135,0.2408909648656845,0.19322049617767334,0.2799985408782959,0.14709657430648804,0.21804949641227722,0.2714554965496063
