,in,between,french,and,british,",",what,groups,controlled,land,?
in,1.0,0.41100412607192993,0.22093388438224792,0.4954058527946472,0.23084034025669098,0.5201468467712402,0.30808621644973755,0.22620722651481628,0.2597082853317261,0.22871792316436768,0.20430970191955566
between,0.41100412607192993,0.9999999403953552,0.14514502882957458,0.40645647048950195,0.19908767938613892,0.27714940905570984,0.2462156116962433,0.28073278069496155,0.2168191522359848,0.1967475861310959,0.12887074053287506
the,0.6662389636039734,0.39067012071609497,0.2555147111415863,0.5171257257461548,0.28973397612571716,0.4933079481124878,0.42745697498321533,0.27790749073028564,0.3320712745189667,0.28587454557418823,0.22068053483963013
french,0.22093388438224792,0.14514502882957458,1.0000001192092896,0.32751965522766113,0.43574923276901245,0.28806620836257935,0.17393042147159576,0.06620807200670242,0.13083897531032562,0.10772325843572617,0.1386883556842804
and,0.4954058527946472,0.40645647048950195,0.32751965522766113,1.0,0.325880765914917,0.6633074283599854,0.31309178471565247,0.29783302545547485,0.2891365587711334,0.2874513864517212,0.20544172823429108
the,0.6662389636039734,0.39067012071609497,0.2555147111415863,0.5171257257461548,0.28973397612571716,0.4933079481124878,0.42745697498321533,0.27790749073028564,0.3320712745189667,0.28587454557418823,0.22068053483963013
british,0.23084034025669098,0.19908767938613892,0.43574923276901245,0.325880765914917,1.0,0.25734075903892517,0.19255435466766357,0.1951437145471573,0.159380242228508,0.16519016027450562,0.09711728990077972
",",0.5201468467712402,0.27714940905570984,0.28806620836257935,0.6633074283599854,0.25734075903892517,1.0000001192092896,0.3087472915649414,0.2671695053577423,0.20886175334453583,0.22220008075237274,0.31091248989105225
large,0.2841601073741913,0.23426178097724915,0.16551434993743896,0.3404269814491272,0.1757306456565857,0.2263888567686081,0.2017821967601776,0.26900720596313477,0.2739046812057495,0.2869904935359955,0.1355665624141693
areas,0.33029478788375854,0.2632233500480652,0.04838576912879944,0.40107932686805725,0.1250888854265213,0.2789289653301239,0.23739881813526154,0.3445764482021332,0.3639763593673706,0.3068152666091919,0.1273590475320816
were,0.3815755248069763,0.27047741413116455,0.22002479434013367,0.42175528407096863,0.27742838859558105,0.36755475401878357,0.22298263013362885,0.3214126229286194,0.2554461658000946,0.27322420477867126,0.17890112102031708
dominated,0.27524110674858093,0.2317197024822235,0.15815381705760956,0.324688583612442,0.1826394498348236,0.27990370988845825,0.145044207572937,0.2559974789619446,0.3523584008216858,0.23133014142513275,0.04715321213006973
by,0.370934396982193,0.28115302324295044,0.23343317210674286,0.4289871156215668,0.26707085967063904,0.3680937886238098,0.2455483376979828,0.22748439013957977,0.2983320951461792,0.2530721127986908,0.17966607213020325
native,0.24378694593906403,0.13956290483474731,0.23252961039543152,0.26731550693511963,0.17760911583900452,0.30732813477516174,0.19453833997249603,0.29736924171447754,0.13658316433429718,0.23886488378047943,0.1457047313451767
tribes,0.19281157851219177,0.25537770986557007,0.09831087291240692,0.2041163444519043,0.14417211711406708,0.19590550661087036,0.1860227882862091,0.3656805455684662,0.23298557102680206,0.2702972888946533,0.08824794739484787
.,0.5591574311256409,0.30295518040657043,0.2480926215648651,0.588965117931366,0.23159366846084595,0.6812511086463928,0.3567904531955719,0.2408272922039032,0.21779799461364746,0.259204238653183,0.4130953550338745
