,who,conceptualized,the,piston,?
it,0.2868398427963257,0.24127811193466187,0.6251175999641418,0.24133098125457764,0.25732165575027466
was,0.3318818509578705,0.28938689827919006,0.48711544275283813,0.17682252824306488,0.18412111699581146
an,0.2848317325115204,0.33293986320495605,0.4207492768764496,0.22473524510860443,0.19793890416622162
improvement,0.1683027446269989,0.29423221945762634,0.2938322424888611,0.2880587577819824,0.29089033603668213
over,0.316001296043396,0.1546471267938614,0.39856547117233276,0.1491132378578186,0.25742942094802856
savery,0.25712963938713074,0.28948652744293213,0.3600737154483795,0.18667393922805786,0.2684193551540375
's,0.05599616840481758,-0.036390408873558044,-0.01540423184633255,0.010737897828221321,-0.023395681753754616
steam,0.1786653995513916,0.16331584751605988,0.23105813562870026,0.3801049590110779,0.113324373960495
pump,0.13666686415672302,0.15012288093566895,0.21872945129871368,0.4923129379749298,0.24768272042274475
",",0.3365725874900818,0.27526888251304626,0.4933079481124878,0.20961400866508484,0.31091248989105225
using,0.24094825983047485,0.31730812788009644,0.28364112973213196,0.24853047728538513,0.2804589569568634
a,0.36608949303627014,0.3298039436340332,0.5829201340675354,0.2788951098918915,0.23916715383529663
piston,0.16520991921424866,0.19701167941093445,0.22337445616722107,1.0000001192092896,0.17207856476306915
as,0.3923053741455078,0.27031102776527405,0.48381632566452026,0.20259137451648712,0.27043893933296204
proposed,0.19203443825244904,0.3424353301525116,0.23840250074863434,0.14185725152492523,0.24553193151950836
by,0.39727845788002014,0.3145090639591217,0.4408751428127289,0.2196308970451355,0.17966607213020325
papin,0.2654305100440979,0.23744450509548187,0.21658572554588318,0.22571007907390594,0.1713949739933014
.,0.3541337847709656,0.23320487141609192,0.5934505462646484,0.2638915777206421,0.4130953550338745
