,what,commonality,do,alternate,machine,models,",",such,as,random,access,machines,",",share,with,turing,machines,?
what,0.9999998807907104,0.2748173475265503,0.4609605669975281,0.20848442614078522,0.23075932264328003,0.22431734204292297,0.3087472915649414,0.23989605903625488,0.31749409437179565,0.26424384117126465,0.2685140371322632,0.25512105226516724,0.3087472915649414,0.2764742076396942,0.2464839518070221,0.2806522250175476,0.25512105226516724,0.5051238536834717
all,0.41981086134910583,0.25036880373954773,0.38664430379867554,0.2749958038330078,0.17549708485603333,0.16883178055286407,0.425624817609787,0.38558536767959595,0.33195313811302185,0.3062746226787567,0.28458017110824585,0.2615434229373932,0.425624817609787,0.34956079721450806,0.3876307010650635,0.20868009328842163,0.2615434229373932,0.29575422406196594
these,0.4164220690727234,0.35196250677108765,0.4402875602245331,0.25935041904449463,0.21263210475444794,0.3048318326473236,0.37613096833229065,0.5146667957305908,0.3802948296070099,0.2549363970756531,0.2797788083553314,0.36252352595329285,0.37613096833229065,0.3329145312309265,0.37595367431640625,0.2506507635116577,0.36252352595329285,0.2571668326854706
models,0.22431734204292297,0.3674183487892151,0.16100770235061646,0.1186070442199707,0.2325996309518814,1.0,0.2193855494260788,0.23390823602676392,0.21937300264835358,0.18364903330802917,0.18690429627895355,0.3086799085140228,0.2193855494260788,0.16614305973052979,0.1653987169265747,0.2393689900636673,0.3086799085140228,0.16656708717346191
have,0.39808809757232666,0.3199503421783447,0.49831271171569824,0.2703772485256195,0.13901613652706146,0.210476815700531,0.3541618287563324,0.42997312545776367,0.37788212299346924,0.26134297251701355,0.3309611678123474,0.24137671291828156,0.3541618287563324,0.3486129939556122,0.48046383261680603,0.15623171627521515,0.24137671291828156,0.32991164922714233
in,0.30808621644973755,0.2300000935792923,0.23402775824069977,0.1614992916584015,0.16716814041137695,0.2122073471546173,0.5201468467712402,0.2704046070575714,0.3887844979763031,0.1812991201877594,0.1658785492181778,0.2209317833185196,0.5201468467712402,0.21491074562072754,0.4080928862094879,0.26572495698928833,0.2209317833185196,0.20430970191955566
common,0.19989867508411407,0.48301467299461365,0.23032814264297485,0.17804309725761414,0.12325631827116013,0.18034343421459198,0.2497023195028305,0.3595517575740814,0.2140667736530304,0.18369129300117493,0.19499586522579193,0.22072038054466248,0.2497023195028305,0.34946876764297485,0.26739466190338135,0.13244786858558655,0.22072038054466248,0.20434872806072235
is,0.28837618231773376,0.2583007514476776,0.30895981192588806,0.21719586849212646,0.18938691914081573,0.17595206201076508,0.4691906273365021,0.23545363545417786,0.43216490745544434,0.20071181654930115,0.21022571623325348,0.1786929816007614,0.4691906273365021,0.2221677452325821,0.3250955045223236,0.18364353477954865,0.1786929816007614,0.22961433231830597
that,0.6297725439071655,0.28764376044273376,0.44533252716064453,0.277133584022522,0.2756650745868683,0.19949059188365936,0.4137537479400635,0.4479874074459076,0.4735107421875,0.2910965383052826,0.26300469040870667,0.3558396100997925,0.4137537479400635,0.3158736228942871,0.4154358208179474,0.3136295974254608,0.3558396100997925,0.32716336846351624
the,0.42745697498321533,0.2653605043888092,0.30239659547805786,0.2994726002216339,0.22788187861442566,0.16804195940494537,0.4933079481124878,0.3575236201286316,0.48381632566452026,0.20769751071929932,0.22827552258968353,0.22618883848190308,0.4933079481124878,0.249948650598526,0.4223487675189972,0.2644472122192383,0.22618883848190308,0.22068053483963013
machines,0.25512105226516724,0.16076232492923737,0.2669021785259247,0.13715900480747223,0.7925316095352173,0.3086799085140228,0.25857728719711304,0.3609457314014435,0.2588748633861542,0.2194235920906067,0.2326238602399826,1.0,0.25857728719711304,0.195705384016037,0.1873357594013214,0.4426501989364624,1.0,0.17646311223506927
operate,0.23576132953166962,0.24356986582279205,0.30079570412635803,0.2071080058813095,0.28532764315605164,0.27152490615844727,0.23721125721931458,0.23454931378364563,0.25375181436538696,0.17831291258335114,0.40070870518684387,0.3863057494163513,0.23721125721931458,0.25095388293266296,0.21878010034561157,0.21577505767345428,0.3863057494163513,0.16664595901966095
deterministically,0.42706987261772156,0.36433646082878113,0.2932930588722229,0.265478253364563,0.25582507252693176,0.27329981327056885,0.24966293573379517,0.2893465459346771,0.37735414505004883,0.3525967597961426,0.26079848408699036,0.30780190229415894,0.24966293573379517,0.2672722339630127,0.3079412281513214,0.38243478536605835,0.30780190229415894,0.25232836604118347
.,0.3567904531955719,0.23572388291358948,0.3613996207714081,0.2329867035150528,0.20798662304878235,0.23375163972377777,0.6812511086463928,0.3298943042755127,0.515582263469696,0.18718098104000092,0.25392448902130127,0.22565115988254547,0.6812511086463928,0.24849677085876465,0.4446153938770294,0.19254323840141296,0.22565115988254547,0.4130953550338745
