,what,is,an,important,personal,decision,for,civil,disobedients,?
an,0.2821882665157318,0.4654068350791931,1.0,0.2662794589996338,0.1726144701242447,0.1716570407152176,0.3236706852912903,0.15803322196006775,0.24769273400306702,0.19793890416622162
important,0.31164905428886414,0.350485235452652,0.2662794589996338,1.0000001192092896,0.22501656413078308,0.21150699257850647,0.3458578288555145,0.23883502185344696,0.24549579620361328,0.17812499403953552
decision,0.32053670287132263,0.2514069080352783,0.1716570407152176,0.21150699257850647,0.2521207332611084,1.0,0.2598762512207031,0.25410568714141846,0.32543909549713135,0.2796577215194702
for,0.3017193675041199,0.43268078565597534,0.3236706852912903,0.3458578288555145,0.2968088388442993,0.2598762512207031,0.9999999403953552,0.1685788929462433,0.25390735268592834,0.264628142118454
civil,0.15091551840305328,0.16941262781620026,0.15803322196006775,0.23883502185344696,0.24138697981834412,0.25410568714141846,0.1685788929462433,1.0,0.5063242316246033,0.1494513899087906
disobedients,0.3241478204727173,0.22793690860271454,0.24769273400306702,0.24549579620361328,0.27478793263435364,0.32543909549713135,0.25390735268592834,0.5063242316246033,0.9999998807907104,0.18925230205059052
is,0.28837618231773376,1.0,0.4654068350791931,0.350485235452652,0.11115145683288574,0.2514069080352783,0.43268078565597534,0.16941262781620026,0.22793690860271454,0.22961433231830597
whether,0.5516265630722046,0.30252501368522644,0.25622886419296265,0.21615049242973328,0.2486659288406372,0.382889062166214,0.3131474554538727,0.11485010385513306,0.27160343527793884,0.3150278329849243
or,0.33867141604423523,0.41870999336242676,0.3096676766872406,0.28368809819221497,0.27301251888275146,0.2005528211593628,0.4111599624156952,0.12588919699192047,0.3376913368701935,0.32389625906944275
not,0.5449194312095642,0.3776007890701294,0.3722182512283325,0.2887309193611145,0.23031871020793915,0.31816837191581726,0.39280617237091064,0.18740713596343994,0.4254472851753235,0.41942933201789856
to,0.455847829580307,0.42745086550712585,0.3138085603713989,0.30913278460502625,0.2410377562046051,0.35372841358184814,0.4451248347759247,0.2019355595111847,0.34340938925743103,0.29463258385658264
plead,0.2829829156398773,0.13676275312900543,0.21203260123729706,0.09012904763221741,0.2507018744945526,0.4148638844490051,0.24000298976898193,0.2441694140434265,0.462433785200119,0.23760166764259338
guilty,0.2844175100326538,0.17789146304130554,0.1951056718826294,0.06487664580345154,0.15982428193092346,0.3100331127643585,0.2485964149236679,0.17440195381641388,0.3953520655632019,0.17103199660778046
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.33938494324684143,0.2188207507133484,0.3103445768356323,0.4726039469242096,0.2541380822658539,0.2842986583709717,0.4130953550338745
