,what,party,forms,the,scottish,parliament,?
the,0.42745697498321533,0.23779736459255219,0.2950737178325653,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
party,0.2398013323545456,0.9999999403953552,0.15192988514900208,0.23779736459255219,0.23822161555290222,0.47402411699295044,0.19031576812267303
",",0.3087472915649414,0.21963930130004883,0.2570338547229767,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
or,0.33867141604423523,0.16072599589824677,0.36597785353660583,0.4174870550632477,0.18833233416080475,0.209258034825325,0.32389625906944275
parties,0.21181418001651764,0.6788443326950073,0.2337876707315445,0.2535073459148407,0.21848653256893158,0.41198354959487915,0.16949701309204102
",",0.3087472915649414,0.21963930130004883,0.2570338547229767,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
that,0.6297725439071655,0.1938212364912033,0.31152746081352234,0.5473989248275757,0.1999964714050293,0.17629513144493103,0.32716336846351624
hold,0.20790280401706696,0.1568097472190857,0.18261092901229858,0.3067915439605713,0.16906212270259857,0.18153996765613556,0.18586084246635437
the,0.42745697498321533,0.23779736459255219,0.2950737178325653,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
majority,0.25967487692832947,0.3784164488315582,0.18227098882198334,0.28757327795028687,0.24249789118766785,0.3722864091396332,0.220119908452034
of,0.33290785551071167,0.23662418127059937,0.33835989236831665,0.733189046382904,0.1698460429906845,0.2885259687900543,0.1826142966747284
seats,0.12961463630199432,0.3720419406890869,0.17786981165409088,0.25880131125450134,0.2863382399082184,0.45153921842575073,0.10678832978010178
in,0.30808621644973755,0.20446790754795074,0.26377561688423157,0.6662389636039734,0.16512006521224976,0.2323146015405655,0.20430970191955566
the,0.42745697498321533,0.23779736459255219,0.2950737178325653,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
parliament,0.21650300920009613,0.47402411699295044,0.1429356187582016,0.26521381735801697,0.3418616056442261,1.0,0.1586504578590393
forms,0.16334041953086853,0.15192988514900208,1.0,0.2950737178325653,0.07016333937644958,0.1429356187582016,0.1196754202246666
the,0.42745697498321533,0.23779736459255219,0.2950737178325653,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
scottish,0.13777151703834534,0.23822161555290222,0.07016333937644958,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.06442669779062271
government,0.28074538707733154,0.41171973943710327,0.1954672932624817,0.31798112392425537,0.17260609567165375,0.5386218428611755,0.18851417303085327
.,0.3567904531955719,0.23341989517211914,0.24305115640163422,0.5934505462646484,0.20125295221805573,0.23747818171977997,0.4130953550338745
