,what,is,another,name,for,any,given,measure,of,input,associated,with,a,problem,?
a,0.3320399522781372,0.658733606338501,0.6191956996917725,0.26421117782592773,0.44038116931915283,0.45031747221946716,0.3335871398448944,0.2953258156776428,0.5052502155303955,0.20009170472621918,0.22056666016578674,0.3783375024795532,1.0,0.2605542540550232,0.23916715383529663
computational,0.29464593529701233,0.2470806986093521,0.2651927173137665,0.03495553508400917,0.3473072648048401,0.3368047773838043,0.26848718523979187,0.369442880153656,0.2832651138305664,0.3868173062801361,0.21529307961463928,0.17668114602565765,0.29858994483947754,0.41473615169525146,0.21617397665977478
problem,0.42183366417884827,0.23238427937030792,0.279262900352478,0.11332309991121292,0.2661307752132416,0.40565699338912964,0.2566664516925812,0.26293298602104187,0.20464475452899933,0.2680823802947998,0.18436965346336365,0.2717578709125519,0.2605542540550232,1.0,0.3762950301170349
can,0.34502777457237244,0.44256699085235596,0.3920363187789917,0.1310177892446518,0.35690054297447205,0.5010802745819092,0.20761778950691223,0.3774224519729614,0.2603091299533844,0.306935578584671,0.23185616731643677,0.3572797477245331,0.3915780484676361,0.36370179057121277,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.42243969440460205,0.19639723002910614,0.3801851272583008,0.5107080936431885,0.2965909540653229,0.3525533676147461,0.33904364705085754,0.28701671957969666,0.23537606000900269,0.36101722717285156,0.39883795380592346,0.347878634929657,0.3324260413646698
viewed,0.2938295900821686,0.24106821417808533,0.22183749079704285,0.11380311846733093,0.17434611916542053,0.24805045127868652,0.23368670046329498,0.2602837383747101,0.27454227209091187,0.16599547863006592,0.2880949378013611,0.1906999796628952,0.22637882828712463,0.14222609996795654,0.19983090460300446
as,0.31749409437179565,0.43216490745544434,0.3282026946544647,0.2851914167404175,0.44774648547172546,0.35746830701828003,0.32487574219703674,0.25576961040496826,0.3886612355709076,0.2063598930835724,0.2813912034034729,0.40387406945228577,0.39550232887268066,0.2586832344532013,0.27043893933296204
an,0.2821882665157318,0.4654068350791931,0.47266486287117004,0.22033736109733582,0.3236706852912903,0.3555181324481964,0.25091034173965454,0.21397879719734192,0.32280945777893066,0.20624928176403046,0.2386062890291214,0.2730048894882202,0.44552403688430786,0.21292734146118164,0.19793890416622162
infinite,0.22463853657245636,0.179602712392807,0.26307666301727295,0.08041362464427948,0.13207125663757324,0.29710763692855835,0.24667422473430634,0.23692649602890015,0.2322143018245697,0.30835607647895813,0.06302818655967712,0.1887262761592865,0.233000710606575,0.2902694642543793,0.21672561764717102
collection,0.215459942817688,0.21135231852531433,0.18268080055713654,0.12131127715110779,0.22454001009464264,0.22302426397800446,0.1906823068857193,0.2126055657863617,0.2915455996990204,0.16962191462516785,0.16929921507835388,0.16466663777828217,0.24716788530349731,0.16029979288578033,0.20069393515586853
