,which,region,is,represented,the,most,in,the,textiles,collection,?
the,0.6521818041801453,0.35020557045936584,0.5823672413825989,0.3256146013736725,1.0,0.47635307908058167,0.6662389636039734,1.0,0.26939645409584045,0.25281965732574463,0.22068053483963013
collection,0.30199134349823,0.12412706762552261,0.21135231852531433,0.1968824714422226,0.25281965732574463,0.24239301681518555,0.23004686832427979,0.25281965732574463,0.24477313458919525,0.9999998807907104,0.20069393515586853
of,0.5011631846427917,0.2852717339992523,0.4854315221309662,0.3891753554344177,0.733189046382904,0.4178851246833801,0.5696388483047485,0.733189046382904,0.2785990536212921,0.2915455996990204,0.1826142966747284
textiles,0.3003382682800293,0.21874573826789856,0.20650741457939148,0.09233018755912781,0.26939645409584045,0.2966313660144806,0.2786903977394104,0.26939645409584045,1.0000001192092896,0.24477313458919525,0.06833552569150925
consists,0.34384235739707947,0.17768073081970215,0.43405216932296753,0.32676464319229126,0.3362659811973572,0.25590211153030396,0.3011418879032135,0.3362659811973572,0.16980984807014465,0.24928395450115204,-0.004641483072191477
of,0.5011631846427917,0.2852717339992523,0.4854315221309662,0.3891753554344177,0.733189046382904,0.4178851246833801,0.5696388483047485,0.733189046382904,0.2785990536212921,0.2915455996990204,0.1826142966747284
more,0.4639437198638916,0.1528862714767456,0.2946030795574188,0.17140258848667145,0.39758381247520447,0.5395737886428833,0.32563260197639465,0.39758381247520447,0.24397003650665283,0.19879412651062012,0.27894994616508484
than,0.3974681496620178,0.1909969598054886,0.2839990258216858,0.21716128289699554,0.3227543234825134,0.42108985781669617,0.3270052373409271,0.3227543234825134,0.17750367522239685,0.1624053567647934,0.24917294085025787
"53,000",-0.07530780136585236,-0.05807866156101227,-0.001089979661628604,0.057724203914403915,0.08064324408769608,0.054874710738658905,-0.008206934668123722,0.08064324408769608,0.004871918819844723,-0.03755509853363037,0.0022034253925085068
examples,0.38271647691726685,0.17801040410995483,0.29282552003860474,0.22836671769618988,0.30092597007751465,0.412721186876297,0.25567561388015747,0.30092597007751465,0.3253297507762909,0.25887519121170044,0.19976599514484406
",",0.3658004403114319,0.2119160145521164,0.4691906273365021,0.3088570833206177,0.4933079481124878,0.3636029064655304,0.5201468467712402,0.4933079481124878,0.26673367619514465,0.2277175933122635,0.31091248989105225
