,which,party,is,strongest,in,victoria,'s,northwestern,and,eastern,regions,?
the,0.6521818041801453,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2204313427209854,-0.01540423184633255,0.3394802510738373,0.5171257257461548,0.3928247392177582,0.36158451437950134,0.22068053483963013
centre-left,0.3152077794075012,0.28173550963401794,0.2861068546772003,0.22104215621948242,0.26826927065849304,0.19491161406040192,-0.009773187339305878,0.3793359696865082,0.31726136803627014,0.33999741077423096,0.36016297340393066,0.17718930542469025
australian,0.21131077408790588,0.17602510750293732,0.1682673692703247,0.11699087172746658,0.1796053647994995,0.42558738589286804,0.06212134659290314,0.07374487072229385,0.2769584059715271,0.13538843393325806,0.11595364660024643,0.10848008096218109
labor,0.2094700187444687,0.4551692605018616,0.13817991316318512,0.19637265801429749,0.1950610727071762,0.25174814462661743,0.11055656522512436,0.14425082504749298,0.22200584411621094,0.2155178189277649,0.1007985845208168,0.19386747479438782
party,0.1907830387353897,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.17201867699623108,0.02531869150698185,0.1995031237602234,0.20650289952754974,0.21730193495750427,0.18522629141807556,0.19031576812267303
(,0.2589828372001648,0.1743791401386261,0.35393038392066956,0.1914849430322647,0.3087427020072937,0.14948904514312744,0.0012731997994706035,0.19362348318099976,0.4862271547317505,0.2276826947927475,0.18475522100925446,0.40561532974243164
alp,0.0894605964422226,0.4457589089870453,0.08307643979787827,0.21343658864498138,0.15557928383350372,0.23351803421974182,0.011002324521541595,0.1618427187204361,0.13836926221847534,0.16973914206027985,0.13422076404094696,0.08871067315340042
),0.2758678197860718,0.2047169804573059,0.37732169032096863,0.19373393058776855,0.3326910734176636,0.17964273691177368,0.021107977256178856,0.18887129426002502,0.4961937665939331,0.1984046846628189,0.16148073971271515,0.42300865054130554
",",0.3658004403114319,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.2279360294342041,-0.0016132977325469255,0.2781062126159668,0.6633074283599854,0.3081906735897064,0.26776278018951416,0.31091248989105225
the,0.6521818041801453,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2204313427209854,-0.01540423184633255,0.3394802510738373,0.5171257257461548,0.3928247392177582,0.36158451437950134,0.22068053483963013
centre-right,0.325449138879776,0.2659144997596741,0.3292903006076813,0.23828116059303284,0.27665138244628906,0.2271948605775833,-0.02044862136244774,0.35634613037109375,0.372193843126297,0.33624163269996643,0.2700227200984955,0.2603051960468292
liberal,0.1358126997947693,0.5935624241828918,0.12604059278964996,0.21783804893493652,0.1513776332139969,0.18198129534721375,-0.03906174749135971,0.2531253397464752,0.2580231726169586,0.25490280985832214,0.13050411641597748,0.13139645755290985
party,0.1907830387353897,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.17201867699623108,0.02531869150698185,0.1995031237602234,0.20650289952754974,0.21730193495750427,0.18522629141807556,0.19031576812267303
of,0.5011631846427917,0.23662418127059937,0.4854315221309662,0.27349069714546204,0.5696388483047485,0.2505437433719635,-0.03817026689648628,0.3201638162136078,0.5116966962814331,0.33281487226486206,0.3694140613079071,0.1826142966747284
australia,0.24094043672084808,0.25781694054603577,0.1734699010848999,0.1913454234600067,0.2697675824165344,0.5548879504203796,0.040361400693655014,0.2070176601409912,0.2804507613182068,0.24088524281978607,0.24811206758022308,0.15702682733535767
",",0.3658004403114319,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.2279360294342041,-0.0016132977325469255,0.2781062126159668,0.6633074283599854,0.3081906735897064,0.26776278018951416,0.31091248989105225
