,how,many,companies,were,part,of,the,quickbooks,contest,?
death,0.19782234728336334,0.16836200654506683,0.10525895655155182,0.20675764977931976,0.1022755354642868,0.23778599500656128,0.21438048779964447,0.14537860453128815,0.10098680108785629,0.21149799227714539
wish,0.36380818486213684,0.2624437212944031,0.15456454455852509,0.13090971112251282,0.1340218186378479,0.1985756903886795,0.25205081701278687,0.3157390058040619,0.16978420317173004,0.35864195227622986
coffee,0.21143853664398193,0.23135876655578613,0.242925226688385,0.14466789364814758,0.13089552521705627,0.18473310768604279,0.20381483435630798,0.28235989809036255,0.17565950751304626,0.1695348024368286
beat,0.18019166588783264,0.1250762939453125,0.12058653682470322,0.2284281998872757,0.126426562666893,0.15358257293701172,0.24951939284801483,0.19913339614868164,0.190370112657547,0.19461682438850403
out,0.3963836133480072,0.3329806923866272,0.14368686079978943,0.3354760408401489,0.2758302688598633,0.34176841378211975,0.39404502511024475,0.3309803009033203,0.2215014100074768,0.22020699083805084
nine,0.1557593196630478,0.3415135145187378,0.09152930974960327,0.32226380705833435,0.1528082937002182,0.29486238956451416,0.33253175020217896,0.23593886196613312,0.10921628773212433,0.13964155316352844
other,0.3591516315937042,0.6324484348297119,0.33634573221206665,0.4041554927825928,0.25873222947120667,0.38583824038505554,0.44152235984802246,0.4078807234764099,0.14300529658794403,0.24682199954986572
contenders,0.19218730926513672,0.1986568421125412,0.21971435844898224,0.2906312048435211,0.20271669328212738,0.2717917263507843,0.372027724981308,0.2878923714160919,0.43781691789627075,0.16972263157367706
from,0.22939439117908478,0.33099696040153503,0.1855001598596573,0.29991888999938965,0.31841611862182617,0.4249346852302551,0.40150508284568787,0.22450585663318634,0.18954509496688843,0.19969791173934937
across,0.2515762746334076,0.34783458709716797,0.2330513745546341,0.22917133569717407,0.3027701675891876,0.2936134934425354,0.3816230297088623,0.2896416485309601,0.16916631162166595,0.17034576833248138
the,0.33890387415885925,0.4335206151008606,0.26917189359664917,0.3906462490558624,0.527681291103363,0.733189046382904,1.0,0.31170687079429626,0.25173527002334595,0.22068053483963013
united,0.19034643471240997,0.2670816481113434,0.27231094241142273,0.21928317844867706,0.221727192401886,0.3187655806541443,0.34367692470550537,0.20534010231494904,0.16946671903133392,0.17266890406608582
states,0.20841296017169952,0.29976361989974976,0.28260865807533264,0.19797217845916748,0.23451218008995056,0.30884552001953125,0.3463578522205353,0.2546442449092865,0.18480738997459412,0.16272737085819244
for,0.3308170735836029,0.40972793102264404,0.2787042260169983,0.33592689037323,0.250704288482666,0.4185989499092102,0.4739971458911896,0.33893218636512756,0.2538227438926697,0.264628142118454
the,0.33890387415885925,0.4335206151008606,0.26917189359664917,0.3906462490558624,0.527681291103363,0.733189046382904,1.0,0.31170687079429626,0.25173527002334595,0.22068053483963013
free,0.18879985809326172,0.21327099204063416,0.17910993099212646,0.16792064905166626,0.18005555868148804,0.2430545836687088,0.22231732308864594,0.3495238125324249,0.15106257796287537,0.1278279572725296
advertisement,0.21138110756874084,0.2585774064064026,0.3237040936946869,0.1659756749868393,0.1111263856291771,0.07516897469758987,0.19069752097129822,0.36312341690063477,0.27975961565971375,0.2126694768667221
.,0.3287222981452942,0.3974229395389557,0.20400826632976532,0.3378238379955292,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.35264942049980164,0.20280277729034424,0.4130953550338745
