,when,did,abc,begin,broadcasting,the,miss,america,pageant,?
abc,0.13294127583503723,0.13353709876537323,1.0000001192092896,0.12703588604927063,0.45669859647750854,0.2068762183189392,0.19186492264270782,0.24776576459407806,0.25870591402053833,0.19065172970294952
has,0.34538573026657104,0.2124989777803421,0.23067910969257355,0.12440475076436996,0.18879416584968567,0.4177538752555847,0.15638139843940735,0.1613205373287201,0.1801464557647705,0.15994466841220856
also,0.5475645065307617,0.39334940910339355,0.2030053734779358,0.18551087379455566,0.26302027702331543,0.6021018624305725,0.1653832048177719,0.2576046884059906,0.22142453491687775,0.21848613023757935
aired,0.19673508405685425,0.1378907710313797,0.5025622844696045,0.17337551712989807,0.4566720128059387,0.2525516450405121,0.17047132551670074,0.26273128390312195,0.2638021409511566,0.22283338010311127
the,0.5091903209686279,0.34736719727516174,0.2068762183189392,0.34293439984321594,0.29916465282440186,1.0,0.15176062285900116,0.37090015411376953,0.21963746845722198,0.22068053483963013
miss,0.12470243126153946,0.15212443470954895,0.19186492264270782,0.13973437249660492,0.1482423096895218,0.15176062285900116,1.0000001192092896,0.27834784984588623,0.5824183821678162,0.21144157648086548
america,0.21924224495887756,0.2212076634168625,0.24776576459407806,0.14420448243618011,0.2642395496368408,0.37090015411376953,0.27834784984588623,0.9999998807907104,0.29138845205307007,0.19333907961845398
pageant,0.18371212482452393,0.1419786512851715,0.25870591402053833,0.15481489896774292,0.3251001834869385,0.21963746845722198,0.5824183821678162,0.29138845205307007,0.9999999403953552,0.24307981133460999
from,0.405669629573822,0.20248863101005554,0.12159302085638046,0.2698803246021271,0.19793446362018585,0.40150508284568787,0.07609915733337402,0.1968681514263153,0.11020585149526596,0.19969791173934937
1954,0.06652027368545532,-0.09083899110555649,0.01942364126443863,0.052131783217191696,0.10302868485450745,0.05573182925581932,0.01432157214730978,0.03340722993016243,0.06944293528795242,-0.028866952285170555
to,0.5423505902290344,0.4452643394470215,0.1762417107820511,0.33302420377731323,0.23729375004768372,0.535392165184021,0.13942687213420868,0.2636699676513672,0.20586813986301422,0.29463258385658264
1956,0.13699780404567719,0.15216471254825592,0.10422859340906143,0.1454133540391922,0.056856345385313034,0.0733926072716713,0.08006269484758377,0.08455885201692581,0.03673398494720459,0.12402702867984772
",",0.36674630641937256,0.3015086054801941,0.2097204476594925,0.27304404973983765,0.2411014288663864,0.4933079481124878,0.25264912843704224,0.253568559885025,0.2723195254802704,0.31091248989105225
1997,-0.03653284162282944,0.106808140873909,-0.12138903141021729,-0.027602408081293106,-0.05726022273302078,0.017451778054237366,-0.13935458660125732,-0.11297012120485306,-0.14685048162937164,0.03663474693894386
to,0.5423505902290344,0.4452643394470215,0.1762417107820511,0.33302420377731323,0.23729375004768372,0.535392165184021,0.13942687213420868,0.2636699676513672,0.20586813986301422,0.29463258385658264
