,what,was,the,2007,episode,that,featured,the,master,'s,return,?
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,-0.09951762855052948,0.2060331553220749,0.3429057002067566,0.1664227843284607,0.39779382944107056,0.1239854246377945,-0.005975736305117607,0.22474905848503113,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,1.0,-0.23657195270061493,0.25342556834220886,0.5473989248275757,0.28660184144973755,1.0,0.19769129157066345,-0.01540423184633255,0.2543797492980957,0.22068053483963013
series,0.17328087985515594,0.2261398285627365,0.31376904249191284,-0.07742132991552353,0.4687832295894623,0.24595457315444946,0.3595673739910126,0.31376904249191284,0.203135147690773,0.0006390819908119738,0.20526577532291412,0.1709602326154709
revival,0.17674529552459717,0.3003317415714264,0.30452626943588257,-0.1785738617181778,0.21943247318267822,0.21155864000320435,0.2906420826911926,0.30452626943588257,0.16481631994247437,0.015062598511576653,0.1703309714794159,0.09967152029275894
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,-0.2201838344335556,0.19184806942939758,0.435920387506485,0.2658694386482239,0.6662389636039734,0.17882928252220154,-0.037580832839012146,0.1852470338344574,0.20430970191955566
2005,0.0704459398984909,0.11356307566165924,0.037273142486810684,-0.14732033014297485,0.04103194922208786,0.016139673069119453,0.05634915828704834,0.037273142486810684,0.014813080430030823,0.047040801495313644,0.03578948602080345,0.10709824413061142
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,-0.24049624800682068,0.18198037147521973,0.4137537479400635,0.27189624309539795,0.4933079481124878,0.21451058983802795,-0.0016132977325469255,0.20895273983478546,0.31091248989105225
derek,0.13647711277008057,0.251494824886322,0.1775311827659607,-0.01978847198188305,0.2506523132324219,0.1586390882730484,0.2566206455230713,0.1775311827659607,0.15282148122787476,0.008773253299295902,0.11276526004076004,0.056949060410261154
jacobi,0.15880191326141357,0.20160512626171112,0.2218666821718216,-0.24017466604709625,0.2398889809846878,0.1767948567867279,0.14199785888195038,0.2218666821718216,0.2416120171546936,-0.009341617114841938,0.23651570081710815,0.05481216311454773
provided,0.2206064909696579,0.2404836267232895,0.304488867521286,-0.15147237479686737,0.12455285340547562,0.3600626289844513,0.2563086450099945,0.304488867521286,0.18493418395519257,0.01738812029361725,0.2540012300014496,0.16893617808818817
the,0.42745697498321533,0.48711544275283813,1.0,-0.23657195270061493,0.25342556834220886,0.5473989248275757,0.28660184144973755,1.0,0.19769129157066345,-0.01540423184633255,0.2543797492980957,0.22068053483963013
character,0.22097444534301758,0.22428974509239197,0.25992274284362793,-0.015368936583399773,0.3903994858264923,0.26184219121932983,0.3065023422241211,0.25992274284362793,0.2804926633834839,0.029638448730111122,0.1863745003938675,0.18056271970272064
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.07339024543762207,-0.057472456246614456,0.04397977516055107,-0.01579626277089119,-0.01540423184633255,0.025999123230576515,0.9999999403953552,0.03277071565389633,-0.023395681753754616
re-introduction,0.22026772797107697,0.2975548505783081,0.33405065536499023,-0.1185368001461029,0.2565957307815552,0.2869426906108856,0.29710614681243896,0.33405065536499023,0.17310740053653717,-0.01648171991109848,0.20656448602676392,0.2511938810348511
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,-0.2201838344335556,0.19184806942939758,0.435920387506485,0.2658694386482239,0.6662389636039734,0.17882928252220154,-0.037580832839012146,0.1852470338344574,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,-0.23657195270061493,0.25342556834220886,0.5473989248275757,0.28660184144973755,1.0,0.19769129157066345,-0.01540423184633255,0.2543797492980957,0.22068053483963013
2007,-0.15549811720848083,-0.29168957471847534,-0.23657195270061493,1.0,-0.05869944766163826,-0.18422195315361023,-0.03780210390686989,-0.23657195270061493,-0.11676833033561707,-0.07339024543762207,-0.022419530898332596,-0.1664225310087204
episode,0.1919318586587906,0.1706574261188507,0.25342556834220886,-0.05869944766163826,1.0,0.27973806858062744,0.4002206325531006,0.25342556834220886,0.15201608836650848,-0.057472456246614456,0.224790558218956,0.23978739976882935
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.041756823658943176,-0.035673100501298904,0.05285148695111275,-0.16002269089221954,0.029072100296616554,-0.03940471634268761,-0.03416389226913452,0.09640642255544662,0.0685480609536171
utopia,0.31352078914642334,0.15785826742649078,0.24882972240447998,-0.10377481579780579,0.21968315541744232,0.2794588804244995,0.23910456895828247,0.24882972240447998,0.2386064976453781,0.08846530318260193,0.08622325211763382,0.12065300345420837
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.002170342719182372,-0.014759616926312447,0.007880004122853279,0.06251674890518188,0.041273195296525955,0.01090412586927414,-0.04859459400177002,-0.07134611904621124,0.018684765323996544
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,-0.216732457280159,0.23102888464927673,0.4460422694683075,0.27540460228919983,0.5934505462646484,0.16851933300495148,-0.003708066651597619,0.25014954805374146,0.4130953550338745
