,where,did,tesla,go,upon,leaving,gospic,?
in,0.5344807505607605,0.2593238651752472,0.17097744345664978,0.22233200073242188,0.20347267389297485,0.2724153697490692,0.32087790966033936,0.20430970191955566
january,0.1682938039302826,0.23508968949317932,0.13615937530994415,0.183195561170578,0.12084589153528214,0.19154097139835358,0.19506438076496124,0.28608936071395874
1880,0.15604427456855774,0.04650172218680382,-0.14001339673995972,0.2280416339635849,0.15201422572135925,0.12517184019088745,0.033276744186878204,0.07120001316070557
",",0.3149496018886566,0.3015086054801941,0.20599327981472015,0.3043581247329712,0.27234330773353577,0.2453688681125641,0.33991190791130066,0.31091248989105225
two,0.32765963673591614,0.2755576968193054,0.18793831765651703,0.2189813256263733,0.16424116492271423,0.27679261565208435,0.2640407681465149,0.19645625352859497
of,0.38066378235816956,0.2513895630836487,0.18837453424930573,0.21881330013275146,0.3224298357963562,0.28646329045295715,0.3498324453830719,0.1826142966747284
tesla,0.12761090695858002,0.09757418930530548,0.9999999403953552,0.07152407616376877,0.14583629369735718,0.04802955687046051,0.18164220452308655,0.10250775516033173
's,0.0007701900321990252,0.05069678649306297,0.06449045985937119,0.018760163336992264,-0.10459267348051071,-0.012301049195230007,-0.05140997841954231,-0.023395681753754616
uncles,0.2238987386226654,0.29665905237197876,0.13091199100017548,0.17783263325691223,0.2548401355743408,0.214424729347229,0.25108984112739563,0.18293200433254242
put,0.3393777310848236,0.32128840684890747,0.1382041871547699,0.4239062964916229,0.18820762634277344,0.28257086873054504,0.19373781979084015,0.2993032932281494
together,0.27854785323143005,0.16267985105514526,0.2026316523551941,0.11697784811258316,0.14815965294837952,0.20779936015605927,0.22078442573547363,0.1690303236246109
enough,0.30738386511802673,0.3866412043571472,0.16320869326591492,0.2778293192386627,0.1502496898174286,0.26440027356147766,0.2234283834695816,0.3526461720466614
money,0.2442285567522049,0.3498571217060089,0.1636640876531601,0.2563246488571167,0.07016734033823013,0.185762420296669,0.18071681261062622,0.2069680541753769
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.384844571352005,0.2616317570209503,0.3466693162918091,0.2824999690055847,0.29463258385658264
help,0.28302276134490967,0.35430794954299927,0.11845614016056061,0.3266462981700897,0.16431163251399994,0.23635227978229523,0.19915468990802765,0.28403452038764954
him,0.2840098738670349,0.4290095865726471,0.14682093262672424,0.3602939546108246,0.23791632056236267,0.30785366892814636,0.21798714995384216,0.23943768441677094
leave,0.3375209867954254,0.3432042896747589,-0.009146789088845253,0.42683571577072144,0.21186040341854095,0.6512781977653503,0.18160906434059143,0.23890845477581024
gospić,0.29223451018333435,0.174786776304245,0.28443384170532227,0.1938944309949875,0.15019270777702332,0.18215210735797882,0.74547278881073,0.15864557027816772
for,0.38599511981010437,0.318512886762619,0.13983871042728424,0.2588973641395569,0.2275998592376709,0.3002602458000183,0.20998062193393707,0.264628142118454
prague,0.2216290831565857,0.17591868340969086,0.3433745205402374,0.10257835686206818,0.14833290874958038,0.16433241963386536,0.22498126327991486,0.13819217681884766
where,0.9999999403953552,0.24159270524978638,0.12761090695858002,0.3893263638019562,0.16702485084533691,0.3416367769241333,0.2795642912387848,0.24793872237205505
he,0.3705328106880188,0.3292143940925598,0.12373391538858414,0.25558793544769287,0.19902880489826202,0.26907607913017273,0.2612963914871216,0.2089974731206894
was,0.20731619000434875,0.41399896144866943,0.16455206274986267,0.16801296174526215,0.21848641335964203,0.23990856111049652,0.2748537063598633,0.18412111699581146
to,0.47735077142715454,0.4452643394470215,0.17548894882202148,0.384844571352005,0.2616317570209503,0.3466693162918091,0.2824999690055847,0.29463258385658264
study,0.26273444294929504,0.21215762197971344,0.1303233504295349,0.2508937418460846,0.11661820858716965,0.0941038727760315,0.2604812979698181,0.15902167558670044
.,0.41390106081962585,0.35288307070732117,0.17949827015399933,0.3313661813735962,0.18839296698570251,0.286700040102005,0.26635870337486267,0.4130953550338745
