,how,much,land,do,farms,use,in,victoria,?
as,0.33782753348350525,0.36514025926589966,0.17944268882274628,0.38329678773880005,0.1835879683494568,0.3453201949596405,0.3887844979763031,0.19515912234783173,0.27043893933296204
of,0.2480744868516922,0.2671096920967102,0.3057127296924591,0.26150479912757874,0.24435943365097046,0.2750902473926544,0.5696388483047485,0.2505437433719635,0.1826142966747284
2004,-0.2460784614086151,-0.3014388084411621,-0.26497021317481995,-0.16404575109481812,-0.2542215883731842,-0.2734981179237366,-0.20274123549461365,-0.11233994364738464,-0.15923042595386505
",",0.22659391164779663,0.36182254552841187,0.22220008075237274,0.3283645510673523,0.30625617504119873,0.3276674151420593,0.5201468467712402,0.2279360294342041,0.31091248989105225
an,0.2520636022090912,0.2866077721118927,0.15302860736846924,0.25865980982780457,0.1437668353319168,0.24603988230228424,0.2605783939361572,0.12262015789747238,0.19793890416622162
estimated,0.21406520903110504,0.2984779179096222,0.22557777166366577,0.1889839917421341,0.27518394589424133,0.15307031571865082,0.2508986294269562,0.10902495682239532,0.18149758875370026
"32,463",-0.015053444541990757,0.005730540957301855,0.12137069553136826,-0.012001615017652512,0.06618427485227585,0.013607500120997429,0.15412643551826477,0.24569089710712433,0.1195249855518341
farms,0.17464080452919006,0.2566746771335602,0.4436738193035126,0.24476614594459534,1.0000001192092896,0.2618716061115265,0.2572706937789917,0.24758359789848328,0.15135478973388672
occupied,0.07381170988082886,0.11540737748146057,0.28851157426834106,0.14743633568286896,0.19753623008728027,0.1336894929409027,0.30793076753616333,0.198147714138031,0.11679025739431381
around,0.3297552764415741,0.3766762316226959,0.21853692829608917,0.2358471304178238,0.3081986606121063,0.29157665371894836,0.41294145584106445,0.1346043348312378,0.14729668200016022
"136,000",-0.09060920029878616,-0.14475910365581512,-0.07277755439281464,-0.012488809414207935,-0.02992972731590271,-0.0659344494342804,0.10574959218502045,0.11634153127670288,0.0358923114836216
square,0.0836852416396141,0.13774795830249786,0.24449965357780457,0.1229860708117485,0.20973005890846252,0.16448910534381866,0.2193731665611267,0.18856817483901978,0.1201515942811966
kilometres,0.09419187903404236,0.17430636286735535,0.3212915062904358,0.13213765621185303,0.28043487668037415,0.17754068970680237,0.2448771744966507,0.24979925155639648,0.09185487031936646
(,0.1676948219537735,0.21788647770881653,0.15432493388652802,0.24216170608997345,0.1031276062130928,0.2174896001815796,0.3087427020072937,0.14948904514312744,0.40561532974243164
"52,500",-0.0424431748688221,-0.05648812651634216,-0.05901593342423439,-0.006310036405920982,-0.019077233970165253,-0.027092430740594864,-0.02198290452361107,0.13555313646793365,0.10707497596740723
sq,0.10252654552459717,0.1848931461572647,0.3237040042877197,0.10893673449754715,0.19751618802547455,0.14149437844753265,0.12230025231838226,0.16450224816799164,0.18786261975765228
mi,0.0639447420835495,0.13306929171085358,0.22375547885894775,0.13917705416679382,0.14537565410137177,0.17338083684444427,0.09127891063690186,0.19378556311130524,0.10264865309000015
),0.17939934134483337,0.22256317734718323,0.1601184755563736,0.24460165202617645,0.10738220810890198,0.23662498593330383,0.3326910734176636,0.17964273691177368,0.42300865054130554
of,0.2480744868516922,0.2671096920967102,0.3057127296924591,0.26150479912757874,0.24435943365097046,0.2750902473926544,0.5696388483047485,0.2505437433719635,0.1826142966747284
victorian,0.18811437487602234,0.1766148805618286,0.1878734827041626,0.127951517701149,0.2405366748571396,0.2265542596578598,0.21606117486953735,0.7158359885215759,0.07572567462921143
land,0.1918935328722,0.21933935582637787,1.0000001192092896,0.12396524101495743,0.4436738193035126,0.18931825459003448,0.22871792316436768,0.15418829023838043,0.1432059109210968
.,0.3287222981452942,0.3374604284763336,0.259204238653183,0.3613996207714081,0.2633402347564697,0.3711656630039215,0.5591574311256409,0.23069117963314056,0.4130953550338745
