,what,is,one,factor,that,increases,the,importance,of,the,pharmacy,performing,at,a,high,level,?
several,0.22446060180664062,0.20361857116222382,0.42709240317344666,0.12176010012626648,0.40009650588035583,0.1825217455625534,0.40559855103492737,0.258175790309906,0.3271615505218506,0.40559855103492737,0.07619483768939972,0.23335379362106323,0.24749618768692017,0.29992109537124634,0.1774003803730011,0.15733039379119873,0.15595775842666626
hospital,0.14525319635868073,0.18439237773418427,0.15617427229881287,0.17643506824970245,0.13895630836486816,0.08464746922254562,0.17318566143512726,0.1460864394903183,0.20629651844501495,0.17318566143512726,0.3409312069416046,0.2294095754623413,0.3072851002216339,0.23276586830615997,0.17277441918849945,0.059253253042697906,0.12508831918239594
pharmacies,0.21324466168880463,0.1820123940706253,0.24642056226730347,0.24405232071876526,0.26742786169052124,0.2358817160129547,0.2211688905954361,0.1817983239889145,0.21392159163951874,0.2211688905954361,0.8590922355651855,0.1490672081708908,0.18611262738704681,0.22259847819805145,0.1847190111875534,0.19121840596199036,0.13542459905147552
have,0.39808809757232666,0.3613572418689728,0.4507926106452942,0.2509629428386688,0.6182622313499451,0.36174991726875305,0.40389683842658997,0.3312404751777649,0.3802283704280853,0.40389683842658997,0.172938272356987,0.16698920726776123,0.29004791378974915,0.338716596364975,0.2406233847141266,0.28482067584991455,0.32991164922714233
decided,0.3212295174598694,0.20875857770442963,0.27310609817504883,0.1588393598794937,0.3535293638706207,0.17012803256511688,0.37534645199775696,0.14317567646503448,0.2880963683128357,0.37534645199775696,0.16226212680339813,0.1876508891582489,0.26237747073173523,0.320636510848999,0.17247378826141357,0.17557492852210999,0.258772075176239
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.23708900809288025,0.5436353087425232,0.3197665810585022,0.535392165184021,0.2892669439315796,0.41548454761505127,0.535392165184021,0.1824638396501541,0.2703278064727783,0.36524343490600586,0.45503583550453186,0.28947713971138,0.2976585030555725,0.29463258385658264
outsource,0.18466657400131226,0.2716609239578247,0.22575905919075012,0.30495840311050415,0.23716184496879578,0.2906563878059387,0.2838514745235443,0.32191717624664307,0.2533669173717499,0.2838514745235443,0.2483440637588501,0.13445715606212616,0.22135703265666962,0.20493514835834503,0.13114969432353973,0.17530158162117004,0.16280385851860046
high,0.20466077327728271,0.2383800595998764,0.2040119767189026,0.26146888732910156,0.2400680035352707,0.361802875995636,0.28034812211990356,0.21702536940574646,0.2803038954734802,0.28034812211990356,0.17734605073928833,0.18943478167057037,0.2874184250831604,0.22865821421146393,1.0,0.39304521679878235,0.11137914657592773
risk,0.26548051834106445,0.1508130580186844,0.22105900943279266,0.42416390776634216,0.2734156847000122,0.4324268400669098,0.2011675238609314,0.2744990587234497,0.2274734228849411,0.2011675238609314,0.20209117233753204,0.15518289804458618,0.18415145576000214,0.2041822075843811,0.2654072642326355,0.27686357498168945,0.22318896651268005
preparations,0.24564078450202942,0.14397630095481873,0.2209039330482483,0.18249408900737762,0.3185483515262604,0.27069687843322754,0.31982308626174927,0.2998630404472351,0.33480381965637207,0.31982308626174927,0.2977169454097748,0.24036723375320435,0.2640460133552551,0.2642074525356293,0.26128527522087097,0.19929145276546478,0.12647531926631927
and,0.31309178471565247,0.3859752118587494,0.42438167333602905,0.26250919699668884,0.4731321930885315,0.2800044119358063,0.5171257257461548,0.31810495257377625,0.5116966962814331,0.5171257257461548,0.21655313670635223,0.29659831523895264,0.3571503460407257,0.3739250600337982,0.2911888659000397,0.29463574290275574,0.20544172823429108
some,0.4491020441055298,0.3038453459739685,0.4537518322467804,0.1705104559659958,0.6049469113349915,0.31754347681999207,0.4566698372364044,0.32540979981422424,0.4300730526447296,0.4566698372364044,0.19617655873298645,0.22029732167720795,0.25582021474838257,0.34539633989334106,0.23313355445861816,0.23110966384410858,0.2562315762042999
other,0.341873437166214,0.25895947217941284,0.45956575870513916,0.21566720306873322,0.5570666193962097,0.2862232029438019,0.44152235984802246,0.31865420937538147,0.38583824038505554,0.44152235984802246,0.18628889322280884,0.1779833883047104,0.24329762160778046,0.2806335389614105,0.18805554509162903,0.24489054083824158,0.24682199954986572
compounding,0.26605767011642456,0.29229074716567993,0.29572024941444397,0.24957720935344696,0.2798251509666443,0.3317469358444214,0.2295212745666504,0.2907449007034302,0.27413690090179443,0.2295212745666504,0.23553727567195892,0.22314973175525665,0.15599307417869568,0.25454598665237427,0.23640191555023193,0.18329168856143951,0.22128498554229736
functions,0.22357098758220673,0.1740858554840088,0.25186294317245483,0.2879125475883484,0.300773561000824,0.32060542702674866,0.2567043900489807,0.28422296047210693,0.2328059822320938,0.2567043900489807,0.24938054382801056,0.26116347312927246,0.14966589212417603,0.21638484299182892,0.15449856221675873,0.2708745002746582,0.13745930790901184
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.23708900809288025,0.5436353087425232,0.3197665810585022,0.535392165184021,0.2892669439315796,0.41548454761505127,0.535392165184021,0.1824638396501541,0.2703278064727783,0.36524343490600586,0.45503583550453186,0.28947713971138,0.2976585030555725,0.29463258385658264
