,what,does,lack,of,education,lead,directly,to,?
the,0.42745697498321533,0.35928019881248474,0.2674623131752014,0.733189046382904,0.23982903361320496,0.21995973587036133,0.4502958655357361,0.535392165184021,0.22068053483963013
justification,0.41217631101608276,0.3330012857913971,0.4147888422012329,0.2991276681423187,0.2904251515865326,0.19197200238704681,0.22959215939044952,0.23092837631702423,0.4005378186702728
for,0.3017193675041199,0.35159170627593994,0.3265889286994934,0.4185989499092102,0.27265021204948425,0.29822173714637756,0.28193199634552,0.4451248347759247,0.264628142118454
this,0.5489566326141357,0.4166489243507385,0.4134357273578644,0.45148900151252747,0.17015472054481506,0.22887954115867615,0.4170306324958801,0.5759071707725525,0.3155723512172699
is,0.28837618231773376,0.4403602182865143,0.21955184638500214,0.4854315221309662,0.18778188526630402,0.18414030969142914,0.2819631099700928,0.42745086550712585,0.22961433231830597
that,0.6297725439071655,0.4764937460422516,0.3709861636161804,0.41498205065727234,0.1599552482366562,0.21979129314422607,0.4456803798675537,0.5436353087425232,0.32716336846351624
a,0.3320399522781372,0.38201746344566345,0.20266364514827728,0.5052502155303955,0.21779850125312805,0.20661775767803192,0.27976194024086,0.45503583550453186,0.23916715383529663
lack,0.28247135877609253,0.3064509630203247,0.9999998807907104,0.2861039936542511,0.22161942720413208,0.23596470057964325,0.2736875116825104,0.29025790095329285,0.16953514516353607
of,0.33290785551071167,0.3119818866252899,0.2861039936542511,1.0,0.3015166223049164,0.19835850596427917,0.2998887896537781,0.41548454761505127,0.1826142966747284
education,0.19940856099128723,0.1943693906068802,0.22161942720413208,0.3015166223049164,1.0,0.12865006923675537,0.16480737924575806,0.2626708149909973,0.18067774176597595
leads,0.17333360016345978,0.29943758249282837,0.31526491045951843,0.3671194314956665,0.15543553233146667,0.4636290967464447,0.22985877096652985,0.2697960138320923,0.11554955691099167
directly,0.3618607521057129,0.3312726318836212,0.2736875116825104,0.2998887896537781,0.16480737924575806,0.15247677266597748,1.0,0.46690139174461365,0.2187996357679367
to,0.455847829580307,0.4391997456550598,0.29025790095329285,0.41548454761505127,0.2626708149909973,0.23490607738494873,0.46690139174461365,1.0,0.29463258385658264
lower,0.20079238712787628,0.19989411532878876,0.22928668558597565,0.31757521629333496,0.21266406774520874,0.09761782735586166,0.2627008855342865,0.233318492770195,0.08471795171499252
incomes,0.2579542398452759,0.28918689489364624,0.31332284212112427,0.35291701555252075,0.39176082611083984,0.11124563962221146,0.3050706684589386,0.30075564980506897,0.1867215484380722
",",0.3087472915649414,0.28617382049560547,0.27166152000427246,0.4946078956127167,0.2718683183193207,0.2561914026737213,0.24953341484069824,0.44245919585227966,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.29595619440078735,0.5116966962814331,0.308173805475235,0.31077226996421814,0.2772105038166046,0.48971283435821533,0.20544172823429108
thus,0.30745524168014526,0.30094778537750244,0.3631882965564728,0.3487406373023987,0.14999064803123474,0.2140592336654663,0.4042169153690338,0.42383262515068054,0.18769288063049316
lower,0.20079238712787628,0.19989411532878876,0.22928668558597565,0.31757521629333496,0.21266406774520874,0.09761782735586166,0.2627008855342865,0.233318492770195,0.08471795171499252
aggregate,0.12772192060947418,0.18679529428482056,0.26584744453430176,0.22980687022209167,0.205716073513031,0.1517030894756317,0.18636472523212433,0.20413537323474884,0.1372452974319458
savings,0.16976867616176605,0.23433217406272888,0.24501866102218628,0.2767261564731598,0.22001232206821442,0.12538041174411774,0.24191592633724213,0.24233758449554443,0.1057102158665657
and,0.31309178471565247,0.3461615741252899,0.29595619440078735,0.5116966962814331,0.308173805475235,0.31077226996421814,0.2772105038166046,0.48971283435821533,0.20544172823429108
investment,0.21795563399791718,0.23397958278656006,0.22860535979270935,0.24637944996356964,0.353083074092865,0.08959303051233292,0.18725083768367767,0.2513584792613983,0.17811161279678345
.,0.3567904531955719,0.3022993505001068,0.21505410969257355,0.5352458953857422,0.27047446370124817,0.2305188626050949,0.30484142899513245,0.4645031690597534,0.4130953550338745
