,who,was,ralph,in,charge,of,being,at,war,with,?
edward,0.25107425451278687,0.22979897260665894,0.37189221382141113,0.19466985762119293,0.1725403070449829,0.1742178201675415,0.15340304374694824,0.22425507009029388,0.22815094888210297,0.1395002156496048,0.1439376026391983
the,0.3733934462070465,0.48711544275283813,0.1921381652355194,0.6662389636039734,0.2730984687805176,0.733189046382904,0.419739305973053,0.457212895154953,0.366199791431427,0.4223487675189972,0.22068053483963013
confessor,0.27534452080726624,0.3344533443450928,0.28375357389450073,0.2568356394767761,0.19276514649391174,0.24835138022899628,0.2615702152252197,0.21766284108161926,0.2650206685066223,0.17092305421829224,0.17480003833770752
had,0.36173108220100403,0.5927209258079529,0.16406579315662384,0.385026752948761,0.2643797695636749,0.37755560874938965,0.42718788981437683,0.3288320302963257,0.29970744252204895,0.4739086329936981,0.20728366076946259
set,0.19352185726165771,0.22985222935676575,0.17187702655792236,0.2663729190826416,0.21293073892593384,0.20671486854553223,0.1785641312599182,0.19892042875289917,0.18816541135311127,0.19515010714530945,0.1698019951581955
up,0.26056501269340515,0.24070115387439728,0.15087252855300903,0.3120773434638977,0.22035346925258636,0.32945773005485535,0.2828742265701294,0.26974549889564514,0.17834441363811493,0.38676461577415466,0.1819818764925003
the,0.3733934462070465,0.48711544275283813,0.1921381652355194,0.6662389636039734,0.2730984687805176,0.733189046382904,0.419739305973053,0.457212895154953,0.366199791431427,0.4223487675189972,0.22068053483963013
aforementioned,0.30823439359664917,0.2335449904203415,0.20023022592067719,0.2783242166042328,0.17532967031002045,0.30292877554893494,0.3704683780670166,0.20668137073516846,0.24338868260383606,0.2998330295085907,0.34642836451530457
ralph,0.27632367610931396,0.2217940241098404,1.0000001192092896,0.1719714105129242,0.15819738805294037,0.20447495579719543,0.10250694304704666,0.1836767941713333,0.1693541407585144,0.16342200338840485,0.0765800029039383
as,0.3923053741455078,0.3677520453929901,0.18128924071788788,0.3887844979763031,0.20160435140132904,0.3886612355709076,0.46524563431739807,0.28092536330223083,0.24018222093582153,0.40387406945228577,0.27043893933296204
earl,0.2134564220905304,0.2519935965538025,0.32765719294548035,0.2268972545862198,0.17075301706790924,0.21531644463539124,0.17409902811050415,0.20404988527297974,0.20772233605384827,0.15285050868988037,0.13325046002864838
of,0.2827862501144409,0.4069072902202606,0.20447495579719543,0.5696388483047485,0.27586498856544495,1.0,0.34885138273239136,0.42558613419532776,0.31680163741111755,0.41827285289764404,0.1826142966747284
hereford,0.2264704704284668,0.25862979888916016,0.2538735568523407,0.23648160696029663,0.17357046902179718,0.26728641986846924,0.2829527258872986,0.20001040399074554,0.1969541311264038,0.1755332350730896,0.2061518132686615
and,0.41279885172843933,0.3740963041782379,0.23245558142662048,0.4954058527946472,0.238192617893219,0.5116966962814331,0.4286794066429138,0.3571503460407257,0.29695844650268555,0.5477725267410278,0.20544172823429108
charged,0.23286627233028412,0.2394018918275833,0.13732875883579254,0.20106644928455353,0.7215317487716675,0.21960902214050293,0.2071632742881775,0.1432693898677826,0.2041248381137848,0.2160840779542923,0.1305682212114334
him,0.5491244792938232,0.3675798773765564,0.23785261809825897,0.2284061461687088,0.23537126183509827,0.2764812409877777,0.4049389064311981,0.2474106401205063,0.2721579074859619,0.30843743681907654,0.23943768441677094
with,0.3282766342163086,0.27411898970603943,0.16342200338840485,0.4080928862094879,0.16330990195274353,0.41827285289764404,0.36860430240631104,0.29126521944999695,0.20580904185771942,0.9999999403953552,0.2433311939239502
defending,0.29095518589019775,0.22164638340473175,0.16663038730621338,0.2688160538673401,0.23737046122550964,0.23717111349105835,0.33126118779182434,0.2192922681570053,0.2670336663722992,0.3193020224571228,0.19775530695915222
the,0.3733934462070465,0.48711544275283813,0.1921381652355194,0.6662389636039734,0.2730984687805176,0.733189046382904,0.419739305973053,0.457212895154953,0.366199791431427,0.4223487675189972,0.22068053483963013
marches,0.18551862239837646,0.20892056822776794,0.19157060980796814,0.27352988719940186,0.2297094613313675,0.2550976872444153,0.17195521295070648,0.22808893024921417,0.28920724987983704,0.20321086049079895,0.1457805186510086
and,0.41279885172843933,0.3740963041782379,0.23245558142662048,0.4954058527946472,0.238192617893219,0.5116966962814331,0.4286794066429138,0.3571503460407257,0.29695844650268555,0.5477725267410278,0.20544172823429108
warring,0.2754397392272949,0.20837223529815674,0.04986405000090599,0.13875743746757507,0.16416503489017487,0.22060155868530273,0.3303834795951843,0.13086459040641785,0.367608904838562,0.2366425096988678,0.2895764708518982
with,0.3282766342163086,0.27411898970603943,0.16342200338840485,0.4080928862094879,0.16330990195274353,0.41827285289764404,0.36860430240631104,0.29126521944999695,0.20580904185771942,0.9999999403953552,0.2433311939239502
the,0.3733934462070465,0.48711544275283813,0.1921381652355194,0.6662389636039734,0.2730984687805176,0.733189046382904,0.419739305973053,0.457212895154953,0.366199791431427,0.4223487675189972,0.22068053483963013
welsh,0.27709445357322693,0.20027370750904083,0.17970356345176697,0.1399436891078949,0.1424504965543747,0.11676425486803055,0.16133472323417664,0.16831521689891815,0.11344261467456818,0.1567486971616745,0.0826316848397255
.,0.3541337847709656,0.40146201848983765,0.2132580727338791,0.5591574311256409,0.21931332349777222,0.5352458953857422,0.35574623942375183,0.4549728035926819,0.3000848889350891,0.4446153938770294,0.4130953550338745
