,what,was,the,daily,distance,walked,by,tesla,?
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.20306213200092316,0.23153051733970642,0.18517376482486725,0.3248702883720398,0.13983871042728424,0.264628142118454
exercise,0.22637218236923218,0.12802070379257202,0.23306256532669067,0.28681930899620056,0.12264949828386307,0.18563762307167053,0.16632071137428284,0.1779680848121643,0.19207993149757385
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.22655382752418518,0.22692032158374786,0.1791558414697647,0.3680937886238098,0.20599327981472015,0.31091248989105225
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.09677356481552124,0.19978511333465576,0.010343605652451515,0.16513796150684357,0.9999999403953552,0.10250775516033173
walked,0.19194380939006805,0.28831198811531067,0.23279288411140442,0.18775442242622375,0.2851325571537018,1.0,0.1664179265499115,0.010343605652451515,0.12153727561235428
between,0.2462156116962433,0.24048170447349548,0.39067012071609497,0.2140893042087555,0.38047486543655396,0.17531055212020874,0.28115302324295044,0.13727053999900818,0.12887074053287506
8,-0.005443718284368515,-0.07426877319812775,0.0063715726137161255,0.06756597757339478,-0.010428057983517647,0.04839668422937393,-0.06828653812408447,0.019290445372462273,-0.04056251794099808
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.21294255554676056,0.26426711678504944,0.21926701068878174,0.33534231781959534,0.17548894882202148,0.29463258385658264
10,0.11840458959341049,0.16597506403923035,0.2880653440952301,0.057313986122608185,0.060519855469465256,0.12379936128854752,0.17901021242141724,-0.08889484405517578,0.022911956533789635
miles,0.1893789917230606,0.1818082183599472,0.25706055760383606,0.14015863835811615,0.4248408377170563,0.34343183040618896,0.19836436212062836,0.1840159147977829,0.09363767504692078
per,0.21384303271770477,0.12717042863368988,0.21691934764385223,0.217241570353508,0.2148514986038208,0.11025992035865784,0.18994441628456116,0.2078201323747635,0.22323818504810333
day,0.2990210950374603,0.24314451217651367,0.3062323033809662,0.3015919327735901,0.15125595033168793,0.27139049768447876,0.14199325442314148,0.16580471396446228,0.2141837179660797
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.22556376457214355,0.1947452872991562,0.1770610213279724,0.3936232924461365,0.17949827015399933,0.4130953550338745
