,in,the,united,states,",",what,is,a,usual,turbine,speed,with,60,hertz,of,power,?
typical,0.2587708830833435,0.28039172291755676,0.1434372365474701,0.11629593372344971,0.2310890257358551,0.2897430658340454,0.28977829217910767,0.4022108316421509,0.46570664644241333,0.18471796810626984,0.2743527889251709,0.2500154376029968,-0.08034078776836395,0.24403303861618042,0.33413293957710266,0.11251772940158844,0.15633712708950043
speeds,0.17838042974472046,0.21895723044872284,0.17270280420780182,0.1883080154657364,0.21746009588241577,0.2440633624792099,0.2174397110939026,0.23149725794792175,0.3023979961872101,0.42946282029151917,0.8222293853759766,0.21215170621871948,0.012768156826496124,0.4216967523097992,0.1700170487165451,0.23413953185081482,0.16825072467327118
are,0.3841303884983063,0.40399202704429626,0.16919764876365662,0.1846873015165329,0.4062570035457611,0.29724663496017456,0.5330929756164551,0.265255331993103,0.39391762018203735,0.17826414108276367,0.17613103985786438,0.38996943831443787,-0.01117884274572134,0.1561344861984253,0.39081433415412903,0.1187305822968483,0.24591213464736938
3600,-0.08219295740127563,-0.1325511932373047,0.024477314203977585,-0.034209735691547394,-0.16265444457530975,-0.22714146971702576,-0.02825881354510784,-0.14357338845729828,-0.17451757192611694,-0.0735514760017395,-0.1460769921541214,-0.10330166667699814,0.06546100974082947,-0.15656821429729462,-0.09182735532522202,-0.14191460609436035,-0.2606937289237976
revolutions,0.21577075123786926,0.24566525220870972,0.2655540704727173,0.2823029160499573,0.27846744656562805,0.18602384626865387,0.13347196578979492,0.22358103096485138,0.1254042088985443,0.18986772000789642,0.12293414026498795,0.19717274606227875,-0.02144208364188671,0.13513034582138062,0.27736347913742065,0.2721666395664215,0.17319491505622864
per,0.1975519210100174,0.21691934764385223,0.11973094940185547,0.12309850752353668,0.26711323857307434,0.21384303271770477,0.22395510971546173,0.21615441143512726,0.3038932979106903,0.19800949096679688,0.3276219367980957,0.19558830559253693,-0.0011519104009494185,0.24885639548301697,0.17468707263469696,0.15549658238887787,0.22323818504810333
minute,0.19168905913829803,0.1967015564441681,0.1562565416097641,0.15255111455917358,0.1875860095024109,0.21365883946418762,0.1476636677980423,0.25094980001449585,0.24424625933170319,0.13672100007534027,0.33655819296836853,0.21570715308189392,-0.046450287103652954,0.2927308976650238,0.14535203576087952,0.13949760794639587,0.12793943285942078
(,0.3087427020072937,0.33289089798927307,0.21098394691944122,0.21393048763275146,0.6363511681556702,0.2411840260028839,0.35393038392066956,0.3206180930137634,0.18307524919509888,0.1862340271472931,0.19531001150608063,0.29503780603408813,-0.05989205837249756,0.2540719211101532,0.35032153129577637,0.18972817063331604,0.40561532974243164
rpm,0.13588650524616241,0.1466367542743683,0.1582503467798233,0.13915887475013733,0.19773666560649872,0.14559519290924072,0.13043981790542603,0.2393134981393814,0.17904400825500488,0.4350120425224304,0.41352421045303345,0.12707477807998657,-0.03911379352211952,0.3821929395198822,0.13736890256404877,0.26690420508384705,0.13234180212020874
),0.3326910734176636,0.3456730246543884,0.20623768866062164,0.2059156745672226,0.63033527135849,0.26259949803352356,0.37732169032096863,0.3640355169773102,0.20423845946788788,0.17438945174217224,0.20451702177524567,0.3069596290588379,-0.05698961019515991,0.24185916781425476,0.3680361211299896,0.20355020463466644,0.42300865054130554
