,what,kind,of,immune,system,do,bacteria,have,?
even,0.40872135758399963,0.32474246621131897,0.34735506772994995,0.3015825152397156,0.26037853956222534,0.4404686391353607,0.298115611076355,0.5610647797584534,0.30082517862319946
simple,0.4218197166919708,0.35780051350593567,0.23205730319023132,0.19230106472969055,0.201027050614357,0.3700781464576721,0.21700610220432281,0.41701075434684753,0.4614735543727875
unicellular,0.25102853775024414,0.29360392689704895,0.27179986238479614,0.4257271885871887,0.22221800684928894,0.2975468933582306,0.5674624443054199,0.37041983008384705,0.19283105432987213
organisms,0.22214920818805695,0.30799558758735657,0.23870134353637695,0.3922001123428345,0.2424149215221405,0.2771075963973999,0.6575207114219666,0.309126615524292,0.22621455788612366
such,0.23989605903625488,0.35786283016204834,0.3209529519081116,0.25108346343040466,0.22472473978996277,0.337398886680603,0.21851390600204468,0.42997312545776367,0.17851735651493073
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.17487213015556335,0.1973835676908493,0.38329678773880005,0.2039324790239334,0.37788212299346924,0.27043893933296204
bacteria,0.1863701492547989,0.2299574464559555,0.17966590821743011,0.41212543845176697,0.196626216173172,0.24595952033996582,0.9999998807907104,0.27553918957710266,0.18786604702472687
possess,0.26773881912231445,0.21637782454490662,0.27185752987861633,0.32285916805267334,0.18888862431049347,0.3571535646915436,0.28698354959487915,0.43421053886413574,0.1285712569952011
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.20466765761375427,0.2589043080806732,0.26237669587135315,0.19924654066562653,0.338716596364975,0.23916715383529663
rudimentary,0.2908661663532257,0.3171016573905945,0.26150161027908325,0.15518836677074432,0.14860007166862488,0.22530190646648407,0.21729107201099396,0.2809041738510132,0.18648070096969604
immune,0.2410416603088379,0.2694495916366577,0.16620753705501556,1.0,0.3962631821632385,0.2294367402791977,0.41212543845176697,0.2992585301399231,0.16080476343631744
system,0.23557309806346893,0.22309651970863342,0.25597915053367615,0.3962631821632385,1.0000001192092896,0.18447506427764893,0.196626216173172,0.27033093571662903,0.15556083619594574
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.15102852880954742,0.18439900875091553,0.3283645510673523,0.2358950972557068,0.3541618287563324,0.31091248989105225
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.14682820439338684,0.21978288888931274,0.23402775824069977,0.1903567910194397,0.36843645572662354,0.20430970191955566
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.21364226937294006,0.3233085572719574,0.30239659547805786,0.1839996725320816,0.40389683842658997,0.22068053483963013
form,0.15868011116981506,0.37035372853279114,0.29600051045417786,0.18999020755290985,0.2599324882030487,0.23068922758102417,0.19704841077327728,0.3062373399734497,0.1463010311126709
of,0.33290785551071167,0.2285657674074173,1.0,0.16620753705501556,0.25597915053367615,0.26150479912757874,0.17966590821743011,0.3802283704280853,0.1826142966747284
enzymes,0.21391288936138153,0.19716618955135345,0.2474622130393982,0.4561769664287567,0.2226933240890503,0.26922696828842163,0.6097476482391357,0.2724840044975281,0.19847454130649567
that,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.30237793922424316,0.3088737428188324,0.44533252716064453,0.2798275947570801,0.6182622313499451,0.32716336846351624
protect,0.25314101576805115,0.20578844845294952,0.19880573451519012,0.261508584022522,0.167859748005867,0.29360759258270264,0.17715074121952057,0.3453146815299988,0.20180222392082214
against,0.24561616778373718,0.17143523693084717,0.2669808566570282,0.26737844944000244,0.1443454623222351,0.22739747166633606,0.14054761826992035,0.2534869611263275,0.18095137178897858
bacteriophage,0.18064995110034943,0.21839016675949097,0.2158035784959793,0.4850960969924927,0.2594326138496399,0.22607310116291046,0.8261731266975403,0.21884475648403168,0.15503612160682678
infections,0.19013865292072296,0.21198800206184387,0.23916418850421906,0.5503223538398743,0.2934715151786804,0.21759243309497833,0.611585795879364,0.3041602373123169,0.19163957238197327
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.18267881870269775,0.2277725487947464,0.3613996207714081,0.24264462292194366,0.41614407300949097,0.4130953550338745
