,what,does,the,lobata,have,pair,of,?
the,0.42745697498321533,0.35928019881248474,1.0,0.22806361317634583,0.40389683842658997,0.2643369734287262,0.733189046382904,0.22068053483963013
lobata,0.13495013117790222,0.13762834668159485,0.22806361317634583,1.0,0.17567220330238342,0.1956731230020523,0.2526691257953644,0.16646061837673187
have,0.39808809757232666,0.3709583580493927,0.40389683842658997,0.17567220330238342,0.9999999403953552,0.31741735339164734,0.3802283704280853,0.32991164922714233
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.22418704628944397,0.338716596364975,0.3077886998653412,0.5052502155303955,0.23916715383529663
pair,0.1797199696302414,0.11549903452396393,0.2643369734287262,0.1956731230020523,0.31741735339164734,1.0000001192092896,0.19449220597743988,0.11695868521928787
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2526691257953644,0.3802283704280853,0.19449220597743988,1.0,0.1826142966747284
lobes,0.2680743336677551,0.23532530665397644,0.3548465073108673,0.34837836027145386,0.370116263628006,0.36034950613975525,0.26250314712524414,0.13856348395347595
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2730906903743744,0.3541618287563324,0.17576158046722412,0.4946078956127167,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.23688413202762604,0.49652695655822754,0.3622627258300781,0.5011631846427917,0.25814583897590637
are,0.29724663496017456,0.3126322329044342,0.40399202704429626,0.21884992718696594,0.6577680706977844,0.3115881681442261,0.39081433415412903,0.24591213464736938
muscular,0.23384989798069,0.2805147171020508,0.25987493991851807,0.19915539026260376,0.29319027066230774,0.2566315829753876,0.23553776741027832,0.14019422233104706
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.2730906903743744,0.3541618287563324,0.17576158046722412,0.4946078956127167,0.31091248989105225
cuplike,0.369247704744339,0.28997549414634705,0.3726585805416107,0.33313098549842834,0.4418269991874695,0.3364158272743225,0.3384736478328705,0.23302070796489716
extensions,0.2237429916858673,0.23704534769058228,0.2811371684074402,0.2136361002922058,0.33413511514663696,0.1585865467786789,0.23649635910987854,0.267410010099411
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2526691257953644,0.3802283704280853,0.19449220597743988,1.0,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.22806361317634583,0.40389683842658997,0.2643369734287262,0.733189046382904,0.22068053483963013
body,0.2143840193748474,0.27194929122924805,0.31682634353637695,0.130950927734375,0.27852192521095276,0.21762152016162872,0.25063133239746094,0.20136451721191406
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.14692360162734985,0.6182622313499451,0.2777472734451294,0.41498205065727234,0.32716336846351624
project,0.27033838629722595,0.19799275696277618,0.2027820199728012,0.14194202423095703,0.24547767639160156,0.12287871539592743,0.17578177154064178,0.30569031834602356
beyond,0.3297902047634125,0.2511926293373108,0.2982341945171356,0.08134960383176804,0.32381120324134827,0.1448739916086197,0.25559017062187195,0.1875571459531784
the,0.42745697498321533,0.35928019881248474,1.0,0.22806361317634583,0.40389683842658997,0.2643369734287262,0.733189046382904,0.22068053483963013
mouth,0.18337541818618774,0.21820485591888428,0.3073960244655609,0.1390780657529831,0.15580078959465027,0.20814572274684906,0.2183857262134552,0.21761061251163483
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.26673391461372375,0.41614407300949097,0.2106073498725891,0.5352458953857422,0.4130953550338745
