,when,did,tesla,start,deliberately,experimenting,with,x-ray,imaging,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.29979339241981506,0.25579413771629333,0.23800723254680634,0.4080928862094879,0.27182886004447937,0.20635999739170074,0.20430970191955566
march,0.22895319759845734,0.27992504835128784,0.1457514613866806,0.17521069943904877,0.19965198636054993,0.18174660205841064,0.1895335465669632,0.20251059532165527,0.12249237298965454,0.2802562415599823
1896,0.2624363303184509,0.23122188448905945,0.13362865149974823,0.2044372856616974,0.15236636996269226,0.21769966185092926,0.2447478175163269,0.1624978929758072,0.20991086959838867,0.05348491296172142
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2934366464614868,0.23604542016983032,0.2692280113697052,0.4120737314224243,0.2764621376991272,0.1535363644361496,0.31091248989105225
after,0.5331412553787231,0.30330467224121094,0.0752151682972908,0.37041667103767395,0.29786649346351624,0.1606866717338562,0.33843478560447693,0.23959162831306458,0.08494774252176285,0.16608688235282898
hearing,0.3110961616039276,0.26051026582717896,0.24375475943088531,0.17601488530635834,0.33279556035995483,0.27113261818885803,0.2582569718360901,0.20200160145759583,0.3277490437030792,0.19994913041591644
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.23166994750499725,0.17888382077217102,0.17966331541538239,0.41827285289764404,0.19506630301475525,0.2478860467672348,0.1826142966747284
wilhelm,0.21011118590831757,0.1907045841217041,0.25783807039260864,0.07040957361459732,0.2625506520271301,0.18477368354797363,0.12551431357860565,0.01274450309574604,0.16976088285446167,0.12678855657577515
röntgen,0.2355944812297821,0.19253376126289368,0.32189181447029114,0.1559973657131195,0.18625153601169586,0.27676263451576233,0.20286788046360016,0.17287158966064453,0.32756370306015015,0.19019243121147156
's,-0.03368149697780609,0.05069678649306297,0.06449045985937119,-0.029080811887979507,-0.014723004773259163,-0.003448283998295665,-0.04624466598033905,0.03043914958834648,0.014660782180726528,-0.023395681753754616
discovery,0.19931064546108246,0.14172746241092682,0.19655756652355194,0.23157626390457153,0.13385410606861115,0.3081555962562561,0.16363190114498138,0.1410597860813141,0.33956632018089294,0.11594310402870178
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.23166994750499725,0.17888382077217102,0.17966331541538239,0.41827285289764404,0.19506630301475525,0.2478860467672348,0.1826142966747284
x-ray,0.27484917640686035,0.23021014034748077,0.07060568034648895,0.21839527785778046,0.1284186840057373,0.16300275921821594,0.16347268223762512,1.0000001192092896,0.17581111192703247,0.26398539543151855
and,0.4716290831565857,0.34479495882987976,0.19560420513153076,0.2890162169933319,0.29663869738578796,0.3525155782699585,0.5477725267410278,0.27761489152908325,0.2447846680879593,0.20544172823429108
x-ray,0.27484917640686035,0.23021014034748077,0.07060568034648895,0.21839527785778046,0.1284186840057373,0.16300275921821594,0.16347268223762512,1.0000001192092896,0.17581111192703247,0.26398539543151855
imaging,0.2265634834766388,0.1540277749300003,0.29163673520088196,0.15281055867671967,0.2369260936975479,0.38496872782707214,0.2084958404302597,0.17581111192703247,1.0,0.0898628756403923
