,what,is,the,full,name,of,the,aser,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2988807260990143,0.3171212375164032,0.733189046382904,1.0,0.27994224429130554,0.22068053483963013
annual,0.14798973500728607,0.20538382232189178,0.2958983778953552,0.11698465049266815,0.09007395803928375,0.29535046219825745,0.2958983778953552,0.11999347805976868,0.1083487942814827
status,0.1975356787443161,0.23290963470935822,0.23601171374320984,0.17974194884300232,0.21568939089775085,0.20139996707439423,0.23601171374320984,0.12927787005901337,0.16403266787528992
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.3238043189048767,0.24075818061828613,1.0,0.733189046382904,0.23473592102527618,0.1826142966747284
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.1139669269323349,0.12445342540740967,0.3015166223049164,0.23982903361320496,0.11317668855190277,0.18067774176597595
report,0.2868559956550598,0.16818487644195557,0.2556745111942291,0.15191474556922913,0.12324132770299911,0.22992923855781555,0.2556745111942291,0.19647979736328125,0.3138936758041382
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.1530357152223587,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.21504314243793488,0.40561532974243164
aser,0.2221965342760086,0.2366207093000412,0.27994224429130554,0.17103081941604614,0.1614866554737091,0.23473592102527618,0.27994224429130554,1.0000001192092896,0.21717259287834167
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.16275009512901306,0.2638341188430786,0.3680361211299896,0.3456730246543884,0.22665190696716309,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18524548411369324,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.23103006184101105,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.290617972612381,0.2972666025161743,0.5011631846427917,0.6521818041801453,0.32391834259033203,0.25814583897590637
evaluates,0.27553945779800415,0.2217828780412674,0.25916150212287903,0.17347712814807892,0.12315291166305542,0.20810340344905853,0.25916150212287903,0.19212950766086578,0.25885236263275146
learning,0.29806870222091675,0.19600103795528412,0.2504628002643585,0.12195853143930435,0.035126522183418274,0.23709416389465332,0.2504628002643585,0.15882188081741333,0.25810256600379944
levels,0.21641245484352112,0.2141042947769165,0.286034494638443,0.17859101295471191,0.090574711561203,0.23668165504932404,0.286034494638443,0.13775858283042908,0.1541307419538498
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20023053884506226,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.17739909887313843,0.20430970191955566
rural,0.19569969177246094,0.2128623127937317,0.18905460834503174,0.06454557925462723,0.0767541155219078,0.23932546377182007,0.18905460834503174,0.11656760424375534,0.11320571601390839
india,0.23203566670417786,0.19284966588020325,0.3108653426170349,0.07049666345119476,0.12794989347457886,0.29747170209884644,0.3108653426170349,0.18967610597610474,0.10473668575286865
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18524548411369324,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.23103006184101105,0.31091248989105225
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.22683994472026825,0.2698039710521698,0.3909035325050354,0.4177538752555847,0.18116065859794617,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.16321226954460144,0.1697598248720169,0.31685134768486023,0.3563927710056305,0.18504215776920319,0.24354910850524902
reporting,0.26988375186920166,0.16927309334278107,0.2787152826786041,0.1879253387451172,0.10320556908845901,0.21795877814292908,0.2787152826786041,0.1853821873664856,0.294716477394104
poorer,0.21893715858459473,0.14275549352169037,0.2263936996459961,0.18261772394180298,0.10308331251144409,0.2160215824842453,0.2263936996459961,0.11449183523654938,0.14399310946464539
academic,0.10352335125207901,0.19421102106571198,0.15387672185897827,0.22635048627853394,0.07437628507614136,0.20802809298038483,0.15387672185897827,0.16002503037452698,0.11011603474617004
achievement,0.18986374139785767,0.1881064474582672,0.2765722870826721,0.19221645593643188,0.15911471843719482,0.27310270071029663,0.2765722870826721,0.17392659187316895,0.14776082336902618
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20023053884506226,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.17739909887313843,0.20430970191955566
government,0.28074538707733154,0.20343491435050964,0.31798112392425537,0.12000373005867004,0.12998923659324646,0.3475167155265808,0.31798112392425537,0.18471089005470276,0.18851417303085327
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1340392529964447,0.12527719140052795,0.265506386756897,0.22905772924423218,0.08347693830728531,0.18349280953407288
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.20087675750255585,0.13796374201774597,0.33036211133003235,0.3227543234825134,0.20885775983333588,0.24917294085025787
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20023053884506226,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.17739909887313843,0.20430970191955566
private,0.16778090596199036,0.1420905888080597,0.18291357159614563,0.1427561640739441,0.09414568543434143,0.18706899881362915,0.18291357159614563,0.1664450764656067,0.14389030635356903
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.1340392529964447,0.12527719140052795,0.265506386756897,0.22905772924423218,0.08347693830728531,0.18349280953407288
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23337839543819427,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.27143728733062744,0.4130953550338745
