,the,mark,of,anarchy,was,written,to,protest,against,what,?
following,0.39779382944107056,0.16630525887012482,0.3576679527759552,0.23013724386692047,0.16493390500545502,0.13770174980163574,0.31711265444755554,0.1741293966770172,0.17673185467720032,0.2506418824195862,0.1555173695087433
the,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.48711544275283813,0.2582438886165619,0.535392165184021,0.25126034021377563,0.3090755045413971,0.42745697498321533,0.22068053483963013
peterloo,0.35128697752952576,0.1748233139514923,0.3140549957752228,0.32298794388771057,0.2581119239330292,0.17784349620342255,0.27158141136169434,0.2951388657093048,0.1792784035205841,0.22300104796886444,0.19034317135810852
massacre,0.23870180547237396,0.12114427983760834,0.20526865124702454,0.19427885115146637,0.2228357344865799,0.14628365635871887,0.13038036227226257,0.4120350182056427,0.17585530877113342,0.16681800782680511,0.17941462993621826
of,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.4069072902202606,0.20874574780464172,0.41548454761505127,0.24564224481582642,0.2669808566570282,0.33290785551071167,0.1826142966747284
1819,-0.16549162566661835,-0.08274830877780914,-0.16544584929943085,0.04750843718647957,-0.12684060633182526,0.09725727885961533,-0.08695008605718613,-0.10747124254703522,-0.1223834902048111,0.05345098301768303,0.11997729539871216
",",0.4933079481124878,0.2642361521720886,0.4946078956127167,0.20300085842609406,0.45456063747406006,0.2737409770488739,0.44245919585227966,0.2963520884513855,0.31168749928474426,0.3087472915649414,0.31091248989105225
poet,0.14614954590797424,0.13067646324634552,0.1686325967311859,0.17459262907505035,0.2649230360984802,0.289590060710907,0.10798834264278412,0.16991564631462097,0.17022071778774261,0.10796449333429337,0.16892145574092865
percy,0.24403482675552368,0.1767747849225998,0.19737383723258972,0.07709474861621857,0.17109639942646027,0.10648225247859955,0.28833848237991333,0.09018484503030777,0.10622303187847137,0.15628266334533691,0.13365407288074493
shelley,0.19734613597393036,0.25862371921539307,0.15595409274101257,0.1891411691904068,0.25022226572036743,0.20374912023544312,0.18929587304592133,0.1643563061952591,0.1693461537361145,0.1713116317987442,0.16777275502681732
wrote,0.2426944375038147,0.14824353158473969,0.30241408944129944,0.2298762947320938,0.40092042088508606,0.6132748126983643,0.18888387084007263,0.28878676891326904,0.20343588292598724,0.2664989233016968,0.19322504103183746
the,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.48711544275283813,0.2582438886165619,0.535392165184021,0.25126034021377563,0.3090755045413971,0.42745697498321533,0.22068053483963013
political,0.20477235317230225,0.15127083659172058,0.27319738268852234,0.3983848989009857,0.24282537400722504,0.19231916964054108,0.2065112292766571,0.34084561467170715,0.19340632855892181,0.21846716105937958,0.17130474746227264
